match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_shotOffTarget,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_keyPass,stat_aerialWon,stat_dispossessed,player_firstName,player_lastName,stat_challengeLost,stat_wonContest,stat_onTargetScoringAttempt,stat_wonTackle,stat_wasFouled,stat_expectedGoalsOnTarget,captain,stat_accurateCross,stat_blockedScoringAttempt,stat_fouls,stat_totalOffside,stat_bigChanceMissed,stat_bigChanceCreated,stat_clearanceOffLine,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
11540880,home,MKE Ankaragücü,Bahadır Han Güngördü,bahadir-han-gungordu,B. H. Güngördü,G,13,190,97,M,807289,EUR,821750400,G,99,99,False,35.0,20.0,26.0,11.0,0.0,14.0,14.0,6.0,21.0,13.0,1.0,1.0,1.0,90.0,43.0,7.2,15.0,0.00677866,0,0.0672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11540880,home,MKE Ankaragücü,Stelios Kitsiou,stelios-kitsiou,S. Kitsiou,D,70,173,90,M,189627,EUR,749174400,D,70,70,False,27.0,23.0,4.0,1.0,0.0,11.0,12.0,12.0,16.0,7.0,,,,90.0,56.0,7.4,11.0,0.106446,1,,1.0,2.0,4.0,3.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,0.0198,1.0,,,,,,,,,,,,,,,,,,,,,
11540880,home,MKE Ankaragücü,Uroš Radaković,uros-radakovic,U. Radaković,D,26,194,313,M,151900,EUR,765072000,D,26,26,False,33.0,22.0,3.0,,0.0,19.0,27.0,3.0,6.0,4.0,,,,90.0,40.0,7.0,11.0,0.0103386,0,,,3.0,3.0,7.0,,,2.0,,2.0,2.0,,,,5.0,,,,,,,,,,,,,,,,,,,,
11540880,home,MKE Ankaragücü,Nihad Mujakić,nihad-mujakic,N. Mujakić,D,5,189,775,M,858004,EUR,892598400,D,18,18,False,41.0,32.0,9.0,2.0,0.0,27.0,30.0,5.0,12.0,5.0,,,,90.0,53.0,6.6,15.0,0.00302581,0,,1.0,2.0,3.0,,,,3.0,,1.0,,4.0,,,,1.0,,,,,,,,,,,,,,,,,,,
11540880,home,MKE Ankaragücü,Kazımcan Karataş,kazimcan-karatas,K. Karataş,D,88,182,1611,M,1008884,EUR,1042675200,D,35,35,False,34.0,23.0,9.0,2.0,0.0,14.0,19.0,9.0,16.0,6.0,,,,84.0,74.0,7.5,22.0,0.00631235,2,,1.0,3.0,7.0,9.0,1.0,1.0,2.0,1.0,4.0,6.0,1.0,0.0259,,1.0,1.0,,,3.0,1.0,1.0,2.0,1.0,0.0443,,,,,,,,,,,
11540880,home,MKE Ankaragücü,Tolga Ciğerci,tolga-cigerci,T. Ciğerci,M,38,185,114,M,120298,EUR,701308800,M,30,30,False,39.0,32.0,7.0,3.0,0.0,16.0,20.0,16.0,19.0,5.0,,,,61.0,46.0,7.0,7.0,0.0170444,1,,,,1.0,4.0,1.0,1.0,2.0,,1.0,,,0.0217,1.0,2.0,,,,1.0,1.0,,,1.0,,True,,,,,,,,,,
11540880,home,MKE Ankaragücü,Christian Bassogog,christian-bassogog,C. Bassogog,M,13,173,2514,M,818218,EUR,813974400,M,13,13,False,25.0,18.0,4.0,2.0,0.0,6.0,6.0,14.0,25.0,9.0,,,,90.0,58.0,6.7,19.0,0.13602,2,,6.0,3.0,11.0,6.0,7.0,1.0,1.0,,2.0,,,0.0665,1.0,,3.0,,,1.0,3.0,,,3.0,,,2.0,1.0,1.0,1.0,,,,,,
11540880,home,MKE Ankaragücü,Efkan Bekiroğlu,efkan-bekiroglu,E. Bekiroğlu,M,11,185,168,M,800458,EUR,811036800,M,10,10,False,12.0,8.0,1.0,1.0,0.0,3.0,3.0,5.0,9.0,2.0,,,,45.0,21.0,7.0,8.0,0.00886265,1,,,,3.0,4.0,1.0,,,,,2.0,2.0,0.0274,1.0,,2.0,,,,1.0,1.0,2.0,1.0,0.0225,,,,1.0,,,,,,,
11540880,home,MKE Ankaragücü,Pedrinho,pedrinho,Pedrinho,M,14,170,130,M,182385,EUR,724809600,M,8,8,False,34.0,26.0,6.0,2.0,0.0,8.0,10.0,18.0,27.0,6.0,,,,90.0,48.0,6.8,13.0,0.0400836,1,,3.0,2.0,9.0,4.0,1.0,,1.0,,1.0,2.0,1.0,0.0367,1.0,,1.0,,,2.0,1.0,1.0,2.0,1.0,0.094,,,,4.0,,,,,,,
11540880,home,MKE Ankaragücü,Garry Rodrigues,garry-rodrigues,G. Rodrigues,M,10,173,946,M,787429,EUR,659664000,M,11,11,False,12.0,10.0,,,0.0,3.0,4.0,7.0,10.0,1.0,,,,45.0,25.0,6.6,8.0,0.0158246,1,,2.0,1.0,3.0,2.0,1.0,1.0,,,1.0,,1.0,0.1857,,,1.0,,,,,,,2.0,,,,,,,,,,,,
