match_id,side,team,player_name,player_firstName,player_slug,player_shortName,player_jerseyNumber,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,player_position,player_height,stat_aerialWon,stat_challengeLost,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_interceptionWon,captain,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_bigChanceCreated,stat_keyPass,stat_shotOffTarget,stat_totalOffside,stat_aerialLost,player_lastName,stat_bigChanceMissed,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_blockedScoringAttempt
12134239,home,Vermont Green FC,Nathan Schnur,Nathan Schnur,nathan-schnur,N. Schnur,1,1,M,1823822,EUR,1024272000,G,1,1,False,25.0,18.0,12.0,5.0,16.0,17.0,2.0,8.0,1.0,3.0,3.0,90.0,28.0,6.4,7.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12134239,home,Vermont Green FC,Bernardo Prego,Bernardo Prego,bernardo-prego,B. Prego,24,4,M,1823744,EUR,950054400,D,24,24,False,36.0,28.0,7.0,1.0,18.0,21.0,10.0,15.0,12.0,,,90.0,68.0,6.9,14.0,0,6.0,13.0,1.0,4.0,3.0,4.0,4.0,4.0,2.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,
12134239,home,Vermont Green FC,Zach Barrett,Zach Barrett,zach-barrett,Z. Barrett,28,1,,1823848,EUR,994723200,D,28,28,False,39.0,29.0,10.0,4.0,22.0,26.0,7.0,13.0,1.0,,,90.0,58.0,7.6,11.0,1,1.0,6.0,,,,11.0,1.0,1.0,1.0,1.0,,D,185.0,4.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,
12134239,home,Vermont Green FC,Jake Ashford,Jake Ashford,jake-ashford,J. Ashford,25,0,M,1823809,EUR,968371200,D,25,25,False,25.0,23.0,8.0,6.0,20.0,20.0,3.0,5.0,3.0,,,90.0,31.0,7.1,3.0,1,,1.0,,,,3.0,,,1.0,,,,188.0,1.0,,1.0,1.0,1.0,,True,,,,,,,,,,,,,
12134239,home,Vermont Green FC,Gerardo Castillo,Gerardo Castillo,gerardo-castillo,G. Castillo,16,7,M,1825709,EUR,1004227200,D,12,12,False,27.0,22.0,4.0,1.0,18.0,19.0,5.0,9.0,7.0,,,45.0,35.0,7.0,8.0,0,,1.0,,,,,1.0,1.0,1.0,,,D,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,
12134239,home,Vermont Green FC,Sydney Wathuta,Sydney Wathuta,sydney-wathuta,S. Wathuta,47,19,M,1823836,EUR,1086912000,M,14,14,False,19.0,17.0,2.0,2.0,9.0,11.0,8.0,8.0,6.0,,,84.0,29.0,6.2,8.0,1,4.0,2.0,3.0,2.0,1.0,,,,2.0,1.0,,M,191.0,,,,,,,,,,,,,1.0,2.0,,,,,,
12134239,home,Vermont Green FC,Rodrigo Vaza,Rodrigo Vaza,rodrigo-vaza,R. Vaza,22,0,M,1823828,EUR,949276800,M,22,22,False,23.0,19.0,2.0,2.0,10.0,13.0,9.0,10.0,1.0,,,90.0,30.0,6.4,6.0,0,5.0,1.0,1.0,1.0,,,,,,,1.0,,,1.0,1.0,,,1.0,2.0,,,,,,,,,1.0,,,,,
12134239,home,Vermont Green FC,Moussa Ndiaye,Moussa Ndiaye,moussa-ndiaye,M. Ndiaye,5,5,M,1823820,EUR,978652800,M,5,5,False,31.0,25.0,3.0,1.0,18.0,22.0,7.0,9.0,4.0,,,90.0,41.0,6.5,6.0,0,3.0,3.0,,,,5.0,1.0,,,1.0,2.0,,,1.0,,,,,2.0,,,,,,,,,1.0,,,,,
12134239,home,Vermont Green FC,Nick Lockermann,Nick Lockermann,nick-lockermann,N. Lockermann,10,2,M,1823823,EUR,1030579200,M,10,10,False,20.0,13.0,6.0,3.0,6.0,6.0,9.0,18.0,,,,90.0,35.0,8.3,10.0,1,1.0,4.0,1.0,,,1.0,3.0,2.0,,,,D,,1.0,,1.0,1.0,,,,1.0,4.0,2.0,1.0,4.0,,,,,,,,
12134239,home,Vermont Green FC,Yaniv Bazini,Yaniv Bazini,yaniv-bazini,Y. Bazini,19,29,M,1823855,EUR,932083200,F,18,18,False,21.0,16.0,2.0,,10.0,11.0,7.0,12.0,2.0,,,84.0,36.0,7.7,11.0,4,2.0,5.0,2.0,,,,2.0,,3.0,,1.0,F,188.0,3.0,,3.0,,,,,1.0,2.0,1.0,1.0,2.0,1.0,1.0,,,,,,
