match_id,side,team,player_name,player_firstName,player_slug,player_shortName,player_jerseyNumber,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,player_position,player_height,stat_shotOffTarget,stat_penaltyConceded,stat_wasFouled,captain,stat_outfielderBlock,stat_keyPass,stat_accurateCross,player_lastName,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_hitWoodwork,stat_totalOffside,stat_onTargetScoringAttempt,stat_goals,stat_penaltyWon,stat_goodHighClaim
12189917,home,Vermont Green FC,Nathan Schnur,Nathan Schnur,nathan-schnur,N. Schnur,1,1,M,1823822,EUR,1024272000,G,1,1,False,26.0,18.0,12.0,6.0,14.0,19.0,4.0,7.0,1.0,3.0,3.0,1.0,5.0,90.0,34.0,7.2,8.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12189917,home,Vermont Green FC,Bernardo Prego,Bernardo Prego,bernardo-prego,B. Prego,24,4,M,1823744,EUR,950054400,D,24,24,False,35.0,26.0,2.0,1.0,11.0,13.0,15.0,24.0,,4.0,,,,90.0,61.0,6.1,23.0,0,2.0,2.0,1.0,10.0,4.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,4.0,2.0,,,,,,,,,,,,,,,,,,
12189917,home,Vermont Green FC,Zach Barrett,Zach Barrett,zach-barrett,Z. Barrett,28,1,,1823848,EUR,994723200,D,28,28,False,39.0,30.0,10.0,4.0,18.0,21.0,12.0,19.0,7.0,3.0,,,,90.0,56.0,6.6,12.0,1,1.0,1.0,1.0,4.0,5.0,,2.0,,,,3.0,3.0,,1.0,D,185.0,1.0,1.0,1.0,,,,,,,,,,,,,
12189917,home,Vermont Green FC,Jake Ashford,Jake Ashford,jake-ashford,J. Ashford,25,0,M,1823809,EUR,968371200,D,25,25,False,35.0,29.0,8.0,4.0,22.0,23.0,7.0,12.0,2.0,6.0,,,,90.0,43.0,6.5,8.0,0,,2.0,,5.0,1.0,2.0,1.0,,,,1.0,1.0,,,,188.0,,,,True,1.0,1.0,,,,,,,,,,
12189917,home,Vermont Green FC,Nick Lockermann,Nick Lockermann,nick-lockermann,N. Lockermann,10,2,M,1823823,EUR,1030579200,D,10,10,False,34.0,22.0,3.0,,11.0,16.0,11.0,23.0,,4.0,,,,77.0,58.0,6.1,21.0,0,5.0,1.0,1.0,4.0,1.0,,,2.0,,2.0,,,,1.0,D,,,,,,,,,,,,,,,,,
12189917,home,Vermont Green FC,Sydney Wathuta,Sydney Wathuta,sydney-wathuta,S. Wathuta,47,19,M,1823836,EUR,1086912000,M,14,14,False,27.0,24.0,2.0,2.0,7.0,8.0,18.0,22.0,,7.0,,,,90.0,47.0,6.8,13.0,0,3.0,,1.0,4.0,6.0,,3.0,3.0,2.0,,1.0,,4.0,,M,191.0,,,2.0,,,2.0,1.0,,,,,,,,,
12189917,home,Vermont Green FC,Rodrigo Vaza,Rodrigo Vaza,rodrigo-vaza,R. Vaza,22,0,M,1823828,EUR,949276800,M,22,22,False,32.0,30.0,6.0,6.0,14.0,15.0,16.0,18.0,1.0,5.0,,,,90.0,46.0,7.0,6.0,0,1.0,,1.0,5.0,6.0,,2.0,,,2.0,3.0,2.0,1.0,3.0,,,,,2.0,,1.0,,,,,,,,,,,
12189917,home,Vermont Green FC,Moussa Ndiaye,Moussa Ndiaye,moussa-ndiaye,M. Ndiaye,5,5,M,1823820,EUR,978652800,M,5,5,False,31.0,26.0,1.0,,8.0,9.0,18.0,24.0,2.0,2.0,,,,90.0,40.0,6.7,7.0,0,2.0,1.0,2.0,4.0,4.0,1.0,,,,,1.0,,,2.0,,,,,1.0,,,1.0,,,,,,,,,,
12189917,home,Vermont Green FC,Pearse O'Brien,Pearse O'Brien,pearse-obrien,P. O'Brien,,1,,1120354,EUR,1098748800,M,20,20,False,13.0,10.0,2.0,1.0,4.0,5.0,6.0,9.0,1.0,3.0,,,,68.0,37.0,6.7,15.0,1,1.0,1.0,,6.0,7.0,,2.0,7.0,4.0,,1.0,1.0,5.0,,M,173.0,1.0,,2.0,,,1.0,,,,,,,,,,
12189917,home,Vermont Green FC,Jacob Labovitz,,jacob-labovitz,J. Labovitz,8,4,M,935246,EUR,905731200,F,8,8,False,20.0,13.0,2.0,1.0,3.0,3.0,10.0,19.0,,3.0,,,,90.0,31.0,6.2,12.0,3,2.0,3.0,2.0,6.0,3.0,,,,,,1.0,,2.0,3.0,F,,2.0,,,,,1.0,,,1.0,1.0,1.0,2.0,,,,
