match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelWon,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_totalCross,stat_totalClearance,stat_wonTackle,stat_fouls,stat_accurateCross,stat_keyPass,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_totalOffside,stat_expectedGoalsOnTarget,stat_dispossessed,captain,stat_bigChanceCreated,stat_bigChanceMissed,stat_goals,player_sofascoreId,stat_errorLeadToAShot
12421013,home,KV Mechelen,Ortwin De Wolf,,,de-wolf-ortwin,O. D. Wolf,G,1,190,160,M,877292,EUR,830217600,G,1,1,False,30.0,18.0,19.0,8.0,0.0,15.0,18.0,3.0,12.0,1.0,1.0,11.0,3.0,1.0,4.0,90.0,44.0,6.7,12.0,0.00147632,0,-0.2733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421013,home,KV Mechelen,Jules Van Cleemput,,,jules-van-cleemput,J. Van Cleemput,D,2,182,37,M,799163,EUR,878601600,D,2,2,False,41.0,33.0,7.0,4.0,0.0,21.0,23.0,12.0,18.0,3.0,1.0,2.0,,,,76.0,54.0,6.9,9.0,0.00583732,2,,2.0,2.0,5.0,2.0,1.0,3.0,1.0,1.0,2.0,0.0512,,,,,,,,,,,,,,,,,,,
12421013,home,KV Mechelen,Toon Raemaekers,,,toon-raemaekers,T. Raemaekers,D,28,195,180,M,1006483,EUR,968457600,D,4,4,False,68.0,54.0,14.0,5.0,0.0,41.0,50.0,13.0,19.0,4.0,2.0,4.0,,,,90.0,79.0,6.2,16.0,0.0175705,0,,1.0,4.0,7.0,,,,3.0,,,,1.0,5.0,1.0,1.0,,,,,,,,,,,,,,,
12421013,home,KV Mechelen,José Marsà,,,jose-marsa,J. Martinez,D,3,181,217,M,962625,EUR,1015200000,D,3,3,False,37.0,30.0,5.0,1.0,0.0,19.0,21.0,12.0,17.0,3.0,,1.0,,,,76.0,45.0,6.6,7.0,0.0539363,0,,1.0,2.0,5.0,,,1.0,2.0,,1.0,,1.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,
12421013,home,KV Mechelen,Patrick Pflücke,,,patrick-pflucke,P. Pflücke,M,14,170,191,M,281283,EUR,849312000,M,77,77,False,51.0,46.0,5.0,2.0,0.0,18.0,22.0,31.0,39.0,3.0,,8.0,,,,90.0,83.0,7.8,16.0,0.363711,3,,1.0,,5.0,1.0,,,2.0,2.0,1.0,0.1287,10.0,1.0,2.0,1.0,3.0,4.0,3.0,2.0,1.0,1.0,1.0,0.0899,,,,,,,
12421013,home,KV Mechelen,Aziz Ouattara Mohammed,,,aziz-ouattara-mohammed,A. O. Mohammed,M,32,189,170,M,989070,EUR,978566400,M,32,32,False,40.0,37.0,7.0,4.0,0.0,14.0,14.0,23.0,26.0,7.0,1.0,6.0,,,,90.0,51.0,6.7,6.0,0.019131,1,,3.0,,6.0,1.0,,,3.0,,1.0,0.0239,,,2.0,2.0,,,3.0,2.0,,,,,1.0,,,,,,
12421013,home,KV Mechelen,Rob Schoofs,,,rob-schoofs,R. Schoofs,M,17,179,194,M,133164,EUR,764380800,M,16,16,False,57.0,49.0,9.0,5.0,0.0,22.0,24.0,27.0,33.0,2.0,,7.0,,,,90.0,67.0,8.0,9.0,0.327752,4,,,,3.0,1.0,,,1.0,1.0,1.0,0.104,,1.0,1.0,2.0,,4.0,1.0,1.0,3.0,,,0.522,,True,1.0,,,,
12421013,home,KV Mechelen,Daam Foulon,,,daam-foulon,D. Foulon,M,5,180,205,M,826170,EUR,922147200,M,23,23,False,44.0,37.0,5.0,1.0,0.0,16.0,17.0,21.0,30.0,5.0,2.0,3.0,,,,90.0,63.0,7.2,10.0,0.0130482,2,,3.0,3.0,8.0,1.0,,,2.0,,2.0,0.0901,3.0,2.0,1.0,1.0,,,1.0,1.0,1.0,,,0.0259,,,,,,,
12421013,home,KV Mechelen,Kerim Mrabti,,,kerim-mrabti,K. Mrabti,F,19,175,187,M,338869,EUR,769392000,F,19,19,False,22.0,17.0,2.0,1.0,0.0,5.0,6.0,12.0,16.0,7.0,1.0,1.0,,,,90.0,33.0,6.9,7.0,0.0780739,1,,4.0,1.0,5.0,,1.0,1.0,2.0,1.0,2.0,0.0189,,,,1.0,,1.0,,,1.0,,,0.1198,1.0,,,,,,
12421013,home,KV Mechelen,Lion Lauberbach,,,lion-lauberbach,L. Lauberbach,F,29,197,268,M,886171,EUR,887500800,F,20,20,False,11.0,8.0,,,0.0,4.0,6.0,5.0,6.0,1.0,,1.0,,,,33.0,17.0,7.2,5.0,0.0389445,3,,1.0,3.0,3.0,1.0,,,,2.0,,0.7949,1.0,,,,1.0,1.0,,,2.0,,,0.7009,,,,1.0,1.0,,
12421013,home,KV Mechelen,Nikola Storm,,,nikola-storm,N. Storm,F,26,178,277,M,149796,EUR,780883200,F,11,11,False,20.0,17.0,2.0,2.0,0.0,2.0,3.0,16.0,21.0,2.0,,1.0,,,,77.0,38.0,7.4,8.0,0.0667373,4,,,,4.0,1.0,,,2.0,,,0.3197,4.0,,2.0,,1.0,3.0,3.0,2.0,1.0,2.0,,0.2591,1.0,,,,,,
12421013,home,KV Mechelen,Bilal Bafdili,,,bafdili-bilal,B. Bafdili,M,11,180,191,M,1445119,EUR,1091491200,M,35,35,True,18.0,15.0,,,0.0,6.0,7.0,9.0,11.0,6.0,,2.0,,,,57.0,29.0,6.4,7.0,0.0109378,1,,2.0,,3.0,1.0,,,,1.0,1.0,0.1315,,,,1.0,,1.0,3.0,2.0,,,,,2.0,,,,,,
12421013,home,KV Mechelen,Geoffry Hairemans,,,geoffry-hairemans,G. Hairemans,F,11,184,140,M,58917,EUR,688003200,M,7,7,True,8.0,7.0,1.0,1.0,0.0,3.0,3.0,4.0,5.0,,,2.0,,,,14.0,11.0,6.5,2.0,0.00632512,0,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,
12421013,home,KV Mechelen,Julien Ngoy,,,julien-ngoy,J. Ngoy,F,7,185,145,M,848680,EUR,878428800,F,9,9,True,1.0,1.0,,,0.0,1.0,1.0,,,,,,,,,14.0,3.0,6.2,,4.654e-05,1,,,,1.0,1.0,,,,,1.0,0.3413,,,,,,,,,,,,,,,,1.0,,,
12421013,home,KV Mechelen,Petter Nosakhare Dahl,,,dahl-petter-nosakhare,P. N. Dahl,F,10,180,237,M,1199192,EUR,1066780800,F,10,10,True,4.0,4.0,,,0.0,2.0,2.0,2.0,2.0,,,,,,,13.0,6.0,6.5,2.0,0.00857396,0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
12421013,home,KV Mechelen,Oskar Annell,,,annell-oskar,O. Annell,G,31,190,34,M,1445113,EUR,1108425600,G,31,31,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421013,home,KV Mechelen,Yannick Thoelen,,,yannick-thoelen,Y. Thoelen,G,15,188,95,M,794571,EUR,648259200,G,15,15,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421013,home,KV Mechelen,Sandy Walsh,,,sandy-walsh,S. Walsh,D,14,185,7746,M,163199,EUR,795139200,D,5,5,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sandywalsh,
12421013,home,KV Mechelen,Bas Van den Eynden,,,van-den-eynden-bas,B. V. d. Eynden,D,6,190,66,M,1048359,EUR,1010361600,M,29,29,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421013,home,KV Mechelen,Elton Yeboah,,,elton-yeboah,E. Yeboah,M,21,185,78,M,1893878,EUR,1111708800,M,36,36,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
