match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_duelLost,stat_challengeLost,stat_totalClearance,stat_fouls,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_duelWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_totalCross,stat_accurateCross,stat_dispossessed,stat_bigChanceCreated,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_interceptionWon,stat_unsuccessfulTouch,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_totalContest,stat_wonContest,stat_totalOffside,captain,stat_bigChanceMissed,player_sofascoreId,stat_goals,stat_outfielderBlock,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAGoal,stat_errorLeadToAShot
12421106,home,Club Brugge KV,Simon Mignolet,simon-mignolet,S. Mignolet,G,22,193,1240,M,10406,EUR,573609600,G,22,22,False,32.0,28.0,9.0,6.0,0.0,24.0,26.0,4.0,6.0,5.0,1.0,1.0,90.0,37.0,6.8,4.0,0.00192883,0,-0.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421106,home,Club Brugge KV,Joaquin Seys,joaquin-seys,J. Seys,D,65,178,1482,M,1395881,EUR,1111968000,D,65,65,False,43.0,37.0,2.0,,0.0,19.0,21.0,18.0,22.0,2.0,,,69.0,52.0,6.6,6.0,0.0184714,0,,,,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421106,home,Club Brugge KV,Joel Ordóñez,joel-ordonez,J. Ordóñez,D,4,188,4924,M,1187275,EUR,1082505600,D,4,4,False,64.0,61.0,4.0,2.0,0.0,48.0,49.0,13.0,15.0,3.0,,,90.0,75.0,7.0,3.0,0.01885,0,,,,1.0,,7.0,,,1.0,2.0,5.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
12421106,home,Club Brugge KV,Brandon Mechele,brandon-mechele,B. Mechele,D,44,188,823,M,248331,EUR,728179200,D,44,44,False,67.0,60.0,9.0,6.0,0.0,42.0,46.0,18.0,21.0,3.0,,,90.0,71.0,6.9,7.0,0.0142168,0,,,,1.0,,2.0,1.0,,,1.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
12421106,home,Club Brugge KV,Maxim De Cuyper,maxim-de-cuyper,M. De Cuyper,D,29,183,4477,M,997152,EUR,977443200,D,55,55,False,49.0,39.0,9.0,3.0,0.0,18.0,20.0,24.0,37.0,1.0,,,90.0,76.0,7.6,18.0,0.351195,0,,,,1.0,,4.0,,3.0,,1.0,3.0,2.0,2.0,,8.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
12421106,home,Club Brugge KV,Ardon Jashari,ardon-jashari,A. Jashari,M,30,180,4830,M,1034082,EUR,1027987200,M,30,30,False,48.0,45.0,2.0,1.0,0.0,22.0,22.0,23.0,31.0,4.0,,,89.0,71.0,7.2,13.0,0.254442,3,,,,4.0,1.0,1.0,3.0,3.0,1.0,,5.0,,,5.0,5.0,,,,1.0,1.0,1.0,2.0,5.0,0.06,0.0838,,,,,,,,,,,,,
12421106,home,Club Brugge KV,Raphael Onyedika,raphael-onyedika,R. Onyedika,M,15,184,6213,M,1129862,EUR,987638400,M,15,15,False,47.0,42.0,2.0,2.0,0.0,18.0,20.0,24.0,27.0,7.0,,,90.0,60.0,7.4,9.0,0.156235,2,,,,4.0,,,2.0,2.0,,,4.0,1.0,1.0,2.0,,,,,1.0,1.0,,2.0,2.0,0.1079,0.1915,3.0,1.0,1.0,,,,,,,,,,
12421106,home,Club Brugge KV,Andreas Skov Olsen,andreas-skov-olsen,A. Skov Olsen,M,7,187,2523,M,888537,EUR,946425600,M,7,7,False,26.0,23.0,1.0,,0.0,6.0,6.0,17.0,22.0,4.0,,,69.0,48.0,7.3,11.0,0.114372,4,,,,4.0,,1.0,1.0,1.0,,,3.0,1.0,1.0,,2.0,,3.0,,1.0,2.0,1.0,,2.0,0.3476,0.818,2.0,2.0,,,,,,,,,,,
12421106,home,Club Brugge KV,Hans Vanaken,hans-vanaken,H. Vanaken,M,20,194,2941,M,118085,EUR,714614400,M,20,20,False,50.0,47.0,4.0,4.0,1.0,15.0,15.0,32.0,35.0,4.0,,,90.0,56.0,7.3,4.0,0.660465,2,,,,6.0,2.0,,1.0,2.0,2.0,1.0,2.0,,,1.0,,,1.0,1.0,2.0,,,,,0.343,,,,,True,1.0,,,,,,,,
12421106,home,Club Brugge KV,Christos Tzolis,tzolis-christos,C. Tzolis,M,8,180,9518,M,1031259,EUR,1012348800,M,8,8,False,34.0,27.0,,,1.0,12.0,14.0,16.0,25.0,8.0,,,80.0,55.0,8.4,17.0,0.0329422,4,,,,1.0,,,,2.0,1.0,3.0,8.0,4.0,2.0,1.0,5.0,1.0,,1.0,1.0,3.0,,,5.0,0.1916,0.7417,,,1.0,,,absolute_christostzolis,,,,,,,
