match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialWon,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_interceptionWon,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_bigChanceCreated,captain,stat_accurateCross,stat_bigChanceMissed,stat_goals,stat_hitWoodwork,stat_punches,stat_errorLeadToAGoal,stat_totalOffside
12421171,home,Oud-Heverlee Leuven,Tobe Leysen,,,tobe-leysen,T. Leysen,G,1,187.0,289,M,996979,EUR,1015632000,G,1,1,False,32.0,21.0,16.0,5.0,0.0,18.0,21.0,3.0,11.0,2.0,17.0,3.0,6.0,2.0,2.0,90.0,50.0,8.1,11.0,0.00073968,0,1.0182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421171,home,Oud-Heverlee Leuven,Óscar Gil,,,oscar-gil,Ó. Gil,D,27,175.0,90,M,959820,EUR,893548800,D,27,27,False,27.0,22.0,2.0,1.0,0.0,7.0,9.0,15.0,19.0,1.0,2.0,,,,,90.0,50.0,7.5,9.0,0.0144565,0,,1.0,1.0,6.0,8.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,
12421171,home,Oud-Heverlee Leuven,Hasan Kuruçay,,,kurucay-hassan,H. Kuruçay,D,4,187.0,204,M,852096,EUR,872985600,D,58,58,False,76.0,71.0,8.0,5.0,0.0,42.0,43.0,29.0,33.0,8.0,5.0,,,,,90.0,95.0,8.3,5.0,0.0567649,3,,,,,5.0,,,,,1.0,2.0,1.0,,,,2.0,3.0,1.0,1.0,1.0,1.0,0.0938,0.3443,,,,,,,,,
12421171,home,Oud-Heverlee Leuven,Takuma Ominami,,,takuma-ominami,T. Ominami,D,5,184.0,257,M,832976,EUR,881971200,D,5,5,False,73.0,67.0,9.0,8.0,0.0,50.0,51.0,17.0,22.0,5.0,5.0,,,,,90.0,84.0,7.6,6.0,0.00746489,0,,,1.0,2.0,7.0,1.0,,1.0,1.0,1.0,,,,,,,6.0,,,,1.0,,,,,,,,,,,
12421171,home,Oud-Heverlee Leuven,Hamza Mendyl,,,hamza-mendyl,H. Mendyl,D,37,179.0,703,M,846447,EUR,877392000,D,20,20,False,53.0,44.0,4.0,2.0,1.0,25.0,27.0,19.0,29.0,2.0,3.0,,,,,89.0,75.0,7.5,17.0,0.0366753,1,,3.0,,3.0,6.0,,1.0,5.0,3.0,,2.0,2.0,1.0,,,1.0,1.0,1.0,,,,0.1293,,1.0,,,,,,,,
12421171,home,Oud-Heverlee Leuven,Ezechiel Banzuzi,Ezechiel Banzuzi,,ezechiel-banzuzi,E. Banzuzi,M,6,191.0,1087,M,1155383,EUR,1108512000,M,6,6,False,3.0,3.0,,,0.0,1.0,1.0,2.0,2.0,,1.0,,,,,19.0,4.0,6.5,,0.00246028,1,,,,1.0,,,,,,,,,,,1.0,1.0,,,,1.0,,0.0652,,,,,,,,,,
12421171,home,Oud-Heverlee Leuven,Birger Verstraete,,,birger-verstraete,B. Verstraete,M,4,171.0,119,M,192268,EUR,766454400,M,4,4,False,64.0,56.0,12.0,9.0,0.0,24.0,27.0,32.0,37.0,2.0,8.0,,,,,90.0,80.0,7.9,9.0,0.353657,1,,,,4.0,9.0,1.0,1.0,4.0,4.0,,1.0,1.0,,3.0,2.0,2.0,1.0,1.0,,,1.0,0.0856,,1.0,,,,,,,,
12421171,home,Oud-Heverlee Leuven,Konan N'Dri,,,ndri-konan,K. N'Dri,F,11,174.0,435,M,978327,EUR,972604800,M,11,11,False,11.0,9.0,,,0.0,1.0,2.0,8.0,10.0,,3.0,,,,,67.0,26.0,6.2,10.0,0.034169,2,,1.0,,10.0,3.0,,4.0,1.0,,,3.0,,2.0,,5.0,2.0,,1.0,,1.0,,0.0494,,,,,,,,,,
12421171,home,Oud-Heverlee Leuven,Siebe Schrijvers,,,siebe-schrijvers,S. Schrijvers,M,8,178.0,212,M,190413,EUR,837648000,M,8,8,False,42.0,37.0,3.0,1.0,0.0,16.0,17.0,24.0,32.0,,8.0,,,,,90.0,62.0,7.1,12.0,0.32055,4,,7.0,1.0,5.0,3.0,,2.0,1.0,,,2.0,,,,1.0,2.0,1.0,1.0,2.0,1.0,3.0,0.3727,0.5777,,True,3.0,1.0,,,,,
12421171,home,Oud-Heverlee Leuven,Stefan Mitrović,,,stefan-mitrovic,S. Mitrović,F,75,181.0,893,M,1019892,EUR,1029369600,M,23,23,False,23.0,20.0,3.0,2.0,0.0,7.0,7.0,14.0,20.0,,3.0,,,,,90.0,40.0,6.8,10.0,0.234339,3,,4.0,3.0,9.0,2.0,2.0,2.0,3.0,1.0,,1.0,1.0,,,,2.0,,1.0,2.0,,,0.2058,0.2051,,,1.0,,,,,,
