match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_keyPass,stat_outfielderBlock,player_sofascoreId,stat_wonContest,stat_shotOffTarget,captain,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_dispossessed,stat_totalOffside,stat_errorLeadToAGoal,stat_bigChanceMissed
12421252,home,KVC Westerlo,Andreas Jungdal,,,andreas-jungdal,A. Jungdal,G,99,195,289,M,963038,EUR,1014336000,G,99,99,False,38.0,25.0,22.0,10.0,0.0,18.0,20.0,7.0,18.0,2.0,2.0,3.0,7.0,2.0,1.0,2.0,3.0,90.0,52.0,7.7,14.0,0.00172886,0,0.1678,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421252,home,KVC Westerlo,Bryan Reynolds,,,bryan-reynolds,B. Reynolds,D,22,185,426,M,862075,EUR,993686400,D,22,22,False,26.0,19.0,3.0,2.0,0.0,8.0,9.0,13.0,21.0,,3.0,3.0,4.0,,,,,90.0,56.0,7.2,17.0,0.101274,1,,4.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,0.0727,4.0,,,,,,,,,,,,
12421252,home,KVC Westerlo,Roman Neustädter,,,roman-neustadter,R. Neustädter,D,33,190,122,M,38471,EUR,572140800,D,33,33,False,31.0,25.0,7.0,1.0,0.0,19.0,22.0,6.0,9.0,1.0,2.0,3.0,,,,,,90.0,42.0,7.1,6.0,0.00421634,0,,,,4.0,5.0,1.0,,,,1.0,1.0,,,,,,2.0,,,,,,,,,,,
12421252,home,KVC Westerlo,Luka Vušković,,,luka-vuskovic,L. Vušković,D,44,193,11576,M,1405212,EUR,1172275200,D,44,44,False,32.0,30.0,6.0,5.0,0.0,25.0,25.0,5.0,7.0,4.0,6.0,14.0,4.0,,,,,90.0,58.0,8.4,3.0,0.00190691,2,,,,,,,1.0,1.0,1.0,,,1.0,2.0,,0.2619,,4.0,lukavuskovic,1.0,1.0,,,,,,,,
12421252,home,KVC Westerlo,Tuur Rommens,,,rommens-tuur,T. Rommens,D,25,185,329,M,1130011,EUR,1048636800,D,25,25,False,29.0,18.0,6.0,2.0,0.0,8.0,9.0,10.0,23.0,4.0,8.0,7.0,2.0,,,,,81.0,58.0,7.4,18.0,0.00448753,0,,3.0,,,3.0,2.0,4.0,,2.0,,,1.0,,1.0,,1.0,1.0,,4.0,,,,,,,,,
12421252,home,KVC Westerlo,Doğucan Haspolat,,,dogucan-haspolat,D. Haspolat,M,34,177,454,M,846087,EUR,950227200,M,34,34,False,29.0,18.0,7.0,1.0,0.0,12.0,15.0,7.0,18.0,,4.0,2.0,2.0,,,,,90.0,45.0,7.5,15.0,0.0163714,1,,4.0,1.0,1.0,5.0,,2.0,,1.0,3.0,3.0,,,3.0,0.3657,1.0,,,1.0,,True,1.0,1.0,0.9691,,,,
12421252,home,KVC Westerlo,Thomas Van den Keybus,,,thomas-van-den-keybus,T. V. d. Keybus,M,39,179,112,M,997164,EUR,988156800,M,39,39,False,31.0,26.0,5.0,4.0,0.0,9.0,10.0,18.0,25.0,2.0,12.0,1.0,11.0,,,,,90.0,56.0,7.6,12.0,0.173456,1,,4.0,1.0,1.0,3.0,,3.0,,2.0,7.0,5.0,2.0,1.0,,0.027,2.0,,,2.0,1.0,,,,,1.0,,,
12421252,home,KVC Westerlo,Griffin Yow,,,griffin-yow,G. Yow,M,18,173,283,M,979808,EUR,1032912000,M,18,18,False,9.0,7.0,1.0,,0.0,,1.0,7.0,9.0,,6.0,5.0,3.0,,,,,81.0,39.0,6.7,13.0,0.0198057,2,,1.0,,2.0,12.0,1.0,4.0,,,4.0,2.0,3.0,1.0,2.0,0.3558,,,,1.0,1.0,,1.0,,0.3153,4.0,1.0,,
12421252,home,KVC Westerlo,Isa Sakamoto,Issai Sakamoto,,isa-sakamoto,I. Sakamoto,M,13,174,492,M,1126245,EUR,1061856000,M,13,13,False,11.0,8.0,1.0,,1.0,1.0,2.0,7.0,9.0,,,,5.0,,,,,65.0,18.0,6.5,7.0,0.0174211,1,,,,1.0,6.0,2.0,2.0,1.0,1.0,,,1.0,,,0.0375,1.0,,,,,,,,,1.0,,,
12421252,home,KVC Westerlo,Josimar Alcócer,,,josimar-alcocer,J. Alcócer,M,77,185,655,M,1131598,EUR,1089158400,M,77,77,False,20.0,14.0,1.0,,0.0,6.0,6.0,8.0,14.0,,7.0,2.0,5.0,,,,,70.0,43.0,7.1,11.0,0.0140423,3,,,,,8.0,1.0,1.0,2.0,1.0,4.0,3.0,,2.0,2.0,0.1579,1.0,,,1.0,,,1.0,,0.1052,5.0,,,
