match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_totalOffside,stat_expectedGoals,stat_keyPass,stat_aerialWon,stat_outfielderBlock,stat_unsuccessfulTouch,stat_bigChanceCreated,stat_challengeLost,stat_dispossessed,captain,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoalsOnTarget,stat_goals,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
13472696,home,Cruzeiro,Cássio,cassio,Cássio,G,1,195,4592,M,rcassio12,27756,EUR,549936000,G,1,1,False,15.0,9.0,10.0,4.0,0.0,5.0,5.0,4.0,10.0,2.0,5.0,2.0,4.0,2.0,90.0,22.0,7.2,6.0,0.0004459,0,-0.2458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472696,home,Cruzeiro,William,william,William,D,12,176,2476,M,,604274,EUR,796867200,D,12,12,False,30.0,22.0,4.0,1.0,0.0,9.0,12.0,13.0,18.0,4.0,5.0,,,,90.0,66.0,8.0,19.0,0.1027,1,,,,6.0,3.0,1.0,2.0,7.0,1.0,1.0,1.0,1.0,4.0,4.0,2.0,1.0,1.0,0.0094,3.0,,,,,,,,,,,,,,
13472696,home,Cruzeiro,Fabrício Bruno,fabricio-bruno,F. Bruno,D,15,192,6526,M,fabriciobruno96,840220,EUR,824083200,D,15,15,False,31.0,22.0,9.0,3.0,0.0,18.0,22.0,4.0,9.0,11.0,4.0,,,,90.0,47.0,6.9,11.0,0.00096667,0,,,,1.0,,3.0,3.0,5.0,,,,,1.0,1.0,,,,,,4.0,1.0,1.0,,,,,,,,,,,
13472696,home,Cruzeiro,Jonathan Jesus,jonathan,J. Jesus,D,34,187,1356,M,,1498670,EUR,1085616000,D,34,34,False,19.0,19.0,4.0,4.0,1.0,13.0,13.0,6.0,6.0,7.0,,,,,90.0,31.0,7.3,,0.00291292,0,,,,,,,1.0,1.0,,,,,,,,1.0,,,1.0,1.0,1.0,,1.0,,,,,,,,,,
13472696,home,Cruzeiro,Kaiki,kaiki,Kaiki,D,6,172,2601,M,,1112484,EUR,1047081600,D,6,6,False,15.0,11.0,1.0,,1.0,8.0,9.0,3.0,6.0,6.0,7.0,,,,90.0,51.0,7.8,15.0,0.00145116,1,,Kaiki,,2.0,,1.0,8.0,10.0,2.0,1.0,1.0,3.0,7.0,7.0,1.0,3.0,,0.0595,1.0,1.0,1.0,2.0,1.0,1.0,2.0,,,,,,,,
13472696,home,Cruzeiro,Lucas Romero,lucas-romero,L. Romero,M,29,167,2727,M,,263477,EUR,766627200,M,29,29,False,19.0,11.0,7.0,3.0,0.0,6.0,12.0,5.0,7.0,3.0,3.0,,,,90.0,36.0,6.7,10.0,0.00515652,0,,,,,,,4.0,3.0,1.0,,,2.0,,,3.0,3.0,,,1.0,,1.0,1.0,,,,,,,,,,,
13472696,home,Cruzeiro,Lucas Silva,lucas-silva,L. Silva,M,16,182,2401,M,,245159,EUR,729820800,M,16,16,False,37.0,26.0,2.0,1.0,0.0,11.0,17.0,15.0,20.0,3.0,5.0,,,,90.0,47.0,6.6,13.0,0.0237709,1,,,,,,,3.0,2.0,1.0,,1.0,1.0,1.0,,,1.0,,0.0703,,1.0,,,,,1.0,True,,,,,,,
13472696,home,Cruzeiro,Christian,christian,Christian,M,88,178,1761,M,,981733,EUR,977184000,M,88,88,False,20.0,18.0,1.0,,0.0,5.0,6.0,13.0,14.0,,3.0,,,,90.0,38.0,6.9,8.0,0.0218331,2,,,,,,2.0,7.0,7.0,4.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,0.1497,1.0,1.0,1.0,2.0,,,1.0,,,,,,,,
13472696,home,Cruzeiro,Matheus Pereira,matheus-pereira,M. Pereira,M,10,175,14140,M,matheus_pereira,377238,EUR,831254400,M,10,10,False,23.0,16.0,4.0,3.0,0.0,7.0,10.0,9.0,13.0,,5.0,,,,88.0,42.0,6.8,15.0,0.217581,3,,,,4.0,2.0,1.0,8.0,6.0,2.0,1.0,1.0,,1.0,1.0,3.0,1.0,,0.1447,2.0,1.0,,2.0,,3.0,2.0,,1.0,1.0,0.0421,,,,
13472696,home,Cruzeiro,Wanderson,wanderson,Wanderson,M,94,175,1923,M,,247483,EUR,781401600,M,94,94,False,9.0,5.0,,,0.0,3.0,4.0,2.0,5.0,,5.0,,,,64.0,21.0,6.6,6.0,0.00253083,2,,,,1.0,,,3.0,2.0,1.0,1.0,,1.0,1.0,,,2.0,,0.1014,,,,,,1.0,,,,2.0,,,,,
