match_id,period,group,name,home,away
13472770,ALL,Match overview,Ball possession,61%,39%
13472770,ALL,Match overview,Expected goals,1.04,1.65
13472770,ALL,Match overview,Big chances,3,2
13472770,ALL,Match overview,Total shots,14,13
13472770,ALL,Match overview,Goalkeeper saves,3,5
13472770,ALL,Match overview,Corner kicks,12,5
13472770,ALL,Match overview,Fouls,13,18
13472770,ALL,Match overview,Passes,455,289
13472770,ALL,Match overview,Tackles,18,17
13472770,ALL,Match overview,Free kicks,18,13
13472770,ALL,Match overview,Yellow cards,2,3
13472770,ALL,Shots,Total shots,14,13
13472770,ALL,Shots,Shots on target,5,4
13472770,ALL,Shots,Hit woodwork,0,2
13472770,ALL,Shots,Shots off target,6,4
13472770,ALL,Shots,Blocked shots,3,5
13472770,ALL,Shots,Shots inside box,10,7
13472770,ALL,Shots,Shots outside box,4,6
13472770,ALL,Attack,Big chances scored,0,1
13472770,ALL,Attack,Big chances missed,3,1
13472770,ALL,Attack,Touches in penalty area,25,16
13472770,ALL,Attack,Fouled in final third,4,1
13472770,ALL,Attack,Offsides,2,0
13472770,ALL,Passes,Accurate passes,387,209
13472770,ALL,Passes,Throw-ins,27,25
13472770,ALL,Passes,Final third entries,57,43
13472770,ALL,Passes,Final third phase,113/145 (78%),65/92 (71%)
13472770,ALL,Passes,Long balls,33/42 (79%),29/69 (42%)
13472770,ALL,Passes,Crosses,10/42 (24%),5/22 (23%)
13472770,ALL,Duels,Duels,59%,41%
13472770,ALL,Duels,Dispossessed,11,7
13472770,ALL,Duels,Ground duels,39/76 (51%),37/76 (49%)
13472770,ALL,Duels,Aerial duels,33/47 (70%),14/47 (30%)
13472770,ALL,Duels,Dribbles,6/12 (50%),8/19 (42%)
13472770,ALL,Defending,Tackles won,50%,65%
13472770,ALL,Defending,Total tackles,18,17
13472770,ALL,Defending,Interceptions,6,9
13472770,ALL,Defending,Recoveries,43,47
13472770,ALL,Defending,Clearances,32,37
13472770,ALL,Defending,Errors lead to a goal,1,0
13472770,ALL,Goalkeeping,Total saves,3,5
13472770,ALL,Goalkeeping,Goals prevented,0.32,-0.02
13472770,ALL,Goalkeeping,Big saves,1,2
13472770,ALL,Goalkeeping,High claims,0,1
13472770,ALL,Goalkeeping,Goal kicks,6,10
13472770,1ST,Match overview,Ball possession,61%,39%
13472770,1ST,Match overview,Expected goals,0.59,1.13
13472770,1ST,Match overview,Big chances,3,1
13472770,1ST,Match overview,Total shots,7,6
13472770,1ST,Match overview,Goalkeeper saves,2,0
13472770,1ST,Match overview,Corner kicks,8,3
13472770,1ST,Match overview,Passes,224,147
13472770,1ST,Match overview,Tackles,3,9
13472770,1ST,Match overview,Free kicks,5,5
13472770,1ST,Match overview,Yellow cards,0,0
13472770,1ST,Shots,Total shots,7,6
13472770,1ST,Shots,Shots on target,0,3
13472770,1ST,Shots,Hit woodwork,0,1
13472770,1ST,Shots,Shots off target,5,2
13472770,1ST,Shots,Blocked shots,2,1
13472770,1ST,Shots,Shots inside box,5,4
13472770,1ST,Shots,Shots outside box,2,2
13472770,1ST,Attack,Big chances scored,0,1
13472770,1ST,Attack,Big chances missed,3,0
13472770,1ST,Attack,Fouled in final third,2,0
13472770,1ST,Attack,Offsides,1,0
13472770,1ST,Passes,Accurate passes,191,105
13472770,1ST,Passes,Throw-ins,19,6
13472770,1ST,Passes,Final third entries,28,21
13472770,1ST,Passes,Long balls,20/23 (87%),13/36 (36%)
13472770,1ST,Passes,Crosses,7/26 (27%),2/12 (17%)
13472770,1ST,Duels,Duels,51%,49%
13472770,1ST,Duels,Dispossessed,6,2
13472770,1ST,Duels,Ground duels,12/32 (38%),20/32 (63%)
13472770,1ST,Duels,Aerial duels,16/23 (70%),7/23 (30%)
13472770,1ST,Duels,Dribbles,4/7 (57%),7/8 (88%)
13472770,1ST,Defending,Tackles won,33%,78%
13472770,1ST,Defending,Total tackles,3,9
13472770,1ST,Defending,Interceptions,3,6
13472770,1ST,Defending,Recoveries,20,26
13472770,1ST,Defending,Clearances,17,21
13472770,1ST,Goalkeeping,Total saves,2,0
13472770,1ST,Goalkeeping,Goal kicks,5,5
13472770,2ND,Match overview,Ball possession,61%,39%
13472770,2ND,Match overview,Expected goals,0.45,0.52
13472770,2ND,Match overview,Big chances,0,1
13472770,2ND,Match overview,Total shots,7,7
13472770,2ND,Match overview,Goalkeeper saves,1,5
13472770,2ND,Match overview,Corner kicks,4,2
13472770,2ND,Match overview,Passes,231,142
13472770,2ND,Match overview,Tackles,15,8
13472770,2ND,Match overview,Free kicks,13,8
13472770,2ND,Match overview,Yellow cards,2,3
13472770,2ND,Shots,Total shots,7,7
13472770,2ND,Shots,Shots on target,5,1
13472770,2ND,Shots,Hit woodwork,0,1
13472770,2ND,Shots,Shots off target,1,2
13472770,2ND,Shots,Blocked shots,1,4
13472770,2ND,Shots,Shots inside box,5,3
13472770,2ND,Shots,Shots outside box,2,4
13472770,2ND,Attack,Big chances scored,0,0
13472770,2ND,Attack,Big chances missed,0,1
13472770,2ND,Attack,Fouled in final third,2,1
13472770,2ND,Attack,Offsides,1,0
13472770,2ND,Passes,Accurate passes,196,104
13472770,2ND,Passes,Throw-ins,8,19
13472770,2ND,Passes,Final third entries,29,22
13472770,2ND,Passes,Long balls,13/19 (68%),16/33 (48%)
13472770,2ND,Passes,Crosses,3/16 (19%),3/10 (30%)
13472770,2ND,Duels,Duels,65%,35%
13472770,2ND,Duels,Dispossessed,5,5
13472770,2ND,Duels,Ground duels,27/44 (61%),17/44 (39%)
13472770,2ND,Duels,Aerial duels,17/24 (71%),7/24 (29%)
13472770,2ND,Duels,Dribbles,2/5 (40%),1/11 (9%)
13472770,2ND,Defending,Tackles won,53%,50%
13472770,2ND,Defending,Total tackles,15,8
13472770,2ND,Defending,Interceptions,3,3
13472770,2ND,Defending,Recoveries,23,21
13472770,2ND,Defending,Clearances,15,16
13472770,2ND,Goalkeeping,Total saves,1,5
13472770,2ND,Goalkeeping,Goal kicks,1,5
