match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,captain,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_dispossessed,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_bigChanceMissed,stat_shotOffTarget,stat_hitWoodwork,stat_interceptionWon,stat_keyPass,stat_accurateCross,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_goals,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalOffside
12694093,home,Coventry City,Ben Wilson,ben-wilson,B. Wilson,G,13,186,99,M,216590,EUR,713318400,G,13,13,False,25.0,23.0,7.0,5.0,0.0,22.0,22.0,1.0,3.0,3.0,90.0,26.0,6.8,2.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12694093,home,Coventry City,Joel Latibeaudiere,latibeaudiere-joel,J. Latibeaudiere,D,22,180,331,M,859763,EUR,947116800,D,22,22,False,40.0,34.0,2.0,1.0,0.0,19.0,20.0,15.0,21.0,4.0,63.0,50.0,6.6,8.0,0,,,True,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
12694093,home,Coventry City,Bobby Thomas,thomas-bobby,B. Thomas,D,4,186,250,M,1033352,EUR,980812800,D,4,4,False,80.0,69.0,14.0,7.0,0.0,48.0,49.0,21.0,31.0,7.0,90.0,91.0,7.4,13.0,0,,,,,1.0,,2.0,3.0,,1.0,2.0,,1.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
12694093,home,Coventry City,Liam Kitching,liam-kitching,L. Kitching,D,15,186,133,M,921006,EUR,938736000,D,15,15,False,73.0,68.0,6.0,4.0,0.0,47.0,47.0,21.0,26.0,3.0,90.0,83.0,7.1,5.0,1,,,,,2.0,,2.0,1.0,,,1.0,,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,
12694093,home,Coventry City,Jay Dasilva,dasilva-jay,J. Dasilva,D,3,170,214,M,791985,EUR,893203200,D,3,3,False,56.0,50.0,4.0,4.0,0.0,13.0,14.0,37.0,45.0,4.0,90.0,80.0,7.5,11.0,0,,,,3.0,,,4.0,5.0,1.0,,2.0,1.0,2.0,2.0,,3.0,1.0,,,,,1.0,,,,,,,,,,,
12694093,home,Coventry City,Jamie Allen,jamie-allen,J. Allen,M,8,180,72,M,310546,EUR,791337600,M,8,8,False,37.0,34.0,1.0,,0.0,9.0,9.0,25.0,28.0,3.0,73.0,42.0,6.9,5.0,1,,,,,,,1.0,1.0,,1.0,,,1.0,,,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,
12694093,home,Coventry City,Josh Eccles,josh-eccles,J. Eccles,M,28,181,145,M,944245,EUR,954979200,M,28,28,False,53.0,47.0,5.0,4.0,0.0,11.0,11.0,36.0,42.0,1.0,63.0,60.0,7.2,7.0,1,,,,,,1.0,2.0,3.0,1.0,,,,1.0,,,2.0,2.0,,1.0,,2.0,,,,,,,,,,,,
12694093,home,Coventry City,Ephron Mason-Clark,ephron-mason-clark,M. Ephron,M,10,178,360,M,861315,EUR,935539200,M,10,10,False,13.0,12.0,,,0.0,,,13.0,16.0,3.0,90.0,36.0,7.6,8.0,5,,,,3.0,1.0,,4.0,7.0,1.0,2.0,2.0,,2.0,,,2.0,1.0,,1.0,,1.0,2.0,1.0,3.0,3.0,1.0,3.0,,,,,,
12694093,home,Coventry City,Kasey Palmer,kasey-palmer,K. Palmer,M,54,180,577,M,788260,EUR,847497600,M,45,45,False,32.0,26.0,4.0,1.0,1.0,3.0,3.0,24.0,37.0,2.0,89.0,54.0,7.4,17.0,2,,,,8.0,1.0,,6.0,3.0,,,2.0,1.0,4.0,,,1.0,,,2.0,,2.0,3.0,1.0,,,,,1.0,,,,,
12694093,home,Coventry City,Brandon Thomas-Asante,brandon-thomas-asante,B. Thomas-Asante,F,23,180,3119,M,846061,EUR,912384000,M,23,23,False,21.0,13.0,1.0,,0.0,1.0,2.0,12.0,21.0,3.0,90.0,39.0,7.7,15.0,5,,,,2.0,2.0,4.0,5.0,9.0,,2.0,1.0,2.0,,,,1.0,,,1.0,,,1.0,,5.0,3.0,2.0,2.0,,1.0,,,,
12694093,home,Coventry City,Norman Bassette,bassette-norman,N. Bassette,F,17,186,558,M,1137328,EUR,1099958400,F,37,37,False,7.0,5.0,,,0.0,1.0,1.0,4.0,6.0,,63.0,13.0,6.9,4.0,1,,,,,,,3.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,,,,,3.0,,,,1.0,,,,,,,
12694093,home,Coventry City,Milan van Ewijk,milan-van-ewijk,M. v. Ewijk,D,27,175,698,M,948723,EUR,968371200,D,27,27,True,23.0,16.0,3.0,1.0,0.0,9.0,9.0,7.0,15.0,5.0,27.0,32.0,6.9,8.0,0,,,,1.0,,,,3.0,,,2.0,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,
12694093,home,Coventry City,Victor Torp,victor-torp,V. Torp,M,29,184,523,M,837011,EUR,933292800,M,29,29,True,7.0,4.0,2.0,,0.0,1.0,1.0,3.0,6.0,1.0,27.0,10.0,6.8,3.0,1,,,,,,,2.0,2.0,,,,2.0,,,,2.0,2.0,,,,,,,,,1.0,,,,,,,
12694093,home,Coventry City,Tatsuhiro Sakamoto,sakamoto-tatsuhiro,T. Sakamoto,M,7,170,996,M,978927,EUR,845942400,M,7,7,True,5.0,5.0,,,0.0,,,6.0,8.0,1.0,27.0,10.0,6.6,3.0,0,,,,3.0,,,1.0,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,
12694093,home,Coventry City,Ben Sheaf,ben-sheaf,B. Sheaf,M,18,185,258,M,789229,EUR,886636800,M,14,14,True,19.0,16.0,,,0.0,7.0,7.0,10.0,13.0,2.0,17.0,23.0,7.0,4.0,0,,,,1.0,,,,1.0,,1.0,,,,,,1.0,,,,,1.0,3.0,1.0,,,,,,,,,,
12694093,home,Coventry City,Jack Rudoni,jack-rudoni,J. Rudoni,M,5,185,602,M,979565,EUR,992476800,M,5,5,True,2.0,2.0,,,0.0,,,2.0,2.0,,1.0,6.0,,1.0,0,,,,,,1.0,1.0,2.0,,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,
12694093,home,Coventry City,Bradley Collins,bradley-collins,B. Collins,G,24,184,104,M,788259,EUR,856224000,G,40,40,True,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12694093,home,Coventry City,Jake Bidwell,jake-bidwell,J. Bidwell,D,21,183,106,M,103115,EUR,732672000,D,21,21,True,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12694093,home,Coventry City,Haji Wright,haji-wright,H. Wright,F,11,193,2072,M,818391,EUR,890956800,F,11,11,True,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12694093,home,Coventry City,Ellis Simms,ellis-simms,E. Simms,F,9,190,914,M,991614,EUR,978652800,F,9,9,True,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12694093,away,Oxford United,Matt Ingram,matt-ingram,M. Ingram,G,21,191,48,M,136108,EUR,756172800,G,21,21,False,42.0,39.0,11.0,8.0,0.0,36.0,37.0,3.0,5.0,3.0,90.0,49.0,7.5,3.0,0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,3.0,4.0,1.0,
12694093,away,Oxford United,Peter Kioso,peter-kioso,P. Kioso,D,30,183,344,M,955042,EUR,934675200,D,30,30,False,30.0,22.0,6.0,2.0,0.0,13.0,18.0,9.0,13.0,3.0,90.0,54.0,7.1,11.0,1,,,,1.0,1.0,1.0,5.0,7.0,1.0,,1.0,2.0,,2.0,1.0,4.0,2.0,,1.0,,2.0,1.0,,2.0,1.0,,,,,,,,
12694093,away,Oxford United,Sam Long,sam-long,S. Long,D,2,179,34,M,255391,EUR,790214400,D,2,2,False,59.0,51.0,11.0,6.0,0.0,43.0,46.0,8.0,13.0,3.0,90.0,70.0,7.0,8.0,1,,,,,1.0,2.0,2.0,4.0,1.0,,2.0,,,6.0,1.0,,,,1.0,,,,,,,,,,,,,,
12694093,away,Oxford United,Ciaron Brown,ciaron-brown,C. Brown,D,3,185,77,M,948257,EUR,884736000,D,3,3,False,64.0,61.0,3.0,1.0,0.0,53.0,53.0,8.0,11.0,5.0,90.0,80.0,6.9,4.0,0,,,,,1.0,,3.0,1.0,,,,1.0,1.0,8.0,,,,,,,5.0,,,1.0,1.0,,,,,,,,
