match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,length,id,injury,isHome,incidentClass,playerName,reason,rescinded,player_id,player_name,from,description
12709453,FT,3.0,2.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,,
12709453,,,,,90,0.0,,1,,,injuryTime,4.0,,,,,,,,,,,
12709453,,,,,85,,,6,,,substitution,,122985281.0,False,False,regular,,,,,,,
12709453,,,,,82,,,9,,,card,,121511876.0,,True,yellow,Jamie Jellis,Argument,False,1652672.0,Jamie Jellis,,
12709453,,3.0,2.0,,77,,,14,,,goal,,186388168.0,,True,ownGoal,,,,351726.0,Michał Helik,owngoal,
12709453,,,,,73,,,18,,,substitution,,122985218.0,False,True,regular,,,,,,,
12709453,,2.0,2.0,,70,,,21,,,goal,,186388059.0,,True,regular,,,,1197297.0,Nathan Lowe,,
12709453,,,,,67,,,24,,,substitution,,122985188.0,False,False,regular,,,,,,,
12709453,,,,,67,,,24,,,substitution,,122985187.0,False,False,regular,,,,,,,
12709453,,1.0,2.0,,63,,,28,,,goal,,186387699.0,,True,regular,,,,1197297.0,Nathan Lowe,,
12709453,,,,,61,,,30,,,substitution,,122985135.0,False,True,regular,,,,,,,
12709453,,,,,61,,,30,,,substitution,,122985134.0,False,True,regular,,,,,,,
12709453,,,,,60,,,31,,,substitution,,122985133.0,False,True,regular,,,,,,,
12709453,,0.0,2.0,,53,,,38,,,goal,,186387503.0,,False,regular,,,,146477.0,Josh Ruffels,,
12709453,,,,,51,,,40,,,inGamePenalty,,118485472.0,,True,missed,,goalkeeperSave,,1197297.0,Nathan Lowe,,Goalkeeper save
12709453,,,,,46,,,45,,,substitution,,122985030.0,False,False,regular,,,,,,,
12709453,,,,,46,,,45,,,substitution,,122985029.0,False,False,regular,,,,,,,
12709453,HT,0.0,1.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,,
12709453,,,,,45,3.0,,1,,,card,,121511787.0,,False,yellow,Antony Evans,Foul,False,867858.0,Antony Evans,,
12709453,,,,,45,0.0,,1,,,injuryTime,3.0,,,,,,,,,,,
12709453,,,,,42,,,4,,,card,,121511775.0,,False,red,Matthew Pearson,Professional foul last man,False,216584.0,Matthew Pearson,,
12709453,,,,,22,,,24,,,card,,121511741.0,,False,yellow,Josh Ruffels,Foul,False,146477.0,Josh Ruffels,,
12709453,,0.0,1.0,,16,,,30,,,goal,,186385898.0,,False,regular,,,,836959.0,Josh Koroma,,
