match_id,period,group,name,home,away
12785412,ALL,Match overview,Ball possession,77%,23%
12785412,ALL,Match overview,Big chances,4,3
12785412,ALL,Match overview,Total shots,21,4
12785412,ALL,Match overview,Goalkeeper saves,0,3
12785412,ALL,Match overview,Corner kicks,10,4
12785412,ALL,Match overview,Fouls,5,8
12785412,ALL,Match overview,Passes,642,189
12785412,ALL,Match overview,Tackles,11,28
12785412,ALL,Match overview,Free kicks,8,5
12785412,ALL,Match overview,Yellow cards,1,0
12785412,ALL,Shots,Total shots,21,4
12785412,ALL,Shots,Shots on target,8,1
12785412,ALL,Shots,Hit woodwork,0,0
12785412,ALL,Shots,Shots off target,6,3
12785412,ALL,Shots,Blocked shots,7,0
12785412,ALL,Shots,Shots inside box,17,4
12785412,ALL,Shots,Shots outside box,4,0
12785412,ALL,Attack,Big chances scored,4,1
12785412,ALL,Attack,Big chances missed,0,2
12785412,ALL,Attack,Through balls,3,0
12785412,ALL,Attack,Touches in penalty area,64,19
12785412,ALL,Attack,Fouled in final third,0,2
12785412,ALL,Attack,Offsides,1,2
12785412,ALL,Passes,Accurate passes,576,120
12785412,ALL,Passes,Throw-ins,20,12
12785412,ALL,Passes,Final third entries,56,25
12785412,ALL,Passes,Final third phase,127/164 (77%),31/55 (56%)
12785412,ALL,Passes,Long balls,24/36 (67%),12/47 (26%)
12785412,ALL,Passes,Crosses,2/16 (13%),1/8 (13%)
12785412,ALL,Duels,Duels,48%,52%
12785412,ALL,Duels,Dispossessed,11,6
12785412,ALL,Duels,Ground duels,27/62 (44%),35/62 (56%)
12785412,ALL,Duels,Aerial duels,14/24 (58%),10/24 (42%)
12785412,ALL,Duels,Dribbles,8/25 (32%),2/7 (29%)
12785412,ALL,Defending,Tackles won,45%,54%
12785412,ALL,Defending,Total tackles,11,28
12785412,ALL,Defending,Interceptions,5,6
12785412,ALL,Defending,Recoveries,40,30
12785412,ALL,Defending,Clearances,9,30
12785412,ALL,Defending,Errors lead to a goal,0,3
12785412,ALL,Goalkeeping,Total saves,0,3
12785412,ALL,Goalkeeping,Big saves,0,2
12785412,ALL,Goalkeeping,High claims,1,0
12785412,ALL,Goalkeeping,Punches,1,2
12785412,ALL,Goalkeeping,Goal kicks,6,9
12785412,1ST,Match overview,Ball possession,74%,26%
12785412,1ST,Match overview,Big chances,1,1
12785412,1ST,Match overview,Total shots,12,2
12785412,1ST,Match overview,Goalkeeper saves,0,1
12785412,1ST,Match overview,Corner kicks,4,3
12785412,1ST,Match overview,Passes,317,108
12785412,1ST,Match overview,Tackles,8,15
12785412,1ST,Match overview,Free kicks,4,4
12785412,1ST,Match overview,Yellow cards,1,0
12785412,1ST,Shots,Total shots,12,2
12785412,1ST,Shots,Shots on target,3,0
12785412,1ST,Shots,Hit woodwork,0,0
12785412,1ST,Shots,Shots off target,3,2
12785412,1ST,Shots,Blocked shots,6,0
12785412,1ST,Shots,Shots inside box,9,2
12785412,1ST,Shots,Shots outside box,3,0
12785412,1ST,Attack,Big chances scored,1,0
12785412,1ST,Attack,Big chances missed,0,1
12785412,1ST,Attack,Through balls,1,0
12785412,1ST,Attack,Fouled in final third,0,2
12785412,1ST,Attack,Offsides,0,1
12785412,1ST,Passes,Accurate passes,289,70
12785412,1ST,Passes,Throw-ins,10,7
12785412,1ST,Passes,Final third entries,27,13
12785412,1ST,Passes,Long balls,15/21 (71%),4/23 (17%)
12785412,1ST,Passes,Crosses,2/8 (25%),1/6 (17%)
12785412,1ST,Duels,Duels,54%,46%
12785412,1ST,Duels,Dispossessed,7,5
12785412,1ST,Duels,Ground duels,16/36 (44%),20/36 (56%)
12785412,1ST,Duels,Aerial duels,9/10 (90%),1/10 (10%)
12785412,1ST,Duels,Dribbles,4/12 (33%),1/4 (25%)
12785412,1ST,Defending,Tackles won,50%,67%
12785412,1ST,Defending,Total tackles,8,15
12785412,1ST,Defending,Interceptions,3,3
12785412,1ST,Defending,Recoveries,24,19
12785412,1ST,Defending,Clearances,6,10
12785412,1ST,Goalkeeping,Total saves,0,1
12785412,1ST,Goalkeeping,Goal kicks,4,5
12785412,2ND,Match overview,Ball possession,80%,20%
12785412,2ND,Match overview,Big chances,3,2
12785412,2ND,Match overview,Total shots,9,2
12785412,2ND,Match overview,Goalkeeper saves,0,2
12785412,2ND,Match overview,Corner kicks,6,1
12785412,2ND,Match overview,Passes,325,81
12785412,2ND,Match overview,Tackles,3,13
12785412,2ND,Match overview,Free kicks,4,1
12785412,2ND,Match overview,Yellow cards,0,0
12785412,2ND,Shots,Total shots,9,2
12785412,2ND,Shots,Shots on target,5,1
12785412,2ND,Shots,Hit woodwork,0,0
12785412,2ND,Shots,Shots off target,3,1
12785412,2ND,Shots,Blocked shots,1,0
12785412,2ND,Shots,Shots inside box,8,2
12785412,2ND,Shots,Shots outside box,1,0
12785412,2ND,Attack,Big chances scored,3,1
12785412,2ND,Attack,Big chances missed,0,1
12785412,2ND,Attack,Through balls,2,0
12785412,2ND,Attack,Fouled in final third,0,0
12785412,2ND,Attack,Offsides,1,1
12785412,2ND,Passes,Accurate passes,287,50
12785412,2ND,Passes,Throw-ins,10,5
