match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_blockedScoringAttempt,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,player_sofascoreId,stat_interceptionWon,stat_accurateCross,stat_challengeLost,stat_totalContest,stat_errorLeadToAGoal,stat_dispossessed,stat_keyPass,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,captain,stat_shotOffTarget,stat_totalOffside,stat_wonContest,stat_goodHighClaim,stat_bigChanceCreated,stat_goals,stat_bigChanceMissed
12436613,home,Nottingham Forest,Matz Sels,matz-sels,M. Sels,G,26,188,2413,M,78152,EUR,699062400,G,26,26,False,23.0,11.0,15.0,3.0,0.0,9.0,10.0,2.0,13.0,1.0,1.0,4.0,1.0,4.0,4.0,90.0,33.0,7.1,13.0,0.00135088,0,0.3467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436613,home,Nottingham Forest,Neco Williams,williams-neco,N. Williams,D,3,183,3198,M,927356,EUR,987120000,D,7,7,False,22.0,16.0,3.0,,0.0,9.0,10.0,7.0,14.0,9.0,7.0,1.0,4.0,,,90.0,52.0,7.0,15.0,0.00137791,1,,,,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,0.0306,,,,,,,,,,,,,,,,,,
12436613,home,Nottingham Forest,Nikola Milenković,nikola-milenkovic,N. Milenković,D,31,195,5064,M,836168,EUR,876614400,D,31,31,False,32.0,22.0,6.0,,0.0,19.0,20.0,3.0,12.0,5.0,5.0,1.0,,,,90.0,42.0,6.8,10.0,0.00085724,0,,,,,4.0,2.0,4.0,,,3.0,2.0,,,,milenkovicn_4,2.0,,,,,,,,,,,,,,,,
12436613,home,Nottingham Forest,Murillo,murillo,Murillo,D,5,180,9781,M,1199282,EUR,1025740800,D,5,5,False,56.0,40.0,13.0,3.0,0.0,26.0,28.0,15.0,29.0,,11.0,4.0,,,,90.0,75.0,6.2,18.0,0.0143321,0,,Murillo,,1.0,,,4.0,,1.0,,,1.0,1.0,,murillosantiago40,,1.0,2.0,1.0,1.0,,,,,,,,,,,,
12436613,home,Nottingham Forest,Álex Moreno,alex-moreno,Á. Moreno,D,24,179,1206,M,294593,EUR,739497600,D,19,19,False,35.0,28.0,1.0,,0.0,11.0,15.0,18.0,23.0,3.0,6.0,7.0,,,,90.0,60.0,6.9,16.0,0.216643,0,,,,3.0,2.0,2.0,6.0,,,1.0,,,1.0,,,1.0,1.0,1.0,1.0,,1.0,4.0,,,,,,,,,,
12436613,home,Nottingham Forest,Nicolás Domínguez,nicolas-dominguez,N. Domínguez,M,16,179,3183,M,871765,EUR,898992000,M,16,16,False,41.0,41.0,,,0.0,21.0,21.0,20.0,20.0,5.0,2.0,5.0,,,,75.0,55.0,7.3,1.0,0.0209425,1,,,,,1.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0201,,1.0,,1.0,,,,1.0,,,,,,,,,,
12436613,home,Nottingham Forest,Elliot Anderson,elliot-anderson,E. Anderson,M,8,179,7705,M,994546,EUR,1036540800,M,8,8,False,41.0,32.0,3.0,1.0,0.0,18.0,21.0,14.0,22.0,11.0,3.0,7.0,4.0,,,90.0,59.0,7.1,12.0,0.0115421,0,,,,2.0,2.0,3.0,3.0,,,4.0,1.0,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,
12436613,home,Nottingham Forest,Jota Silva,jota-silva,J. Silva,F,26,179,2828,M,1011895,EUR,933465600,M,20,20,False,7.0,2.0,,,0.0,,1.0,2.0,6.0,5.0,1.0,,2.0,,,59.0,18.0,7.1,7.0,0.00130414,3,,,,,2.0,1.0,4.0,1.0,,2.0,2.0,1.0,2.0,0.2508,,,,,,,,,2.0,0.3065,,,,,,,,
12436613,home,Nottingham Forest,Morgan Gibbs-White,morgan-gibbs-white,M. Gibbs-White,M,10,171,6974,M,865912,EUR,948931200,M,10,10,False,25.0,17.0,4.0,2.0,0.0,8.0,10.0,10.0,17.0,3.0,2.0,3.0,2.0,,,90.0,38.0,6.7,11.0,0.00764715,3,,,,2.0,2.0,1.0,5.0,,,,,,1.0,0.0973,Morgangibbs27,,1.0,,2.0,,,,1.0,0.3383,True,2.0,1.0,,,,,
12436613,home,Nottingham Forest,Callum Hudson-Odoi,callum-hudson-odoi,C. Hudson-Odoi,M,7,177,9224,M,867442,EUR,973555200,M,14,14,False,29.0,24.0,2.0,1.0,0.0,9.0,11.0,16.0,20.0,2.0,,5.0,,,,90.0,40.0,7.0,10.0,0.0580548,2,,,,2.0,,,2.0,,,1.0,1.0,1.0,,0.1176,Calteck10,,1.0,,2.0,,1.0,1.0,2.0,0.1348,,,,1.0,,,,
12436613,home,Nottingham Forest,Chris Wood,chris-wood,C. Wood,F,11,191,7494,M,50480,EUR,692064000,F,11,11,False,8.0,7.0,,,0.0,3.0,3.0,4.0,5.0,,2.0,,,,,90.0,13.0,6.5,2.0,0.00533652,0,,,,,3.0,,5.0,,,,,,1.0,,wodsy39,,,,,,1.0,1.0,,,,,1.0,,,,,
12436613,home,Nottingham Forest,Anthony Elanga,anthony-elanga,A. Elanga,M,20,178,10434,M,979232,EUR,1019865600,F,21,21,True,10.0,8.0,,,0.0,,,8.0,10.0,1.0,,,,,,31.0,12.0,6.4,3.0,0.00948225,0,,,,,2.0,1.0,4.0,,,,,,,,anthonyelanga,,,1.0,,,1.0,,,,,,,,,,,
12436613,home,Nottingham Forest,Ryan Yates,ryan-yates,R. Yates,M,22,190,881,M,846252,EUR,880070400,M,22,22,True,4.0,1.0,,,0.0,,2.0,1.0,2.0,3.0,3.0,,,,,15.0,9.0,6.5,4.0,0.00015985,0,,,,,4.0,3.0,4.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
12436613,home,Nottingham Forest,Carlos Miguel,carlos-miguel,C. Miguel,G,1,204,5426,M,973738,EUR,907891200,G,33,33,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436613,home,Nottingham Forest,Morato,morato,F. Morato,D,4,190,2248,M,985086,EUR,993859200,D,4,4,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436613,home,Nottingham Forest,Willy Boly,willy-boly,W. Boly,D,30,195,1884,M,139310,EUR,665539200,D,30,30,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436613,home,Nottingham Forest,Zach Abbott,abbott-zach,Z. Abbott,D,44,180,489,M,1390490,EUR,1147478400,D,44,44,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436613,home,Nottingham Forest,Ibrahim Sangaré,ibrahim-sangare,I. Sangaré,M,6,191,10181,M,843754,EUR,881020800,M,6,6,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,ibrahim_sangare,,,,,,,,,,,,,,,,,
12436613,home,Nottingham Forest,Danilo,danilo,Danilo,M,8,177,5250,M,1064039,EUR,988502400,M,28,28,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Danilo,,,,,,,,,,,,,,,,,
12436613,home,Nottingham Forest,Ramón Sosa,ramon-sosa,R. Sosa,F,19,178,8258,M,1015733,EUR,936057600,F,24,24,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436613,away,Everton,Jordan Pickford,jordan-pickford,J. Pickford,G,1,185,7610,M,138530,EUR,762998400,G,1,1,False,34.0,22.0,15.0,3.0,0.0,20.0,21.0,2.0,13.0,,,6.0,,5.0,5.0,90.0,45.0,7.8,12.0,0.00044717,0,0.7796,,,,,,,,,,,,,,jpickford1,,,,,,,,,,,,,,1.0,,,
12436613,away,Everton,Jake O'Brien,jake-obrien,J. O'Brien,D,15,197,1429,M,998253,EUR,989884800,D,15,15,False,35.0,28.0,6.0,4.0,0.0,13.0,16.0,15.0,20.0,2.0,4.0,3.0,,,,90.0,51.0,7.1,9.0,0.00650724,1,,,,1.0,2.0,1.0,3.0,1.0,,,,,1.0,0.0312,,,,,1.0,,,,,,,,,1.0,,,,
12436613,away,Everton,James Tarkowski,james-tarkowski,J. Tarkowski,D,6,185,2558,M,145188,EUR,722131200,D,6,6,False,45.0,34.0,7.0,4.0,0.0,29.0,30.0,5.0,15.0,4.0,8.0,5.0,,,,90.0,57.0,7.8,12.0,0.171217,0,,,,,1.0,4.0,2.0,,1.0,,,1.0,1.0,,,1.0,,,,,,1.0,,,True,,,,,1.0,,
12436613,away,Everton,Jarrad Branthwaite,jarrad-branthwaite,J. Branthwaite,D,32,195,2591,M,979563,EUR,1025136000,D,32,32,False,55.0,43.0,11.0,6.0,0.0,26.0,29.0,17.0,26.0,11.0,6.0,5.0,1.0,,,90.0,65.0,7.5,13.0,0.160689,0,,,,,1.0,9.0,3.0,,1.0,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,
12436613,away,Everton,Vitaliy Mykolenko,vitaliy-mykolenko,V. Mykolenko,D,16,180,4082,M,876643,EUR,927936000,D,19,19,False,56.0,52.0,4.0,2.0,0.0,15.0,16.0,38.0,43.0,4.0,3.0,2.0,1.0,,,90.0,73.0,7.5,9.0,0.0996105,0,,,,3.0,1.0,2.0,1.0,,,1.0,1.0,1.0,,,mikola_16,,1.0,,,,,,,,,,1.0,,,,,
12436613,away,Everton,Idrissa Gueye,idrissa-gueye,I. Gueye,M,27,174,21481,M,106337,EUR,622771200,M,27,27,False,49.0,45.0,11.0,9.0,0.0,10.0,11.0,35.0,39.0,2.0,2.0,8.0,1.0,,,90.0,64.0,7.0,8.0,0.142364,2,,,,1.0,1.0,,4.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0586,iganagueye,,,,,,1.0,,,,,,,,,,,
12436613,away,Everton,James Garner,james-garner,J. Garner,M,37,182,3008,M,927361,EUR,984441600,M,37,37,False,46.0,41.0,4.0,2.0,0.0,17.0,19.0,25.0,31.0,7.0,4.0,4.0,3.0,,,90.0,66.0,7.4,10.0,0.03169,2,,,,4.0,1.0,1.0,3.0,,,3.0,3.0,,1.0,0.1493,,,1.0,,,,1.0,,1.0,0.2658,,1.0,,,,,,
12436613,away,Everton,Jack Harrison,jack-harrison,J. Harrison,M,17,175,1145,M,829570,EUR,848448000,M,11,11,False,28.0,20.0,1.0,,0.0,6.0,7.0,18.0,35.0,3.0,1.0,1.0,1.0,,,89.0,60.0,7.0,25.0,0.315018,2,,,,14.0,1.0,,5.0,,,1.0,,5.0,1.0,0.2327,,,4.0,1.0,3.0,,,2.0,,,,2.0,,1.0,,,,
12436613,away,Everton,Abdoulaye Doucouré,abdoulaye-doucoure,A. Doucouré,M,8,182,1269,M,96535,EUR,725846400,M,16,16,False,37.0,34.0,2.0,2.0,0.0,10.0,10.0,25.0,28.0,2.0,,7.0,,,,90.0,53.0,7.2,11.0,0.0771966,2,,,,1.0,3.0,1.0,9.0,1.0,,1.0,1.0,2.0,2.0,0.3339,,,1.0,,3.0,,1.0,2.0,1.0,0.711,,,,,,,1.0,
12436613,away,Everton,Iliman Ndiaye,iliman-ndiaye,I. Ndiaye,M,10,180,54701,M,914309,EUR,952300800,M,10,10,False,20.0,15.0,1.0,,0.0,8.0,8.0,7.0,12.0,,,3.0,,,,67.0,35.0,6.2,11.0,0.00448676,3,,,,,2.0,,9.0,,,,,2.0,3.0,0.4641,ilimanndiaye10,,,,3.0,,1.0,,3.0,0.3699,,,,,,,,1.0
