match_id,period,group,name,home,away
12436890,ALL,Match overview,Ball possession,49%,51%
12436890,ALL,Match overview,Expected goals,1.54,1.55
12436890,ALL,Match overview,Big chances,1,4
12436890,ALL,Match overview,Total shots,17,13
12436890,ALL,Match overview,Goalkeeper saves,2,2
12436890,ALL,Match overview,Corner kicks,4,3
12436890,ALL,Match overview,Fouls,12,12
12436890,ALL,Match overview,Passes,419,425
12436890,ALL,Match overview,Tackles,19,13
12436890,ALL,Match overview,Free kicks,12,12
12436890,ALL,Match overview,Yellow cards,4,2
12436890,ALL,Shots,Total shots,17,13
12436890,ALL,Shots,Shots on target,3,3
12436890,ALL,Shots,Hit woodwork,0,0
12436890,ALL,Shots,Shots off target,6,4
12436890,ALL,Shots,Blocked shots,8,6
12436890,ALL,Shots,Shots inside box,5,8
12436890,ALL,Shots,Shots outside box,12,5
12436890,ALL,Attack,Big chances scored,0,1
12436890,ALL,Attack,Big chances missed,1,3
12436890,ALL,Attack,Through balls,0,1
12436890,ALL,Attack,Touches in penalty area,22,19
12436890,ALL,Attack,Fouled in final third,3,3
12436890,ALL,Attack,Offsides,1,7
12436890,ALL,Passes,Accurate passes,358,375
12436890,ALL,Passes,Throw-ins,9,18
12436890,ALL,Passes,Final third entries,44,54
12436890,ALL,Passes,Final third phase,73/98 (74%),84/108 (78%)
12436890,ALL,Passes,Long balls,24/50 (48%),15/31 (48%)
12436890,ALL,Passes,Crosses,5/14 (36%),2/17 (12%)
12436890,ALL,Duels,Duels,52%,48%
12436890,ALL,Duels,Dispossessed,8,16
12436890,ALL,Duels,Ground duels,38/71 (54%),33/71 (46%)
12436890,ALL,Duels,Aerial duels,9/19 (47%),10/19 (53%)
12436890,ALL,Duels,Dribbles,7/12 (58%),8/11 (73%)
12436890,ALL,Defending,Tackles won,84%,46%
12436890,ALL,Defending,Total tackles,19,13
12436890,ALL,Defending,Interceptions,7,6
12436890,ALL,Defending,Recoveries,43,43
12436890,ALL,Defending,Clearances,18,17
12436890,ALL,Defending,Errors lead to a shot,1,1
12436890,ALL,Defending,Errors lead to a goal,1,0
12436890,ALL,Goalkeeping,Total saves,2,2
12436890,ALL,Goalkeeping,Goals prevented,-0.22,-0.71
12436890,ALL,Goalkeeping,Big saves,0,1
12436890,ALL,Goalkeeping,High claims,1,4
12436890,ALL,Goalkeeping,Punches,1,1
12436890,ALL,Goalkeeping,Goal kicks,8,7
12436890,1ST,Match overview,Ball possession,48%,52%
12436890,1ST,Match overview,Expected goals,0.96,0.58
12436890,1ST,Match overview,Big chances,1,1
12436890,1ST,Match overview,Total shots,9,5
12436890,1ST,Match overview,Goalkeeper saves,1,1
12436890,1ST,Match overview,Corner kicks,2,1
12436890,1ST,Match overview,Passes,195,207
12436890,1ST,Match overview,Tackles,9,6
12436890,1ST,Match overview,Free kicks,6,7
12436890,1ST,Match overview,Yellow cards,3,1
12436890,1ST,Shots,Total shots,9,5
12436890,1ST,Shots,Shots on target,1,1
12436890,1ST,Shots,Hit woodwork,0,0
12436890,1ST,Shots,Shots off target,3,1
