match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_wasFouled,stat_shotOffTarget,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_expectedGoals,stat_keyPass,stat_challengeLost,stat_fouls,stat_totalOffside,stat_accurateCross,captain,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goodHighClaim,stat_punches,stat_goals
12437035,home,Newcastle United,Nick Pope,,,nick-pope,N. Pope,G,1,198,4628,M,npope29,162653,EUR,703641600,G,22,22,False,19.0,16.0,5.0,2.0,0.0,14.0,14.0,2.0,5.0,1.0,9.0,2.0,4.0,1.0,1.0,90.0,34.0,7.3,3.0,0.0004071,0,0.6829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437035,home,Newcastle United,Valentino Livramento,,,valentino-livramento,V. Livramento,D,21,181,4840,M,,980634,EUR,1037059200,D,21,21,False,55.0,45.0,3.0,1.0,0.0,17.0,19.0,28.0,38.0,1.0,8.0,,,,,90.0,77.0,6.5,18.0,0.0275114,0,,2.0,3.0,1.0,6.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
12437035,home,Newcastle United,Fabian Schär,,,fabian-schar,F. Schär,D,5,186,3172,M,,101882,EUR,693187200,D,5,5,False,83.0,66.0,16.0,7.0,0.0,33.0,38.0,33.0,45.0,,4.0,,,,,90.0,97.0,7.8,18.0,0.234469,1,,,4.0,2.0,4.0,8.0,,,,1.0,,1.0,1.0,1.0,1.0,5.0,4.0,0.0367,1.0,,,,,,,,,,,,,
12437035,home,Newcastle United,Dan Burn,,,dan-burn,D. Burn,D,33,201,4473,M,,99090,EUR,705369600,D,33,33,False,74.0,65.0,2.0,,0.0,52.0,58.0,13.0,16.0,1.0,6.0,,,,,90.0,82.0,6.6,10.0,0.00291613,0,,,1.0,2.0,3.0,3.0,,,,3.0,,1.0,,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,
12437035,home,Newcastle United,Lewis Hall,Lewis Hall,,lewis-hall,L. Hall,D,3,179,4167,M,lewishall_10,1136730,EUR,1094601600,D,20,20,False,77.0,69.0,8.0,6.0,0.0,28.0,29.0,42.0,54.0,2.0,4.0,,,,,89.0,100.0,7.4,16.0,0.0959699,0,,6.0,1.0,1.0,4.0,7.0,2.0,,,,,,1.0,,,5.0,3.0,,3.0,,1.0,,1.0,,,,,,,,,
12437035,home,Newcastle United,Sandro Tonali,,,sandro-tonali,S. Tonali,M,8,181,14225,M,sandrotonali,892673,EUR,957744000,M,8,8,False,22.0,19.0,,,0.0,5.0,6.0,14.0,17.0,,5.0,,,,,66.0,39.0,7.0,6.0,0.0119544,0,,1.0,,,3.0,5.0,,1.0,,2.0,,,1.0,,,4.0,3.0,,1.0,,2.0,,,,,,,,,,,
12437035,home,Newcastle United,Bruno Guimarães,,,bruno-guimaraes,B. Guimarães,M,39,182,31550,M,BrunoGuimarães,866469,EUR,879638400,M,39,39,False,46.0,32.0,9.0,2.0,0.0,8.0,8.0,24.0,38.0,,6.0,,,,,85.0,63.0,7.5,17.0,0.255918,2,,,1.0,,6.0,9.0,3.0,2.0,2.0,,,,2.0,,,5.0,4.0,0.0471,2.0,,2.0,,,True,1.0,2.0,,,,,,
12437035,home,Newcastle United,Joelinton,,,joelinton,Joelinton,M,7,186,10098,M,joelinton34,560128,EUR,839980800,M,7,7,False,48.0,42.0,1.0,1.0,0.0,10.0,12.0,32.0,37.0,1.0,6.0,,,,,90.0,70.0,7.2,10.0,0.0904141,4,,1.0,3.0,2.0,6.0,8.0,1.0,3.0,3.0,3.0,,2.0,,3.0,,3.0,3.0,0.5744,2.0,,2.0,,,,,1.0,2.0,,,,,
12437035,home,Newcastle United,Jacob Murphy,,,jacob-murphy,J. Murphy,F,23,176,3564,M,,372336,EUR,793584000,F,23,23,False,33.0,26.0,1.0,,0.0,10.0,12.0,16.0,23.0,,3.0,,,,,65.0,45.0,6.7,10.0,0.0266862,2,,2.0,1.0,,4.0,1.0,,2.0,1.0,1.0,,,,,,,,0.0365,1.0,1.0,1.0,,,,,2.0,,,,,,
12437035,home,Newcastle United,Alexander Isak,,,alexander-isak,A. Isak,F,9,193,100485,M,AlexIsak,823941,EUR,937872000,F,14,14,False,14.0,9.0,1.0,,0.0,4.0,4.0,6.0,12.0,,3.0,,,,,90.0,39.0,6.8,16.0,0.192498,7,,2.0,2.0,2.0,9.0,3.0,4.0,2.0,,,,4.0,,1.0,,1.0,,0.8069,2.0,,1.0,1.0,1.0,,1.0,2.0,1.0,4.0,0.7745,,,
