match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_duelWon,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_aerialWon,stat_dispossessed,stat_clearanceOffLine,stat_outfielderBlock,stat_lastManTackle,stat_fouls,player_sofascoreId,stat_aerialLost,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_keyPass,captain,stat_totalCross,stat_accurateCross,stat_shotOffTarget,stat_goals,stat_totalOffside,stat_bigChanceCreated,stat_bigChanceMissed
12450236,home,Olympique Lyonnais,Lucas Perri,,,lucas-perri,L. Perri,G,1,196,3418,M,871290,EUR,881712000,G,1,1,False,21.0,10.0,13.0,3.0,0.0,8.0,13.0,2.0,8.0,1.0,1.0,2.0,9.0,2.0,2.0,4.0,1.0,90.0,40.0,6.7,14.0,0.00015305,0,-0.3165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450236,home,Olympique Lyonnais,Saël Kumbedi,,,sael-kumbedi,S. Kumbedi,D,26,175,827,M,1155226,EUR,1111795200,D,20,20,False,21.0,15.0,2.0,,0.0,9.0,13.0,6.0,8.0,1.0,,4.0,1.0,,,,,80.0,38.0,6.9,7.0,0.0105976,1,,6.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,0.0453,0.096,,,,,,,,,,,,,,,,,,,
12450236,home,Olympique Lyonnais,Clinton Mata,,,clinton-mata,C. Mata,D,22,180,1320,M,152813,EUR,721094400,D,22,22,False,37.0,31.0,3.0,,0.0,19.0,23.0,12.0,14.0,5.0,1.0,3.0,8.0,,,,,90.0,54.0,7.0,9.0,0.00587781,0,,5.0,3.0,1.0,,1.0,2.0,2.0,,,,2.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,
12450236,home,Olympique Lyonnais,Moussa Niakhaté,,,moussa-niakhate,M. Niakhaté,D,19,190,8301,M,758168,EUR,826243200,D,19,19,False,25.0,21.0,4.0,1.0,0.0,15.0,17.0,6.0,8.0,,,,2.0,,,,,90.0,32.0,6.5,4.0,0.00364072,0,,5.0,,,,1.0,5.0,2.0,,,,,,,,1.0,,niakhate,,,,,,,,,,,,
12450236,home,Olympique Lyonnais,Nicolás Tagliafico,,,nicolas-tagliafico,N. Tagliafico,D,3,172,10932,M,158243,EUR,715219200,D,3,3,False,23.0,23.0,,,0.0,12.0,12.0,11.0,11.0,9.0,4.0,4.0,2.0,,,,,90.0,45.0,6.3,4.0,0.00506384,1,,3.0,1.0,,,1.0,2.0,2.0,1.0,0.027,,,,,1.0,,2.0,tagliafico3,2.0,1.0,2.0,,,,,,,,,
12450236,home,Olympique Lyonnais,Nemanja Matić,,,nemanja-matic,N. Matić,M,18,194,3565,M,44241,EUR,586396800,M,31,31,False,18.0,16.0,2.0,1.0,0.0,8.0,9.0,8.0,9.0,4.0,2.0,,2.0,,,,,64.0,20.0,6.2,3.0,0.013676,0,,1.0,,,,,,,1.0,,,,1.0,,,,1.0,Mati,,,,,,,,,,,,
12450236,home,Olympique Lyonnais,Tanner Tessmann,,,tanner-tessmann,T. Tessmann,M,6,187,1230,M,1022084,EUR,1001289600,M,15,15,False,30.0,26.0,6.0,2.0,0.0,13.0,14.0,13.0,16.0,3.0,1.0,1.0,4.0,,,,,90.0,38.0,6.5,5.0,0.0119559,2,,2.0,,,1.0,,,,2.0,0.0736,0.2855,,1.0,,,,1.0,,,1.0,,1.0,,,,,,,,
12450236,home,Olympique Lyonnais,Corentin Tolisso,,,corentin-tolisso,C. Tolisso,M,8,181,3233,M,343067,EUR,775872000,M,8,8,False,47.0,41.0,4.0,2.0,0.0,18.0,20.0,24.0,29.0,8.0,2.0,,9.0,,,,,90.0,63.0,7.5,8.0,0.05192,3,,3.0,1.0,1.0,1.0,2.0,1.0,,1.0,0.6309,0.9247,,,,1.0,,3.0,,3.0,,1.0,1.0,True,2.0,1.0,2.0,1.0,,,
12450236,home,Olympique Lyonnais,Ernest Nuamah,Ernest Nuamah,,ernest-nuamah,E. Nuamah,F,37,178,6900,M,1202024,EUR,1067644800,F,37,37,False,12.0,10.0,,,0.0,4.0,4.0,7.0,9.0,3.0,1.0,,2.0,,,,,64.0,25.0,6.9,4.0,0.0849774,0,,4.0,3.0,2.0,,1.0,2.0,1.0,,,,,,,1.0,,1.0,nana_nuamah10,,,1.0,1.0,,1.0,1.0,,,1.0,,
12450236,home,Olympique Lyonnais,Rayan Cherki,,,cherki-rayan,R. Cherki,M,10,176,76914,M,979128,EUR,1061078400,F,18,18,False,38.0,32.0,2.0,,0.0,15.0,17.0,18.0,26.0,7.0,2.0,,3.0,,,,,90.0,54.0,7.4,15.0,0.249809,1,,2.0,3.0,,1.0,,1.0,1.0,1.0,0.4679,0.8033,,,,,,,rayan_cherki,2.0,,,4.0,,5.0,1.0,,1.0,,,
12450236,home,Olympique Lyonnais,Malick Fofana,Malick Fofana,,malick-fofana,M. Fofana,F,11,169,6170,M,1195784,EUR,1112227200,F,11,11,False,17.0,11.0,,,0.0,6.0,7.0,6.0,13.0,3.0,,,2.0,,,,,80.0,26.0,6.4,12.0,0.0438591,0,,2.0,4.0,1.0,,1.0,,,,,,1.0,,,,,,,,,1.0,1.0,,3.0,1.0,,,2.0,,
12450236,home,Olympique Lyonnais,Thiago Almada,,,thiago-almada,T. Almada,M,11,171,27604,M,944660,EUR,988243200,M,23,23,True,26.0,23.0,,,0.0,5.0,5.0,18.0,23.0,1.0,1.0,,2.0,,,,,26.0,32.0,6.7,6.0,0.0581383,2,,1.0,1.0,1.0,,,,,,0.0428,,,,,,,,thiago_almada23,,1.0,1.0,,,2.0,,1.0,,,,
12450236,home,Olympique Lyonnais,Alexandre Lacazette,,,alexandre-lacazette,A. Lacazette,F,91,176,9530,M,50070,EUR,675388800,F,10,10,True,7.0,7.0,1.0,1.0,0.0,1.0,1.0,6.0,6.0,3.0,,,,,,,,26.0,9.0,6.6,2.0,0.0418219,0,,,,,,,,,,,,,,,,,3.0,lacazettealex,,,2.0,1.0,,,,,,1.0,,
12450236,home,Olympique Lyonnais,Ainsley Maitland-Niles,,,ainsley-maitland-niles,A. Maitland-Niles,D,98,178,1575,M,352768,EUR,872812800,M,98,98,True,8.0,8.0,1.0,1.0,1.0,2.0,2.0,7.0,8.0,3.0,3.0,1.0,1.0,,,,,10.0,13.0,7.0,1.0,0.387453,2,,,,,2.0,,,,,0.3359,0.5633,,,,,,,,,,,1.0,,2.0,1.0,,,,1.0,1.0
12450236,home,Olympique Lyonnais,Georges Mikautadze,,,mikautadze-georges,G. Mikautadze,F,9,176,13076,M,1009372,EUR,972950400,F,69,69,True,7.0,4.0,,,1.0,,,4.0,7.0,1.0,,,,,,,,10.0,14.0,7.8,4.0,0.0637826,2,,3.0,4.0,3.0,1.0,,,,,0.1725,0.5651,,,,,,,georgesmkd,,1.0,,2.0,,,,,,,1.0,
12450236,home,Olympique Lyonnais,Rémy Descamps,,,remy-descamps,R. Descamps,G,40,194,488,M,788180,EUR,835660800,G,40,40,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450236,home,Olympique Lyonnais,Duje Ćaleta-Car,,,duje-caleta-car,D. Ćaleta-Car,D,16,192,2892,M,257091,EUR,842918400,D,55,55,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450236,home,Olympique Lyonnais,Warmed Omari,,,omari-warmed,W. Omari,D,17,185,538,M,999030,EUR,956448000,D,27,27,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450236,home,Olympique Lyonnais,Jordan Veretout,,,jordan-veretout,J. Veretout,M,21,177,1268,M,151124,EUR,730944000,M,7,7,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450236,home,Olympique Lyonnais,Paul Akouokou,,,paul-akouokou,P. Akouokou,M,24,190,438,M,839309,EUR,882576000,M,4,4,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450236,away,Paris Saint-Germain,Gianluigi Donnarumma,,,gianluigi-donnarumma,G. Donnarumma,G,25,196,69953,M,824509,EUR,919900800,G,1,1,False,18.0,14.0,6.0,2.0,0.0,13.0,14.0,1.0,4.0,,,1.0,4.0,,4.0,5.0,,90.0,26.0,7.5,4.0,0.00031752,0,1.2379,,,,,,,,,,,,,,,,,donnarumma,,,,,,,,,,,,
12450236,away,Paris Saint-Germain,Achraf Hakimi,,,hakimi-achraf,A. Hakimi,D,2,181,124757,M,814594,EUR,910137600,D,2,2,False,93.0,84.0,5.0,3.0,0.0,41.0,43.0,43.0,51.0,8.0,2.0,1.0,6.0,,,,,90.0,113.0,8.7,13.0,0.0669701,2,,3.0,1.0,1.0,2.0,1.0,2.0,1.0,,0.2966,1.1944,,1.0,,,,3.0,AHakimi,2.0,,2.0,2.0,,1.0,,,2.0,,,
12450236,away,Paris Saint-Germain,Marquinhos,,,marquinhos,Marquinhos,D,5,183,36538,M,155995,EUR,768873600,D,5,5,False,90.0,88.0,8.0,7.0,0.0,68.0,69.0,20.0,21.0,1.0,1.0,8.0,5.0,,,,,90.0,104.0,7.6,3.0,0.0695767,0,,5.0,,,,1.0,2.0,2.0,,,,3.0,,,1.0,,,marquinhosm5,,,1.0,2.0,True,,,,,,,
12450236,away,Paris Saint-Germain,Lucas Beraldo,Lucas Beraldo,,lucas-beraldo,L. Beraldo,D,4,182,17502,M,1108441,EUR,1069632000,D,35,35,False,90.0,89.0,4.0,4.0,0.0,69.0,69.0,20.0,21.0,1.0,1.0,3.0,7.0,,,,,90.0,99.0,7.0,1.0,0.0146401,0,,3.0,,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,lberaldo,,,,1.0,,,,,,,,
12450236,away,Paris Saint-Germain,Nuno Mendes,,,nuno-mendes,N. Mendes,D,25,180,37370,M,989768,EUR,1024444800,D,25,25,False,72.0,65.0,5.0,2.0,0.0,42.0,43.0,23.0,31.0,2.0,,1.0,8.0,,,,,90.0,93.0,7.0,12.0,0.0487732,0,,6.0,4.0,4.0,,2.0,1.0,1.0,1.0,,,,2.0,,,,,nunomendes_5,,,1.0,,,2.0,,,,,,
12450236,away,Paris Saint-Germain,Désiré Doué,Désiré Doué,,desire-doue,D. Doué,F,14,181,91970,M,1154605,EUR,1117756800,M,14,14,False,34.0,28.0,3.0,1.0,0.0,12.0,12.0,17.0,24.0,2.0,,,2.0,,,,,61.0,49.0,6.9,11.0,0.141365,2,,5.0,1.0,1.0,,1.0,3.0,1.0,1.0,0.0252,,,,,,,2.0,DD14,,2.0,3.0,1.0,,2.0,1.0,,,,,
