match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,player_firstName,player_lastName,captain,stat_aerialLost,stat_shotOffTarget,stat_totalClearance,stat_wasFouled,stat_expectedGoals,stat_penaltyConceded,stat_accurateCross,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_keyPass,stat_aerialWon,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_penaltyMiss,stat_penaltyWon,stat_totalOffside,player_sofascoreId,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_saves,stat_punches,stat_errorLeadToAShot,stat_bigChanceCreated
12450865,home,Stade Brestois,Marco Bizot,marco-bizot,M. Bizot,G,40,194.0,898,M,100390,EUR,668563200,G,40,40,False,31.0,28.0,8.0,5.0,0.0,28.0,29.0,2.0,4.0,2.0,1.0,1.0,90.0,33.0,5.8,3.0,0.00017136,0,-1.9951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450865,home,Stade Brestois,Kenny Lala,kenny-lala,K. Lala,D,77,178.0,604,M,141080,EUR,686448000,D,27,27,False,53.0,47.0,4.0,3.0,0.0,31.0,31.0,24.0,10.0,,,,90.0,74.0,6.5,11.0,0.0133966,0,,16.0,2.0,2.0,3.0,1.0,1.0,4.0,3.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450865,home,Stade Brestois,Brendan Chardonnet,brendan-chardonnet,B. Chardonnet,D,5,181.0,234,M,328035,EUR,788054400,D,5,5,False,55.0,50.0,7.0,5.0,0.0,41.0,41.0,14.0,4.0,,,,90.0,64.0,6.3,5.0,0.00404918,1,,9.0,,4.0,5.0,1.0,,,4.0,4.0,,2.0,,,True,2.0,1.0,1.0,1.0,0.0214,,,,,,,,,,,,,,,,,,,,,,
12450865,home,Stade Brestois,Julien Le Cardinal,julien-le-cardinal,J. L. Cardinal,D,26,182.0,203,M,1129751,EUR,870566400,D,25,25,False,72.0,65.0,12.0,10.0,0.0,51.0,54.0,18.0,4.0,,,,90.0,77.0,6.2,8.0,0.00775569,0,,14.0,,2.0,2.0,1.0,,,2.0,2.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
12450865,home,Stade Brestois,Jordan Amavi,jordan-amavi,J. Amavi,D,,176.0,326,M,342915,EUR,763171200,D,23,23,False,41.0,31.0,1.0,,0.0,14.0,15.0,31.0,2.0,,,,84.0,61.0,5.8,18.0,0.00965636,0,,17.0,5.0,5.0,8.0,2.0,,,7.0,4.0,1.0,2.0,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
12450865,home,Stade Brestois,Mahdi Camara,camara-mahdi,M. Camara,M,45,178.0,964,M,916041,EUR,899164800,M,45,45,False,59.0,54.0,3.0,2.0,0.0,29.0,29.0,31.0,5.0,,,,90.0,82.0,7.6,10.0,0.0266153,1,,26.0,1.0,5.0,11.0,,,1.0,7.0,2.0,1.0,,,,,1.0,,,2.0,0.12,,1.0,1.0,5.0,2.0,1.0,1.0,0.2524,1.0,,,,,,,,,,,,,
12450865,home,Stade Brestois,Jonas Martin,jonas-martin,J. Martin,M,90,184.0,95,M,123264,EUR,639619200,M,28,28,False,44.0,40.0,4.0,3.0,0.0,15.0,15.0,29.0,6.0,,,,70.0,49.0,5.9,6.0,0.0142074,0,,25.0,,2.0,1.0,1.0,,1.0,,,2.0,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
12450865,home,Stade Brestois,Mathias Pereira Lage,mathias-pereira-lage,M. P. Lage,M,28,180.0,349,M,831400,EUR,849312000,M,26,26,False,16.0,13.0,,,0.0,5.0,5.0,12.0,1.0,,,,70.0,34.0,6.2,10.0,0.0112847,3,,8.0,1.0,4.0,3.0,,,1.0,1.0,,3.0,1.0,,,,,1.0,,,0.1434,,,2.0,1.0,,1.0,,0.056,,2.0,1.0,,,,,,,,,,,
12450865,home,Stade Brestois,Romain Del Castillo,romain-del-castillo,R. Del Castillo,M,10,172.0,689,M,825681,EUR,828057600,F,10,10,False,49.0,37.0,2.0,2.0,1.0,10.0,10.0,48.0,6.0,,,,90.0,82.0,6.9,28.0,0.215167,2,,29.0,9.0,7.0,4.0,,,,1.0,1.0,3.0,1.0,,,,1.0,,,1.0,0.8399,,2.0,,7.0,2.0,2.0,,0.9332,4.0,,,1.0,1.0,,,,,,,,,
12450865,home,Stade Brestois,Ludovic Ajorque,ludovic-ajorque,L. Ajorque,F,19,196.0,1367,M,343971,EUR,762134400,F,19,19,False,14.0,11.0,,,0.0,1.0,2.0,12.0,1.0,,,,64.0,23.0,7.0,6.0,0.0116494,1,,10.0,,4.0,3.0,1.0,,,1.0,1.0,1.0,,,,,1.0,,1.0,1.0,0.0562,,,1.0,1.0,,1.0,,0.1778,,1.0,,,,1.0,,,,,,,,
