match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,id,injury,isHome,incidentClass,playerName,reason,rescinded,player_id,player_name,length,from,confirmed
12450912,FT,2.0,1.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,,
12450912,,,,,90,3.0,,1,,,substitution,123357835.0,False,True,regular,,,,,,,,
12450912,,,,,90,2.0,,1,,,card,121765257.0,,False,yellow,Vanderson,Argument,False,1090694.0,Vanderson,,,
12450912,,,,,90,,,1,,,substitution,123357824.0,False,False,regular,,,,,,,,
12450912,,,,,90,0.0,,1,,,injuryTime,,,,,,,,,,4.0,,
12450912,,2.0,1.0,,89,,,2,,,goal,191841756.0,,True,penalty,,,,942116.0,Mason Greenwood,,penalty,
12450912,,,,,87,,,4,,,varDecision,29903.0,,True,penaltyNotAwarded,,,,839493.0,Amir Murillo,,,False
12450912,,,,,75,,,16,,,substitution,123357769.0,False,False,regular,,,,,,,,
12450912,,,,,74,,,17,,,substitution,123357766.0,False,True,regular,,,,,,,,
12450912,,,,,68,,,23,,,substitution,123357755.0,False,False,regular,,,,,,,,
12450912,,,,,68,,,23,,,substitution,123357754.0,False,False,regular,,,,,,,,
12450912,,,,,60,,,31,,,substitution,123357744.0,False,True,regular,,,,,,,,
12450912,,1.0,1.0,,53,,,38,,,goal,191840273.0,,True,regular,,,,977679.0,Luís Henrique,,,
12450912,HT,0.0,1.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,,
12450912,,,,,45,0.0,,1,,,injuryTime,,,,,,,,,,6.0,,
12450912,,0.0,1.0,,41,,,5,,,goal,191838662.0,,False,regular,,,,318963.0,Aleksandr Golovin,,,
