match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_penaltyWon,stat_expectedGoals,player_firstName,player_lastName,stat_duelLost,stat_onTargetScoringAttempt,stat_fouls,stat_expectedGoalsOnTarget,captain,stat_aerialLost,stat_challengeLost,stat_totalCross,stat_accurateCross,stat_bigChanceCreated,stat_keyPass,stat_goals,stat_outfielderBlock,stat_dispossessed,stat_blockedScoringAttempt,stat_totalOffside,stat_bigChanceMissed,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_penaltyConceded,stat_ownGoals,stat_hitWoodwork
12450986,home,Nice,Marcin Bułka,marcin-bulka,M. Bułka,G,99,198,4805,M,marcinbulka1,889590,EUR,938995200,G,1,1,False,34.0,31.0,4.0,3.0,0.0,31.0,34.0,6.0,1.0,2.0,90.0,44.0,7.4,3.0,0.00014212,0,0.3524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450986,home,Nice,Youssouf Ndayishimiye,youssouf-ndayishimiye,Y. Ndayishimiye,D,55,183,1788,M,,985934,EUR,909446400,D,55,55,False,113.0,108.0,3.0,1.0,0.0,81.0,83.0,6.0,,,90.0,127.0,8.1,7.0,0.0131571,1,,27.0,30.0,1.0,5.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0367,,,,,,,,,,,,,,,,,,,,,,,,
12450986,home,Nice,Moise Bombito,bombito-moise,M. Bombito,D,64,190,602,M,,1469180,EUR,954374400,D,64,64,False,97.0,94.0,5.0,3.0,0.0,78.0,78.0,5.0,,,90.0,110.0,7.8,3.0,0.0078923,1,,16.0,19.0,1.0,6.0,,,,4.0,2.0,4.0,4.0,,1.0,,0.0159,Moise Bombito,,1.0,1.0,1.0,0.0976,,,,,,,,,,,,,,,,,,
12450986,home,Nice,Dante,dante,Dante,D,4,188,1257,M,,3577,EUR,435283200,D,4,4,False,93.0,85.0,6.0,1.0,0.0,62.0,65.0,6.0,,,90.0,102.0,7.1,9.0,0.0118839,0,,23.0,28.0,,4.0,1.0,1.0,,2.0,,3.0,2.0,1.0,,,,,,3.0,,1.0,,True,1.0,2.0,,,,,,,,,,,,,,,
12450986,home,Nice,Jonathan Clauss,jonathan-clauss,J. Clauss,M,92,178,2004,M,,821728,EUR,717379200,M,92,92,False,46.0,41.0,4.0,4.0,1.0,28.0,30.0,9.0,,,71.0,58.0,8.2,6.0,0.228816,1,,14.0,18.0,,4.0,,,1.0,,1.0,4.0,2.0,,,,0.0358,,,,,,,,,,2.0,1.0,1.0,2.0,,,,,,,,,,,
12450986,home,Nice,Pablo Rosario,pablo-rosario,P. Rosario,M,13,188,1208,M,,804472,EUR,852595200,M,8,8,False,46.0,44.0,2.0,2.0,0.0,30.0,31.0,1.0,,,90.0,55.0,7.4,3.0,0.0188618,1,,14.0,15.0,1.0,3.0,1.0,,,2.0,1.0,,,,2.0,,0.7884,,,2.0,1.0,1.0,0.873,,,,,,,,1.0,1.0,,,,,,,,,
12450986,home,Nice,Tanguy Ndombélé,tanguy-ndombele,T. Ndombélé,M,22,181,2715,M,,845486,EUR,851731200,M,22,22,False,72.0,65.0,3.0,3.0,0.0,38.0,40.0,4.0,,,90.0,91.0,7.5,14.0,0.0354445,1,,27.0,32.0,,7.0,7.0,4.0,,,1.0,,,1.0,3.0,,0.3117,,,9.0,1.0,1.0,0.2937,,2.0,1.0,,,,1.0,1.0,,2.0,,,,,,,,
12450986,home,Nice,Melvin Bard,melvin-bard,M. Bard,D,26,173,502,M,,906075,EUR,973468800,M,26,26,False,48.0,41.0,6.0,3.0,0.0,28.0,28.0,2.0,,,71.0,64.0,7.5,10.0,0.17546,0,,13.0,21.0,1.0,3.0,,,,1.0,1.0,2.0,1.0,,,,,,,1.0,,,,,,1.0,1.0,,,1.0,,1.0,,,,,,,,,
12450986,home,Nice,Mohamed-Ali Cho,mohamed-ali-cho,M. Cho,F,25,182,1757,M,,1063235,EUR,1074470400,F,25,25,False,35.0,27.0,1.0,,0.0,16.0,16.0,2.0,,,77.0,52.0,7.7,16.0,0.0229482,4,,11.0,21.0,,3.0,2.0,1.0,1.0,,,,,4.0,2.0,,0.1826,,,3.0,2.0,2.0,0.3199,,,,2.0,,,2.0,1.0,,1.0,1.0,1.0,,,,,,
12450986,home,Nice,Youssoufa Moukoko,youssoufa-moukoko,Y. Moukoko,F,9,179,12001,M,youssoufa_10,997006,EUR,1100908800,F,15,15,False,8.0,7.0,,,1.0,3.0,3.0,2.0,,,62.0,19.0,8.7,7.0,0.00900601,2,,4.0,5.0,,2.0,1.0,,,,,,,2.0,2.0,,1.5318,,,3.0,2.0,,1.7182,,,,,,1.0,1.0,2.0,,2.0,,1.0,,,,,,
12450986,home,Nice,Evann Guessand,evann-guessand,E. Guessand,F,29,185,5228,M,,930245,EUR,993945600,F,29,29,False,13.0,12.0,,,1.0,8.0,9.0,1.0,,,45.0,23.0,8.3,5.0,0.486248,2,,4.0,5.0,,2.0,2.0,1.0,,,1.0,,,2.0,1.0,,1.0751,,,1.0,2.0,1.0,1.2084,,,,1.0,,1.0,1.0,1.0,,,,,1.0,,,,,
