match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialWon,stat_duelWon,stat_onTargetScoringAttempt,stat_interceptionWon,stat_unsuccessfulTouch,stat_expectedGoals,stat_expectedGoalsOnTarget,player_firstName,player_lastName,stat_outfielderBlock,stat_wasFouled,stat_aerialLost,stat_duelLost,stat_totalContest,stat_goals,stat_fouls,stat_totalCross,stat_challengeLost,stat_dispossessed,stat_totalTackle,stat_wonTackle,stat_errorLeadToAGoal,stat_shotOffTarget,stat_penaltyWon,stat_keyPass,stat_wonContest,captain,stat_accurateCross,stat_bigChanceCreated,stat_bigChanceMissed,stat_totalOffside,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_blockedScoringAttempt,stat_lastManTackle,stat_penaltyConceded
12451031,home,RC Strasbourg,Đorđe Petrović,dorde-petrovic,Đ. Petrović,G,1,194.0,8562,M,dj.petrovic12,882604,EUR,939340800,G,1,1,False,52.0,33.0,29.0,10.0,0.0,22.0,23.0,11.0,29.0,1.0,8.0,1.0,2.0,3.0,1.0,90.0,60.0,6.7,20.0,0.0104332,0,-0.7278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12451031,home,RC Strasbourg,Guéla Doué,guela-doue,G. Doué,D,22,187.0,10608,M,,1002033,EUR,1034812800,D,22,22,False,25.0,20.0,4.0,2.0,0.0,10.0,11.0,10.0,14.0,3.0,4.0,,,,,90.0,45.0,6.9,9.0,0.0209082,1,,1.0,1.0,1.0,4.0,2.0,0.0202,0.1756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12451031,home,RC Strasbourg,Saïdou Sow,saidou-sow,S. Sow,D,4,185.0,2742,M,,1063237,EUR,1025740800,D,4,4,False,29.0,28.0,1.0,1.0,0.0,24.0,24.0,4.0,5.0,5.0,4.0,,,,,90.0,40.0,6.9,1.0,0.00392877,0,,2.0,3.0,,1.0,,,,Saïdou,Sow,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12451031,home,RC Strasbourg,Abakar Sylla,abakar-sylla,A. Sylla,D,4,188.0,887,M,,1170197,EUR,1040774400,D,5,5,False,20.0,20.0,,,0.0,20.0,20.0,,,3.0,1.0,,,,,45.0,27.0,6.8,2.0,8.805e-05,1,,,,1.0,,1.0,0.0588,0.4694,Abakar Sylla,,,,3.0,5.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
12451031,home,RC Strasbourg,Diego Moreira,diego-moreira,D. Moreira,F,7,179.0,6007,M,diegzyyy,1142233,EUR,1091750400,D,7,7,False,28.0,20.0,4.0,2.0,0.0,12.0,15.0,8.0,15.0,2.0,3.0,,,,,90.0,54.0,6.3,16.0,0.0408089,0,,1.0,4.0,,1.0,1.0,,,Diego,Moreira,,3.0,2.0,7.0,1.0,,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,
12451031,home,RC Strasbourg,Ismael Doukouré,ismael-doukoure,I. Doukouré,D,6,183.0,1100,M,,1049517,EUR,1059004800,M,29,29,False,41.0,37.0,2.0,,0.0,33.0,34.0,4.0,7.0,5.0,5.0,,,,,90.0,54.0,6.2,7.0,0.00252739,0,,1.0,3.0,,,2.0,,,Ismael Doukoure,,2.0,,,1.0,,,1.0,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,
12451031,home,RC Strasbourg,Andrey Santos,santos-andrey,A. Santos,M,17,180.0,27949,M,andreysantos_5,1105779,EUR,1083542400,M,8,8,False,28.0,24.0,1.0,,0.0,16.0,17.0,8.0,11.0,3.0,2.0,,,,,90.0,39.0,7.0,4.0,0.0163215,1,,1.0,6.0,,,,0.067,,Andrey Santos,,,4.0,,4.0,,,1.0,,3.0,,2.0,2.0,,1.0,1.0,1.0,,,,,,,,,,,,
12451031,home,RC Strasbourg,Dilane Bakwa,dilane-bakwa,D. Bakwa,M,29,179.0,2042,M,,963298,EUR,1030320000,M,26,26,False,18.0,15.0,2.0,1.0,0.0,2.0,2.0,13.0,18.0,2.0,2.0,,,,,90.0,40.0,6.9,10.0,0.0244147,1,,2.0,8.0,1.0,,1.0,0.0365,0.6932,,,,5.0,,4.0,2.0,,,2.0,,3.0,,,,,,,1.0,,,,,,,,,,,
12451031,home,RC Strasbourg,Habib Diarra,habib-diarra,H. Diarra,M,19,179.0,12696,M,,1128532,EUR,1073088000,M,19,19,False,27.0,22.0,3.0,1.0,0.0,13.0,15.0,9.0,12.0,,3.0,,,,,90.0,41.0,6.6,10.0,0.00521777,1,,,4.0,1.0,1.0,1.0,0.7884,0.9044,Habib,Diarra,,3.0,1.0,6.0,3.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,True,,,,,,,,,,
12451031,home,RC Strasbourg,Sebastian Nanasi,sebastian-nanasi,S. Nanasi,M,11,178.0,2778,M,,962068,EUR,1021507200,M,15,15,False,17.0,10.0,1.0,,1.0,3.0,6.0,8.0,14.0,,1.0,,,,,78.0,24.0,7.0,9.0,0.0997705,0,,,3.0,,,,,,Sebastian Nanasi,,,,1.0,2.0,1.0,,1.0,3.0,,,2.0,1.0,,,,1.0,1.0,,1.0,1.0,,,,,,,,
