match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_wasFouled,stat_outfielderBlock,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_accurateCross,stat_challengeLost,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_lastManTackle,stat_totalTackle,stat_wonTackle,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_dispossessed,stat_shotOffTarget,stat_goals,player_sofascoreId,player_firstName,player_lastName,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalOffside
12499530,home,Eintracht Frankfurt,Kevin Trapp,kevin-trapp,K. Trapp,G,35,189,1775,M,38440,EUR,647395200,G,1,1,False,True,23.0,22.0,3.0,2.0,0.0,21.0,21.0,1.0,2.0,1.0,11.0,1.0,2.0,2.0,90.0,29.0,6.4,1.0,0.00034425,0,-0.8348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499530,home,Eintracht Frankfurt,Tuta,tuta,Tuta,D,3,184,1088,M,964191,EUR,931046400,D,35,35,False,,60.0,54.0,3.0,2.0,0.0,26.0,26.0,28.0,35.0,2.0,1.0,,,,61.0,67.0,6.9,7.0,0.0191651,0,,1.0,2.0,3.0,2.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499530,home,Eintracht Frankfurt,Robin Koch,robin-koch,R. Koch,D,4,190,1832,M,581302,EUR,837561600,D,4,4,False,,134.0,128.0,11.0,7.0,0.0,61.0,63.0,67.0,71.0,4.0,3.0,,,,90.0,143.0,7.4,7.0,0.0706995,0,,,2.0,6.0,3.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
12499530,home,Eintracht Frankfurt,Arthur Theate,arthur-theate,A. Theate,D,3,186,2196,M,965778,EUR,959212800,D,3,3,False,,125.0,112.0,13.0,7.0,0.0,39.0,40.0,74.0,91.0,6.0,6.0,,,,90.0,153.0,8.1,20.0,0.268524,1,,6.0,1.0,8.0,3.0,15.0,4.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0415,0.0737,,,,,,,,,,,,
12499530,home,Eintracht Frankfurt,Rasmus Kristensen,rasmus-kristensen,R. Kristensen,D,13,186,1615,M,921789,EUR,868579200,M,13,13,False,,70.0,58.0,7.0,4.0,0.0,14.0,15.0,45.0,58.0,,7.0,,,,90.0,96.0,7.2,23.0,0.264386,2,,3.0,1.0,2.0,9.0,2.0,,,,1.0,2.0,2.0,1.0,,5.0,,1.0,,,,0.6154,0.9101,1.0,1.0,1.0,,,,,,,,,
12499530,home,Eintracht Frankfurt,Ellyes Skhiri,ellyes-skhiri,E. Skhiri,M,15,185,4745,M,591706,EUR,800064000,M,15,15,False,,40.0,37.0,,,0.0,11.0,12.0,26.0,28.0,,1.0,,,,69.0,44.0,6.4,5.0,0.0738302,0,,,,,3.0,1.0,,,,1.0,,1.0,,2.0,1.0,,,,1.0,,,,,,,ellyes_skhiri,,,,,,,,
12499530,home,Eintracht Frankfurt,Hugo Larsson,hugo-larsson,H. Larsson,M,16,187,2774,M,1142211,EUR,1088294400,M,16,16,False,,36.0,34.0,2.0,2.0,1.0,15.0,16.0,19.0,20.0,,3.0,,,,90.0,47.0,7.4,3.0,0.274889,1,,,,,2.0,3.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,2.0,1.0,0.0592,0.5618,,,,,Hugo Larsson,,1.0,,,,,
12499530,home,Eintracht Frankfurt,Nathaniel Brown,nathaniel-brown,N. Brown,D,21,179,1784,M,1159759,EUR,1055721600,M,21,21,False,,34.0,29.0,1.0,1.0,0.0,8.0,8.0,21.0,29.0,,2.0,,,,90.0,50.0,6.6,12.0,0.0467362,0,,3.0,1.0,,4.0,3.0,1.0,,,2.0,1.0,1.0,,,1.0,1.0,,,1.0,,,,2.0,,,,,,,,,,,
12499530,home,Eintracht Frankfurt,Ansgar Knauff,ansgar-knauff,A. Knauff,M,7,180,2079,M,997012,EUR,1010620800,F,36,36,False,,32.0,27.0,1.0,1.0,0.0,8.0,9.0,20.0,24.0,,3.0,,,,79.0,45.0,7.4,9.0,0.566727,2,,1.0,,1.0,1.0,4.0,2.0,,,3.0,1.0,2.0,1.0,,,,,,1.0,1.0,0.0998,,,1.0,,,,,1.0,1.0,,,,
12499530,home,Eintracht Frankfurt,Jean-Mattéo Bahoya,jean-matteo-bahoya,J. Bahoya,M,19,180,2331,M,1146148,EUR,1115424000,F,19,19,False,,18.0,14.0,,,0.0,5.0,7.0,9.0,13.0,,4.0,,,,45.0,25.0,6.8,9.0,0.0339422,1,,2.0,1.0,2.0,1.0,2.0,,1.0,,3.0,,,,,,,,,,,0.0213,,,1.0,,,Jean Bahoya,,,,,,,
