match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_unsuccessfulTouch,stat_fouls,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_totalTackle,stat_wonTackle,stat_errorLeadToAGoal,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_accurateCross,stat_blockedScoringAttempt,stat_hitWoodwork,stat_interceptionWon,stat_keyPass,captain,stat_clearanceOffLine,stat_dispossessed,stat_bigChanceMissed,stat_bigChanceCreated,stat_totalOffside,stat_punches,stat_goals
12499533,home,VfL Bochum 1848,Patrick Drewes,patrick-drewes,P. Drewes,G,30,194,349,M,132607,EUR,728784000,G,27,27,False,38.0,25.0,22.0,9.0,0.0,18.0,19.0,7.0,19.0,1.0,7.0,1.0,2.0,3.0,1.0,1.0,90.0,46.0,7.0,13.0,0.00560699,0,0.6175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499533,home,VfL Bochum 1848,Felix Passlack,passlack-felix,F. Passlack,M,25,170,280,M,795000,EUR,896400000,D,15,15,False,36.0,23.0,7.0,2.0,0.0,12.0,14.0,11.0,24.0,3.0,5.0,,,,,,90.0,59.0,6.1,18.0,0.0106288,0,,2.0,4.0,1.0,1.0,2.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12499533,home,VfL Bochum 1848,Jakov Medić,jakov-medic,J. Medić,D,5,194,859,M,872307,EUR,905126400,D,13,13,False,44.0,37.0,1.0,,0.0,29.0,32.0,8.0,12.0,6.0,2.0,,,,,,81.0,57.0,6.1,7.0,0.02209,0,,,1.0,3.0,,,,,,,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
12499533,home,VfL Bochum 1848,Erhan Mašović,erhan-masovic,E. Mašović,D,4,189,232,M,833213,EUR,911692800,D,4,4,False,55.0,51.0,10.0,8.0,0.0,26.0,28.0,25.0,27.0,3.0,4.0,,,,,,90.0,66.0,7.3,4.0,0.0195151,2,,,2.0,2.0,1.0,,,,,,,1.0,,1.0,1.0,,1.0,1.0,2.0,1.0,0.0864,0.2517,,,,,,,,,,,,,
12499533,home,VfL Bochum 1848,Maximilian Wittek,maximilian-wittek,M. Wittek,D,32,173,158,M,254125,EUR,808963200,D,32,32,False,31.0,23.0,6.0,1.0,0.0,7.0,8.0,18.0,30.0,1.0,4.0,,,,,,90.0,58.0,7.4,15.0,0.199838,3,,7.0,5.0,5.0,3.0,,,1.0,1.0,,,1.0,,1.0,1.0,,1.0,1.0,2.0,4.0,0.0438,0.2457,2.0,1.0,1.0,1.0,3.0,,,,,,,,
12499533,home,VfL Bochum 1848,Anthony Losilla,anthony-losilla,A. Losilla,M,,185,68,M,119179,EUR,510796800,M,8,8,False,6.0,4.0,1.0,,0.0,2.0,2.0,3.0,5.0,1.0,1.0,,,,,,45.0,15.0,6.4,5.0,0.136799,0,,1.0,3.0,,1.0,2.0,,1.0,,,,,,,,,,,,,,,1.0,,,1.0,1.0,True,,,,,,,
12499533,home,VfL Bochum 1848,Ibrahima Sissoko,ibrahima-sissoko,I. Sissoko,M,28,193,1219,M,829093,EUR,877910400,M,6,6,False,35.0,30.0,1.0,1.0,0.0,16.0,16.0,14.0,19.0,5.0,5.0,,,,,,81.0,49.0,7.6,6.0,0.101077,1,,,2.0,6.0,,,,1.0,1.0,,,1.0,3.0,2.0,1.0,,1.0,,1.0,1.0,0.0275,,,,,,2.0,,1.0,,,,,,
12499533,home,VfL Bochum 1848,Matúš Bero,matus-bero,M. Bero,M,19,181,413,M,187207,EUR,810345600,M,19,19,False,30.0,23.0,2.0,1.0,0.0,6.0,6.0,19.0,27.0,1.0,3.0,,,,,,90.0,56.0,7.1,16.0,0.13863,0,,3.0,6.0,8.0,4.0,1.0,,2.0,,,,,,5.0,3.0,,,,,3.0,,,2.0,,,,3.0,,,1.0,,,,,
12499533,home,VfL Bochum 1848,Dani de Wit,dani-de-wit,D. de Wit,M,20,183,552,M,855854,EUR,885945600,M,10,10,False,24.0,18.0,1.0,1.0,0.0,9.0,11.0,10.0,14.0,2.0,4.0,,,,,,90.0,37.0,6.9,7.0,0.0227827,0,,1.0,4.0,5.0,1.0,,,,1.0,,,2.0,3.0,2.0,2.0,,,,,,,,1.0,,,2.0,,,,,,,,,
12499533,home,VfL Bochum 1848,Moritz Broschinski,moritz-broschinski,M. Broschinski,F,17,188,263,M,924205,EUR,969667200,F,29,29,False,7.0,2.0,,,0.0,,1.0,2.0,6.0,1.0,1.0,,,,,,45.0,14.0,6.6,9.0,0.00196578,0,,,,1.0,,,,4.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
