match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_totalClearance,stat_wasFouled,player_firstName,player_lastName,stat_penaltyConceded,stat_onTargetScoringAttempt,stat_errorLeadToAShot,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotOffTarget,stat_blockedScoringAttempt,stat_goals,captain,stat_bigChanceCreated,stat_bigChanceMissed,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_totalOffside,stat_penaltyWon
12499549,home,Borussia Dortmund,Gregor Kobel,gregor-kobel,G. Kobel,G,1,193,6864,M,gregorkobel,556866,EUR,881366400,G,1,1,False,34.0,28.0,12.0,6.0,0.0,25.0,26.0,3.0,8.0,6.0,1.0,1.0,2.0,90.0,39.0,6.5,6.0,0.00168979,0,-0.2952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499549,home,Borussia Dortmund,Julian Ryerson,julian-ryerson,J. Ryerson,D,26,183,3446,M,,800951,EUR,879724800,D,26,26,False,38.0,37.0,1.0,1.0,1.0,22.0,22.0,16.0,19.0,4.0,,,,90.0,62.0,7.0,7.0,0.112529,0,,3.0,1.0,8.0,4.0,1.0,1.0,4.0,3.0,1.0,3.0,1.0,1.0,2.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,,
12499549,home,Borussia Dortmund,Waldemar Anton,waldemar-anton,W. Anton,D,3,189,2193,M,,799046,EUR,837820800,D,3,3,False,74.0,70.0,4.0,2.0,0.0,45.0,46.0,25.0,28.0,4.0,,,,90.0,88.0,7.1,4.0,0.0171346,0,,,,3.0,6.0,,,,,1.0,4.0,2.0,1.0,,1.0,,2.0,3.0,4.0,1.0,,,,,,,,,,,,,,,,,
12499549,home,Borussia Dortmund,Niklas Süle,niklas-sule,N. Süle,D,25,195,4025,M,NiklasSule,168937,EUR,810086400,D,25,25,False,86.0,80.0,4.0,2.0,0.0,51.0,54.0,29.0,32.0,5.0,,,,90.0,94.0,6.4,7.0,0.0210105,0,,,,3.0,6.0,,,3.0,2.0,,,1.0,1.0,,2.0,,,3.0,4.0,,,,1.0,,,,,,,,,,,,,,
12499549,home,Borussia Dortmund,Ramy Bensebaini,ramy-bensebaini,R. Bensebaini,D,5,186,29068,M,rbens,577726,EUR,797990400,D,5,5,False,19.0,13.0,,,0.0,4.0,5.0,9.0,14.0,2.0,,,,72.0,36.0,6.8,7.0,0.0159789,1,,,,1.0,6.0,1.0,,,,,,,,1.0,,,,3.0,1.0,3.0,,,,1.0,1.0,0.0111,0.0504,,,,,,,,,,
12499549,home,Borussia Dortmund,Felix Nmecha,nmecha-felix,F. Nmecha,M,8,190,3992,M,,907463,EUR,971136000,M,8,8,False,64.0,56.0,7.0,6.0,0.0,27.0,28.0,29.0,36.0,7.0,,,,90.0,75.0,7.0,12.0,0.046429,0,,,,5.0,5.0,,1.0,,,,,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,
12499549,home,Borussia Dortmund,Pascal Groß,pascal-gross,P. Groß,M,30,181,4705,M,pascalgross65,48480,EUR,676944000,M,13,13,False,80.0,68.0,11.0,4.0,0.0,31.0,33.0,41.0,59.0,3.0,,,,90.0,98.0,7.0,21.0,0.236622,1,,12.0,4.0,3.0,1.0,1.0,,,,,,,,1.0,1.0,2.0,2.0,1.0,2.0,,,,,,,0.0585,,1.0,,,,,,,,,
12499549,home,Borussia Dortmund,Donyell Malen,donyell-malen,D. Malen,F,14,176,12595,M,donyellmalen,803039,EUR,916704000,M,21,21,False,22.0,15.0,1.0,,0.0,5.0,7.0,10.0,18.0,1.0,,,,59.0,43.0,7.2,16.0,0.0302524,3,,3.0,,3.0,4.0,,,5.0,2.0,,,,,2.0,,,,,,2.0,,,,1.0,,0.2132,0.138,1.0,1.0,1.0,,,,,,,
12499549,home,Borussia Dortmund,Julian Brandt,julian-brandt,J. Brandt,M,10,186,9499,M,julianbrandt,226978,EUR,830995200,M,10,10,False,54.0,48.0,1.0,,1.0,20.0,22.0,28.0,34.0,3.0,,,,79.0,62.0,7.4,9.0,0.293834,0,,2.0,,,2.0,,,2.0,2.0,,,,,1.0,,2.0,,,,,,,,,,,,,,,True,1.0,,,,,
12499549,home,Borussia Dortmund,Karim Adeyemi,karim-adeyemi,K. Adeyemi,F,27,177,17028,M,karim_adeyemi,940054,EUR,1011312000,M,27,27,False,29.0,20.0,,,1.0,6.0,9.0,14.0,20.0,3.0,,,,79.0,47.0,9.0,16.0,0.268463,2,,,,5.0,5.0,,1.0,3.0,1.0,,,1.0,,4.0,1.0,3.0,1.0,1.0,,2.0,,,,2.0,,0.4306,0.6692,,,2.0,,,,,,,
12499549,home,Borussia Dortmund,Serhou Guirassy,serhou-guirassy,S. Guirassy,F,9,187,50480,M,guirassy19off,328027,EUR,826588800,F,9,9,False,28.0,22.0,2.0,1.0,0.0,8.0,10.0,14.0,18.0,1.0,,,,72.0,43.0,6.4,10.0,0.0137631,4,,,,3.0,8.0,,1.0,,,,,,,2.0,,,2.0,5.0,1.0,4.0,,,,1.0,,1.0488,0.6793,1.0,2.0,,,,1.0,,,,
12499549,home,Borussia Dortmund,Marcel Sabitzer,marcel-sabitzer,M. Sabitzer,M,20,177,8484,M,marcel7sabitzer,133908,EUR,763862400,M,20,20,True,8.0,7.0,,,0.0,,,7.0,9.0,1.0,,,,31.0,19.0,6.8,2.0,0.0316615,0,,1.0,,,1.0,,,,,2.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,
12499549,home,Borussia Dortmund,Yan Couto,couto-yan,Y. Couto,D,2,169,7173,M,yan.couto,1002813,EUR,1023062400,D,2,2,True,7.0,5.0,1.0,,0.0,3.0,4.0,2.0,4.0,1.0,,,,18.0,12.0,6.2,4.0,0.00056893,0,,1.0,,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
12499549,home,Borussia Dortmund,Maximilian Beier,maximilian-beier,M. Beier,F,14,183,4887,M,,980628,EUR,1034812800,F,14,14,True,5.0,1.0,,,0.0,1.0,1.0,,4.0,,,,,18.0,11.0,6.1,7.0,1.556e-05,1,,,,7.0,2.0,2.0,1.0,3.0,1.0,,,,,,,,2.0,1.0,,,,,,,,0.1367,,,1.0,,,,,,,,
12499549,home,Borussia Dortmund,Emre Can,emre-can,E. Can,D,23,186,5006,M,emrecan23,138156,EUR,758332800,M,23,23,True,9.0,7.0,1.0,,0.0,1.0,3.0,6.0,6.0,,,,,11.0,14.0,7.3,2.0,0.00830786,1,,,,,2.0,,,,,,,,,,,,,1.0,3.0,1.0,,,,1.0,,0.7884,0.7437,,,1.0,,,,,,,
12499549,home,Borussia Dortmund,Jamie Gittens,jamie-bynoe-gittens,J. Gittens,M,11,178,23992,M,jbgittens,1140599,EUR,1091923200,F,43,43,True,4.0,4.0,,,0.0,1.0,1.0,3.0,3.0,1.0,,,,11.0,10.0,6.3,2.0,0.0108217,0,,,,3.0,2.0,,,2.0,,,,1.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,
12499549,home,Borussia Dortmund,Alexander Meyer,alexander-meyer,A. Meyer,G,33,196,878,M,,138491,EUR,671500800,G,33,33,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499549,home,Borussia Dortmund,Almugera Kabar,almugera-kabar,A. Kabar,D,42,181,1008,M,,1418620,EUR,1139184000,D,42,42,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,Almugera Kabar,,,,,,,,,,,,,,,,
12499549,home,Borussia Dortmund,Kjell Wätjen,kjell-watjen,K. Wätjen,M,8,183,951,M,,1428576,EUR,1140048000,M,38,38,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499549,home,Borussia Dortmund,Julien Duranville,julien-duranville,J. Duranville,F,18,170,4601,M,julien.drnl,1171540,EUR,1146787200,F,16,16,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499549,away,1. FC Heidenheim,Kevin Müller,kevin-muller,K. Müller,G,22,190,180,M,,121908,EUR,668995200,G,1,1,False,33.0,28.0,11.0,6.0,0.0,23.0,26.0,5.0,7.0,9.0,2.0,1.0,2.0,90.0,45.0,6.1,5.0,0.00085383,0,-1.7193,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,
12499549,away,1. FC Heidenheim,Haktab Omar Traore,haktab-omar-traore,H. O. Traore,D,23,184,112,M,,920022,EUR,886550400,D,23,23,False,33.0,21.0,10.0,3.0,1.0,11.0,15.0,11.0,22.0,2.0,,,,90.0,61.0,5.9,19.0,0.221658,0,,4.0,1.0,7.0,5.0,1.0,1.0,1.0,1.0,1.0,,4.0,,2.0,3.0,1.0,3.0,,3.0,,,,1.0,,,,,,,,,,,,,,
12499549,away,1. FC Heidenheim,Patrick Mainka,patrick-mainka,P. Mainka,D,6,194,320,M,,254429,EUR,784080000,D,6,6,False,44.0,40.0,5.0,1.0,0.0,31.0,33.0,9.0,11.0,3.0,,,,90.0,59.0,6.5,4.0,0.00377276,0,,,,3.0,5.0,1.0,,,,2.0,1.0,2.0,1.0,,1.0,,2.0,3.0,6.0,,,,,,,,,,,,True,,,,,,
12499549,away,1. FC Heidenheim,Benedikt Gimber,benedikt-gimber,B. Gimber,D,5,185,137,M,,798936,EUR,856310400,D,5,5,False,40.0,33.0,10.0,5.0,0.0,30.0,32.0,3.0,9.0,,,,,90.0,54.0,6.1,8.0,0.00167814,0,,1.0,,7.0,3.0,,,,,,1.0,2.0,1.0,,3.0,,4.0,,6.0,1.0,,,,,,,,,,,,,,,,,
12499549,away,1. FC Heidenheim,Jonas Föhrenbach,jonas-fohrenbach,J. Föhrenbach,D,19,185,79,M,,311676,EUR,822614400,D,19,19,False,28.0,22.0,3.0,2.0,0.0,14.0,17.0,10.0,17.0,3.0,,,,90.0,55.0,6.4,12.0,0.0423266,2,,6.0,2.0,5.0,4.0,1.0,,,,1.0,,3.0,2.0,,1.0,,3.0,1.0,3.0,,,,,,,0.0788,,1.0,1.0,,,,,,,,
12499549,away,1. FC Heidenheim,Jan Schöppner,jan-schoppner,J. Schöppner,M,3,190,163,M,,933707,EUR,929145600,M,3,3,False,29.0,25.0,3.0,1.0,0.0,11.0,11.0,14.0,19.0,3.0,,,,90.0,40.0,6.5,7.0,0.200184,0,,1.0,,3.0,3.0,,,,,,,1.0,,1.0,3.0,1.0,,2.0,6.0,,,,,,,,,,,,,,,,,,
