match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,stat_wasFouled,stat_totalCross,stat_accurateCross,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_interceptionWon,stat_totalOffside,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_challengeLost,stat_blockedScoringAttempt,stat_fouls,captain,stat_shotOffTarget,stat_unsuccessfulTouch,stat_dispossessed,player_sofascoreId,stat_outfielderBlock,stat_bigChanceCreated,stat_bigChanceMissed
12499740,home,FC St. Pauli,Nikola Vasilj,,,nikola-vasilj,N. Vasilj,G,22,194,1626,M,325061,EUR,817862400,G,22,22,False,53.0,48.0,10.0,5.0,0.0,44.0,44.0,4.0,9.0,5.0,1.0,3.0,4.0,90.0,61.0,7.8,5.0,0.00187136,0,2.2248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499740,home,FC St. Pauli,Hauke Wahl,,,hauke-wahl,H. Wahl,D,5,189,150,M,253469,EUR,766368000,D,5,5,False,72.0,65.0,2.0,,0.0,49.0,51.0,16.0,21.0,2.0,,,,90.0,80.0,6.9,7.0,0.0102734,0,,2.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
12499740,home,FC St. Pauli,Eric Smith,,,eric-smith,E. Smith,D,8,191,412,M,542038,EUR,852681600,D,8,8,False,49.0,38.0,10.0,1.0,0.0,26.0,28.0,15.0,28.0,4.0,,,,90.0,69.0,7.4,16.0,0.153363,1,,,,,2.0,5.0,,,,1.0,7.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0485,0.4134,2.0,,,,,,,,,,,
12499740,home,FC St. Pauli,Karol Mets,,,karol-mets,K. Mets,D,3,190,509,M,57627,EUR,737510400,D,3,3,False,78.0,63.0,12.0,4.0,0.0,47.0,53.0,16.0,26.0,3.0,,,,90.0,92.0,7.1,16.0,0.00931139,1,,1.0,4.0,2.0,7.0,5.0,3.0,2.0,,,1.0,,,,,1.0,,0.0604,,,1.0,1.0,,,,,,,,,
12499740,home,FC St. Pauli,Manolis Saliakas,,,manolis-saliakas,M. Saliakas,M,2,175,358,M,280551,EUR,842486400,M,2,2,False,56.0,41.0,14.0,5.0,0.0,25.0,27.0,16.0,32.0,1.0,,,,90.0,80.0,6.8,22.0,0.0174394,2,,,1.0,3.0,3.0,2.0,2.0,,,,3.0,,,,,2.0,,0.0486,,1.0,2.0,2.0,1.0,,,,,,,,
12499740,home,FC St. Pauli,Jackson Irvine,,,jackson-irvine,J. Irvine,M,7,190,924,M,181581,EUR,731462400,M,7,7,False,39.0,27.0,,,0.0,8.0,14.0,19.0,25.0,6.0,,,,90.0,53.0,7.2,15.0,0.034566,2,,3.0,3.0,5.0,6.0,4.0,1.0,,,2.0,,,,,1.0,1.0,,0.2174,0.0418,1.0,,,3.0,True,1.0,2.0,,,,,
12499740,home,FC St. Pauli,Carlo Boukhalfa,,,carlo-boukhalfa,C. Boukhalfa,M,11,185,501,M,939623,EUR,925689600,M,16,16,False,25.0,22.0,,,0.0,7.0,7.0,15.0,19.0,1.0,,,,87.0,35.0,6.6,9.0,0.0235906,0,,5.0,,8.0,3.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,2.0,,,4.0,1.0,,,,
12499740,home,FC St. Pauli,Philipp Treu,,,treu-philipp,P. Treu,M,29,172,176,M,979820,EUR,975801600,M,23,23,False,34.0,29.0,1.0,,0.0,14.0,15.0,16.0,22.0,3.0,,,,90.0,54.0,7.1,8.0,0.0618946,0,,,,2.0,4.0,,2.0,2.0,,2.0,3.0,1.0,,,,2.0,,,,,,,1.0,,,,1.0,,,,
12499740,home,FC St. Pauli,Danel Sinani,,,danel-sinani,D. Sinani,F,10,185,628,M,887500,EUR,860198400,F,10,10,False,26.0,15.0,4.0,1.0,0.0,7.0,7.0,8.0,20.0,2.0,,,,66.0,35.0,7.1,14.0,0.0195701,3,,2.0,,4.0,3.0,,3.0,3.0,,,1.0,,1.0,,2.0,,,0.1122,0.2548,1.0,,1.0,1.0,,,1.0,,,,,
12499740,home,FC St. Pauli,Johannes Eggestein,,,johannes-eggestein,J. Eggestein,F,19,183,466,M,591588,EUR,894585600,F,11,11,False,28.0,22.0,,,0.0,8.0,10.0,14.0,19.0,3.0,,,,82.0,34.0,6.9,8.0,0.130614,2,,7.0,,8.0,1.0,,,,,1.0,1.0,,,,1.0,,,0.111,0.1091,2.0,1.0,1.0,,,,1.0,,,,,
12499740,home,FC St. Pauli,Morgan Guilavogui,,,morgan-guilavogui,M. Guilavogui,F,29,188,3047,M,990743,EUR,889488000,F,29,29,False,27.0,21.0,,,0.0,3.0,3.0,18.0,24.0,1.0,,,,90.0,50.0,7.8,10.0,0.118369,3,,2.0,3.0,7.0,13.0,2.0,4.0,3.0,,2.0,,,5.0,4.0,,,1.0,0.1885,,2.0,2.0,1.0,1.0,,2.0,2.0,1.0,MorganGuila,,,
12499740,home,FC St. Pauli,Oladapo Afolayan,,,oladapo-afolayan,O. Afolayan,F,21,180,303,M,871621,EUR,873936000,F,17,17,True,7.0,6.0,1.0,1.0,0.0,1.0,2.0,7.0,7.0,,,,,24.0,13.0,7.0,2.0,0.0834486,0,,1.0,,1.0,2.0,,,,,1.0,2.0,2.0,1.0,1.0,,1.0,,,,2.0,,,,,,1.0,,,,,
