match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_clearanceOffLine,stat_outfielderBlock,stat_interceptionWon,stat_wasFouled,stat_shotOffTarget,stat_totalTackle,stat_unsuccessfulTouch,stat_bigChanceMissed,stat_wonTackle,stat_totalContest,stat_wonContest,captain,stat_blockedScoringAttempt,stat_fouls,stat_keyPass,stat_dispossessed,stat_challengeLost,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,stat_hitWoodwork,stat_ownGoals
12388518,home,SG Dynamo Dresden,Tim Schreiber,,,tim-schreiber,T. Schreiber,G,1,191,113,M,980615,EUR,1019606400,G,1,1,False,50.0,36.0,29.0,15.0,0.0,26.0,29.0,10.0,21.0,1.0,9.0,2.0,1.0,3.0,1.0,1.0,90.0,57.0,7.7,14.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12388518,home,SG Dynamo Dresden,Claudio Kammerknecht,,,claudio-kammerknecht,C. Kammerknecht,D,15,185,101,M,940870,EUR,931305600,D,15,15,False,76.0,69.0,12.0,7.0,0.0,43.0,44.0,27.0,36.0,3.0,4.0,,,,,,90.0,88.0,8.2,10.0,0,4.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
12388518,home,SG Dynamo Dresden,Aljaž Casar,,,aljaz-casar,A. Casar,M,8,190,65,M,988274,EUR,969148800,D,17,17,False,54.0,47.0,6.0,2.0,0.0,31.0,33.0,16.0,21.0,2.0,3.0,,,,,,90.0,68.0,7.5,8.0,1,,,1.0,3.0,1.0,7.0,,2.0,2.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
12388518,home,SG Dynamo Dresden,Lukas Boeder,,,lukas-boeder,L. Boeder,D,29,184,39,M,295111,EUR,861321600,D,29,29,False,72.0,64.0,7.0,2.0,0.0,50.0,54.0,14.0,19.0,3.0,6.0,,,,,,90.0,81.0,7.2,9.0,2,1.0,,,2.0,,3.0,,,1.0,,2.0,1.0,,1.0,1.0,,,,,,,,,,,,,,
12388518,home,SG Dynamo Dresden,Jakob Lemmer,,,jakob-lemmer,J. Lemmer,F,10,179,97,M,992144,EUR,956620800,M,10,10,False,32.0,29.0,,,0.0,13.0,14.0,16.0,24.0,1.0,1.0,,,,,,90.0,59.0,7.1,10.0,0,6.0,,,1.0,,3.0,,,,,,,,,,2.0,2.0,,,,,,,,,,,,
12388518,home,SG Dynamo Dresden,Niklas Hauptmann,,,niklas-hauptmann,N. Hauptmann,M,27,176,54,M,798154,EUR,835315200,M,27,27,False,25.0,22.0,1.0,1.0,0.0,11.0,11.0,11.0,17.0,,2.0,,,,,,67.0,44.0,7.5,9.0,2,3.0,,,,2.0,5.0,,1.0,3.0,1.0,1.0,4.0,2.0,,2.0,,,True,1.0,2.0,1.0,,,,,,,,
12388518,home,SG Dynamo Dresden,Vinko Šapina,,,vinko-sapina,V. Šapina,M,5,194,57,M,566918,EUR,804384000,M,5,5,False,35.0,29.0,3.0,1.0,0.0,16.0,16.0,13.0,20.0,1.0,6.0,,,,,,73.0,47.0,7.5,10.0,2,1.0,,,,3.0,2.0,1.0,1.0,,1.0,1.0,,2.0,,,1.0,1.0,,1.0,2.0,1.0,1.0,,,,,,,
12388518,home,SG Dynamo Dresden,Philip Heise,,,philip-heise,P. Heise,D,16,183,46,M,124743,EUR,677376000,M,16,16,False,38.0,32.0,2.0,1.0,0.0,19.0,21.0,13.0,19.0,1.0,8.0,,,,,,90.0,52.0,7.0,8.0,3,2.0,,,1.0,,2.0,,,2.0,,1.0,,,,,1.0,1.0,,2.0,,,,,,,,,,
12388518,home,SG Dynamo Dresden,Robin Meißner,,,robin-meissner,R. Meißner,F,11,182,44,M,899284,EUR,939340800,F,21,21,False,12.0,11.0,,,0.0,2.0,3.0,12.0,13.0,1.0,2.0,,,,,,88.0,30.0,8.1,5.0,6,4.0,3.0,1.0,,5.0,,,,1.0,,2.0,,1.0,,,1.0,,,2.0,1.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,,
12388518,home,SG Dynamo Dresden,Christoph Daferner,,,christoph-daferner,C. Daferner,F,33,187,226,M,843133,EUR,884563200,F,33,33,False,14.0,9.0,,,0.0,,1.0,9.0,13.0,,1.0,,,,,,73.0,24.0,7.8,7.0,4,,,1.0,4.0,1.0,5.0,,,,,3.0,1.0,2.0,,1.0,,,,1.0,,2.0,,,1.0,,,,1.0,
