match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,id,isHome,incidentClass,player_id,player_name,length,injury,playerName,reason,rescinded
12499340,FT,3.0,0.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,
12499340,,3.0,0.0,,90,4.0,,1,,,goal,189297781.0,True,regular,158615.0,Matías Vecino,,,,,
12499340,,,,,90,0.0,,1,,,injuryTime,,,,,,5.0,,,,
12499340,,2.0,0.0,,86,,,5,,,goal,189297112.0,True,regular,35428.0,Pedro,,,,,
12499340,,,,,85,,,6,,,substitution,123228787.0,True,regular,,,,False,,,
12499340,,,,,85,,,6,,,substitution,123228786.0,True,regular,,,,False,,,
12499340,,,,,78,,,13,,,substitution,123228729.0,True,regular,,,,False,,,
12499340,,,,,71,,,20,,,substitution,123228675.0,False,injury,,,,True,,,
12499340,,,,,67,,,24,,,card,121674981.0,True,yellow,267619.0,Adam Marušić,,,Adam Marušić,Foul,False
12499340,,,,,62,,,29,,,substitution,123228567.0,False,regular,,,,False,,,
12499340,,,,,62,,,29,,,substitution,123228565.0,False,regular,,,,False,,,
12499340,,,,,62,,,29,,,substitution,123228566.0,False,regular,,,,False,,,
12499340,,,,,62,,,29,,,substitution,123228564.0,True,regular,,,,False,,,
12499340,,,,,62,,,29,,,substitution,123228563.0,True,regular,,,,False,,,
12499340,,,,,55,,,36,,,card,121674828.0,True,yellow,965828.0,Mario Gila Fuentes,,,Mario Gila Fuentes,Foul,False
12499340,,,,,46,,,45,,,substitution,123228407.0,False,regular,,,,False,,,
12499340,HT,1.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,
12499340,,,,,45,0.0,,1,,,injuryTime,,,,,,1.0,,,,
12499340,,,,,29,,,17,,,card,121674438.0,True,yellow,1069244.0,Tijjani Noslin,,,Tijjani Noslin,Foul,False
12499340,,,,,23,,,23,,,card,121674410.0,False,yellow,184421.0,Stefano Sabelli,,,Stefano Sabelli,Foul,False
12499340,,1.0,0.0,,21,,,25,,,goal,189290404.0,True,regular,1069244.0,Tijjani Noslin,,,,,
