match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialLost,stat_duelLost,stat_totalClearance,stat_fouls,captain,stat_aerialWon,stat_duelWon,stat_outfielderBlock,stat_interceptionWon,stat_wasFouled,stat_blockedScoringAttempt,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalOffside,stat_keyPass,stat_totalCross,stat_accurateCross,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_shotOffTarget,stat_challengeLost,player_sofascoreId,stat_bigChanceMissed,stat_errorLeadToAShot,stat_goals,stat_bigChanceCreated
12499350,home,Empoli,Devis Vásquez,devis-vasquez,D. Vásquez,G,32,195,2465,M,925285,EUR,894931200,G,23,23,False,30.0,11.0,20.0,3.0,0.0,9.0,14.0,2.0,16.0,6.0,1.0,1.0,3.0,90.0,36.0,5.5,19.0,0.00057734,0,-0.9176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499350,home,Empoli,Saba Goglichidze,saba-goglichidze,S. Goglichidze,D,3,192,1618,M,1126175,EUR,1088121600,D,2,2,False,15.0,12.0,5.0,2.0,0.0,10.0,10.0,2.0,5.0,,,,,31.0,17.0,5.4,3.0,0.00142817,0,,,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499350,home,Empoli,Ardian Ismajli,ardian-ismajli,A. Ismajli,D,44,188,1151,M,840414,EUR,844041600,D,34,34,False,30.0,26.0,4.0,2.0,0.0,24.0,27.0,2.0,3.0,,,,,90.0,43.0,6.5,4.0,0.0005802,0,,,,2.0,4.0,7.0,2.0,True,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
12499350,home,Empoli,Mattia Viti,mattia-viti,M. Viti,D,2,190,528,M,1009268,EUR,1011830400,D,21,21,False,22.0,18.0,9.0,5.0,0.0,16.0,18.0,2.0,4.0,1.0,,,,90.0,40.0,6.7,5.0,0.00154021,1,,,,1.0,1.0,8.0,,,,3.0,,3.0,,1.0,3.0,2.0,1.0,0.0078,,,,,,,,,,,,,,,,
12499350,home,Empoli,Emmanuel Gyasi,emmanuel-gyasi,E. Gyasi,M,11,182,716,M,541578,EUR,758246400,M,11,11,False,12.0,9.0,1.0,,0.0,7.0,8.0,2.0,4.0,3.0,,,,77.0,25.0,6.6,5.0,0.00175435,0,,,,2.0,3.0,3.0,,,1.0,3.0,,1.0,,,,,1.0,,1.0,2.0,2.0,2.0,,,,,,,,,,,,
12499350,home,Empoli,Faustino Anjorin,faustino-anjorin,F. Anjorin,M,14,186,1182,M,907667,EUR,1006473600,M,8,8,False,12.0,11.0,2.0,1.0,0.0,5.0,5.0,6.0,7.0,5.0,,,,57.0,21.0,6.7,2.0,0.00626963,0,,,,1.0,1.0,1.0,1.0,,,2.0,,,1.0,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,
12499350,home,Empoli,Youssef Maleh,maleh-youssef,Y. Maleh,M,29,177,1361,M,849274,EUR,903744000,M,93,93,False,13.0,8.0,3.0,1.0,0.0,4.0,8.0,4.0,5.0,2.0,,,,57.0,20.0,6.6,6.0,0.0119427,0,,,,1.0,1.0,1.0,,,1.0,2.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,
12499350,home,Empoli,Liberato Cacace,liberato-cacace,L. Cacace,D,13,184,514,M,905264,EUR,970012800,M,13,13,False,8.0,8.0,1.0,1.0,0.0,6.0,6.0,3.0,3.0,1.0,,,,90.0,24.0,6.3,5.0,0.0914238,0,,,,1.0,5.0,4.0,2.0,,1.0,3.0,,,1.0,,1.0,1.0,,,,2.0,,,1.0,1.0,1.0,,,,,,,,,
12499350,home,Empoli,Ola Solbakken,ola-solbakken,O. Solbakken,F,9,186,648,M,920744,EUR,905126400,F,17,17,False,6.0,5.0,,,0.0,1.0,2.0,5.0,5.0,,,,,45.0,12.0,6.7,3.0,0.0499324,1,,,,,1.0,2.0,,,,,,,,,,,1.0,0.0414,1.0,,,,1.0,1.0,1.0,1.0,0.0765,,,,,,,
12499350,home,Empoli,Jacopo Fazzini,jacopo-fazzini,J. Fazzini,F,22,178,840,M,1012179,EUR,1047772800,F,10,10,False,22.0,18.0,,,0.0,6.0,8.0,13.0,16.0,5.0,,,,90.0,49.0,7.0,12.0,0.0458504,2,,,,,6.0,1.0,2.0,,1.0,10.0,,1.0,5.0,2.0,3.0,2.0,2.0,0.1447,3.0,2.0,1.0,,,2.0,1.0,,,,,,,,,
