match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,id,injury,isHome,incidentClass,length,playerName,reason,rescinded,player_id,player_name,from
12504391,FT,1.0,1.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,
12504391,,,,,90,7.0,,1,,,substitution,123555126.0,False,False,regular,,,,,,,
12504391,,,,,90,0.0,,1,,,injuryTime,,,,,4.0,,,,,,
12504391,,,,,86,,,5,,,card,121908849.0,,False,yellow,,Alan Matturro,Foul,False,1177401.0,Alan Matturro,
12504391,,,,,85,,,6,,,substitution,123555071.0,False,True,regular,,,,,,,
12504391,,,,,78,,,13,,,substitution,123554922.0,False,False,regular,,,,,,,
12504391,,,,,75,,,16,,,card,121908719.0,,False,yellow,,Junior Messias,Argument,False,888219.0,Junior Messias,
12504391,,,,,75,,,16,,,card,121908718.0,,True,yellow,,Samuele Ricci,Argument,False,930189.0,Samuele Ricci,
12504391,,,,,71,,,20,,,substitution,123554801.0,False,True,regular,,,,,,,
12504391,,,,,71,,,20,,,substitution,123554800.0,False,True,regular,,,,,,,
12504391,,,,,71,,,20,,,substitution,123554799.0,False,True,regular,,,,,,,
12504391,,,,,70,,,21,,,card,121908708.0,,True,yellow,,Saúl Coco,Foul,False,1089453.0,Saúl Coco,
12504391,,1.0,1.0,,68,,,23,,,goal,201293244.0,,False,regular,,,,,826198.0,Andrea Pinamonti,
12504391,,,,,61,,,30,,,substitution,123554748.0,True,False,injury,,,,,,,
12504391,,,,,52,,,39,,,substitution,123554702.0,False,False,regular,,,,,,,
12504391,,,,,52,,,39,,,substitution,123554701.0,False,False,regular,,,,,,,
12504391,HT,1.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,
12504391,,1.0,0.0,,45,2.0,,1,,,goal,201021266.0,,True,ownGoal,,,,,280991.0,Morten Thorsby,owngoal
12504391,,,,,45,0.0,,1,,,injuryTime,,,,,2.0,,,,,,
12504391,,,,,30,,,16,,,substitution,123554426.0,True,True,injury,,,,,,,
