match_id,period,group,name,home,away
12448350,ALL,Match overview,Ball possession,59%,41%
12448350,ALL,Match overview,Expected goals,1.46,0.55
12448350,ALL,Match overview,Big chances,1,0
12448350,ALL,Match overview,Total shots,23,10
12448350,ALL,Match overview,Goalkeeper saves,4,2
12448350,ALL,Match overview,Corner kicks,10,2
12448350,ALL,Match overview,Fouls,9,8
12448350,ALL,Match overview,Passes,430,296
12448350,ALL,Match overview,Tackles,27,20
12448350,ALL,Match overview,Free kicks,8,9
12448350,ALL,Match overview,Yellow cards,1,2
12448350,ALL,Shots,Total shots,23,10
12448350,ALL,Shots,Shots on target,2,4
12448350,ALL,Shots,Hit woodwork,0,1
12448350,ALL,Shots,Shots off target,13,3
12448350,ALL,Shots,Blocked shots,8,3
12448350,ALL,Shots,Shots inside box,15,6
12448350,ALL,Shots,Shots outside box,8,4
12448350,ALL,Attack,Big chances missed,1,0
12448350,ALL,Attack,Touches in penalty area,39,17
12448350,ALL,Attack,Fouled in final third,2,2
12448350,ALL,Attack,Offsides,2,0
12448350,ALL,Passes,Accurate passes,331,188
12448350,ALL,Passes,Throw-ins,26,20
12448350,ALL,Passes,Final third entries,89,56
12448350,ALL,Passes,Final third phase,96/152 (63%),43/87 (49%)
12448350,ALL,Passes,Long balls,30/60 (50%),27/72 (38%)
12448350,ALL,Passes,Crosses,8/24 (33%),5/20 (25%)
12448350,ALL,Duels,Duels,55%,45%
12448350,ALL,Duels,Dispossessed,10,19
12448350,ALL,Duels,Ground duels,40/75 (53%),35/75 (47%)
12448350,ALL,Duels,Aerial duels,32/55 (58%),23/55 (42%)
12448350,ALL,Duels,Dribbles,5/15 (33%),6/14 (43%)
12448350,ALL,Defending,Tackles won,56%,65%
12448350,ALL,Defending,Total tackles,27,20
12448350,ALL,Defending,Interceptions,10,16
12448350,ALL,Defending,Recoveries,66,65
12448350,ALL,Defending,Clearances,25,32
12448350,ALL,Defending,Errors lead to a shot,0,1
12448350,ALL,Goalkeeping,Total saves,4,2
12448350,ALL,Goalkeeping,Goals prevented,0.41,0.14
12448350,ALL,Goalkeeping,Big saves,1,0
12448350,ALL,Goalkeeping,High claims,0,2
12448350,ALL,Goalkeeping,Punches,0,2
12448350,ALL,Goalkeeping,Goal kicks,7,17
12448350,1ST,Match overview,Ball possession,62%,38%
12448350,1ST,Match overview,Expected goals,0.73,0.26
12448350,1ST,Match overview,Big chances,1,0
12448350,1ST,Match overview,Total shots,12,5
12448350,1ST,Match overview,Goalkeeper saves,3,0
12448350,1ST,Match overview,Corner kicks,5,1
12448350,1ST,Match overview,Passes,231,138
12448350,1ST,Match overview,Tackles,16,10
12448350,1ST,Match overview,Free kicks,6,5
12448350,1ST,Match overview,Yellow cards,1,1
12448350,1ST,Shots,Total shots,12,5
12448350,1ST,Shots,Shots on target,0,3
12448350,1ST,Shots,Hit woodwork,0,1
12448350,1ST,Shots,Shots off target,7,2
12448350,1ST,Shots,Blocked shots,5,0
12448350,1ST,Shots,Shots inside box,7,2
12448350,1ST,Shots,Shots outside box,5,3
12448350,1ST,Attack,Big chances missed,1,0
12448350,1ST,Attack,Fouled in final third,0,2
12448350,1ST,Attack,Offsides,2,0
12448350,1ST,Passes,Accurate passes,179,82
12448350,1ST,Passes,Throw-ins,12,10
12448350,1ST,Passes,Final third entries,42,26
12448350,1ST,Passes,Long balls,17/35 (49%),15/39 (38%)
12448350,1ST,Passes,Crosses,5/12 (42%),3/9 (33%)
12448350,1ST,Duels,Duels,56%,44%
12448350,1ST,Duels,Dispossessed,6,10
12448350,1ST,Duels,Ground duels,23/41 (56%),18/41 (44%)
12448350,1ST,Duels,Aerial duels,17/31 (55%),14/31 (45%)
12448350,1ST,Duels,Dribbles,1/5 (20%),3/9 (33%)
12448350,1ST,Defending,Tackles won,38%,80%
12448350,1ST,Defending,Total tackles,16,10
12448350,1ST,Defending,Interceptions,4,8
12448350,1ST,Defending,Recoveries,32,30
12448350,1ST,Defending,Clearances,7,6
12448350,1ST,Goalkeeping,Total saves,3,0
12448350,1ST,Goalkeeping,Goal kicks,4,8
12448350,2ND,Match overview,Ball possession,56%,44%
12448350,2ND,Match overview,Expected goals,0.72,0.29
12448350,2ND,Match overview,Big chances,0,0
12448350,2ND,Match overview,Total shots,11,5
12448350,2ND,Match overview,Goalkeeper saves,1,2
12448350,2ND,Match overview,Corner kicks,5,1
12448350,2ND,Match overview,Passes,199,158
12448350,2ND,Match overview,Tackles,11,10
12448350,2ND,Match overview,Free kicks,2,4
12448350,2ND,Match overview,Yellow cards,0,1
12448350,2ND,Shots,Total shots,11,5
12448350,2ND,Shots,Shots on target,2,1
12448350,2ND,Shots,Hit woodwork,0,0
12448350,2ND,Shots,Shots off target,6,1
12448350,2ND,Shots,Blocked shots,3,3
12448350,2ND,Shots,Shots inside box,8,4
12448350,2ND,Shots,Shots outside box,3,1
12448350,2ND,Attack,Big chances missed,0,0
12448350,2ND,Attack,Fouled in final third,2,0
12448350,2ND,Attack,Offsides,0,0
12448350,2ND,Passes,Accurate passes,152,106
12448350,2ND,Passes,Throw-ins,14,10
12448350,2ND,Passes,Final third entries,47,30
12448350,2ND,Passes,Long balls,13/25 (52%),12/33 (36%)
12448350,2ND,Passes,Crosses,3/12 (25%),2/11 (18%)
12448350,2ND,Duels,Duels,55%,45%
12448350,2ND,Duels,Dispossessed,4,9
12448350,2ND,Duels,Ground duels,17/34 (50%),17/34 (50%)
12448350,2ND,Duels,Aerial duels,15/24 (63%),9/24 (38%)
12448350,2ND,Duels,Dribbles,4/10 (40%),3/5 (60%)
12448350,2ND,Defending,Tackles won,82%,50%
12448350,2ND,Defending,Total tackles,11,10
12448350,2ND,Defending,Interceptions,6,8
12448350,2ND,Defending,Recoveries,34,35
12448350,2ND,Defending,Clearances,18,26
12448350,2ND,Goalkeeping,Total saves,1,2
12448350,2ND,Goalkeeping,Goal kicks,3,9
