match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_totalContest,stat_totalClearance,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_aerialWon,stat_duelWon,stat_challengeLost,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalTackle,stat_expectedGoals,stat_keyPass,stat_wonContest,stat_wasFouled,captain,stat_accurateCross,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_expectedGoalsOnTarget,stat_outfielderBlock,stat_bigChanceCreated,stat_wonTackle,stat_goals,stat_savedShotsFromInsideTheBox,stat_saves,stat_errorLeadToAGoal,stat_totalOffside
13558868,home,AZ Alkmaar,Rome Jayden Owusu-Oduro,,,rome-jayden-owusu-oduro,R. J. Owusu-Oduro,G,1,189,1341,M,1145999,EUR,1088726400,G,1,1,False,13.0,7.0,10.0,4.0,0.0,4.0,6.0,3.0,7.0,3.0,1.0,90.0,18.0,6.2,6.0,0.00185113,0,-0.4172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13558868,home,AZ Alkmaar,Elijah Dijkstra,Elijah Dijkstra,,elijah-dijkstra,E. Dijkstra,D,22,172,312,M,1386461,EUR,1154736000,D,43,43,False,42.0,39.0,,,0.0,20.0,20.0,19.0,23.0,7.0,,70.0,59.0,6.6,8.0,0.145992,0,,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
13558868,home,AZ Alkmaar,Wouter Goes,,,wouter-goes,W. Goes,D,3,187,709,M,1145982,EUR,1086825600,D,3,3,False,53.0,50.0,10.0,9.0,0.0,33.0,34.0,17.0,19.0,3.0,,70.0,56.0,6.8,3.0,0.0230492,0,,,1.0,2.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
13558868,home,AZ Alkmaar,Alexandre Penetra,,,alexandre-penetra,A. Penetra,D,5,184,386,M,1004278,EUR,999993600,D,5,5,False,91.0,83.0,15.0,11.0,0.0,41.0,42.0,42.0,49.0,3.0,,90.0,107.0,7.2,9.0,0.0208965,3,,,6.0,8.0,,1.0,8.0,1.0,,1.0,3.0,4.0,1.0,2.0,1.0,1.0,0.1947,1.0,,,,,,,,,,,,,,,,
13558868,home,AZ Alkmaar,David Möller Wolfe,,,david-moller-wolfe,D. M. Wolfe,D,6,185,958,M,1031283,EUR,1019520000,D,18,18,False,75.0,69.0,3.0,2.0,1.0,31.0,32.0,38.0,44.0,,,90.0,96.0,7.2,12.0,0.111045,0,,1.0,,4.0,2.0,3.0,2.0,,1.0,1.0,3.0,8.0,,,,1.0,,1.0,2.0,2.0,,,,,,,,,,,,,,
13558868,home,AZ Alkmaar,Peer Koopmeiners,,,peer-koopmeiners,P. Koopmeiners,M,6,186,510,M,922018,EUR,957398400,M,6,6,False,56.0,50.0,6.0,4.0,0.0,18.0,19.0,35.0,46.0,4.0,,70.0,77.0,7.4,14.0,0.246757,3,,9.0,2.0,2.0,,,3.0,,1.0,,3.0,4.0,,2.0,,,0.5383,2.0,,1.0,True,3.0,1.0,1.0,1.0,0.0119,,,,,,,,
13558868,home,AZ Alkmaar,Zico Buurmeester,Zico Buurmeester,,zico-buurmeester,Z. Buurmeester,M,8,182,150,M,1050828,EUR,1023408000,M,28,28,False,56.0,48.0,7.0,3.0,0.0,16.0,19.0,33.0,38.0,8.0,,90.0,69.0,6.8,12.0,0.11504,0,,1.0,,6.0,,3.0,,1.0,2.0,2.0,,4.0,2.0,,,2.0,,1.0,1.0,1.0,,1.0,,,,,1.0,,,,,,,
13558868,home,AZ Alkmaar,Ibrahim Sadiq,,,ibrahim-sadiq,I. Sadiq,M,11,166,1316,M,905174,EUR,957657600,M,11,11,False,21.0,17.0,,,1.0,2.0,3.0,16.0,20.0,,,58.0,30.0,7.2,9.0,0.689534,1,,2.0,,4.0,2.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,,0.0583,2.0,,,,1.0,,,,,,2.0,,,,,,
13558868,home,AZ Alkmaar,Kees Smit,,,kees-smit,K. Smit,M,26,182,3714,M,1405756,EUR,1137801600,M,26,26,False,42.0,39.0,,,0.0,13.0,13.0,26.0,29.0,9.0,,90.0,63.0,7.3,9.0,0.124276,4,,,2.0,8.0,4.0,2.0,,1.0,1.0,1.0,2.0,6.0,,,3.0,2.0,0.2111,3.0,1.0,1.0,,,,1.0,,0.0366,1.0,,2.0,,,,,
13558868,home,AZ Alkmaar,Mees de Wit,,,mees-de-wit,M. de Wit,D,34,178,170,M,893559,EUR,892771200,M,34,34,False,30.0,26.0,1.0,1.0,0.0,14.0,15.0,12.0,15.0,3.0,,58.0,43.0,6.9,7.0,0.0113868,1,,,2.0,4.0,1.0,1.0,,,1.0,1.0,,3.0,,1.0,,1.0,0.1636,,1.0,1.0,,,,,,,,,,,,,,
13558868,home,AZ Alkmaar,Troy Parrott,,,troy-parrott,T. Parrott,F,9,185,10474,M,966555,EUR,1012780800,F,9,9,False,17.0,14.0,,,0.0,5.0,5.0,9.0,12.0,4.0,,90.0,31.0,7.9,4.0,0.702134,6,,,3.0,3.0,,,2.0,,,,,3.0,,2.0,2.0,2.0,0.952,4.0,,1.0,,,1.0,2.0,,0.9469,,1.0,2.0,1.0,,,,
13558868,home,AZ Alkmaar,Denso Kasius,,,denso-kasius,D. Kasius,D,30,186,391,M,1008111,EUR,1033862400,D,30,30,True,17.0,16.0,2.0,2.0,0.0,4.0,4.0,14.0,19.0,2.0,,32.0,29.0,6.5,8.0,0.0415241,1,,6.0,,2.0,,1.0,,,,1.0,,1.0,,1.0,,1.0,0.0164,1.0,,,,2.0,,,,,,,1.0,,,,,
13558868,home,AZ Alkmaar,Ruben van Bommel,,,ruben-van-bommel,R. van Bommel,M,7,191,2030,M,1212550,EUR,1091491200,F,7,7,True,12.0,7.0,,,0.0,,,7.0,13.0,1.0,,32.0,22.0,6.9,8.0,0.0359478,3,,1.0,,2.0,,3.0,,,,,,2.0,1.0,1.0,1.0,,0.1358,2.0,2.0,,,,,1.0,,0.0185,,,,,,,,
13558868,home,AZ Alkmaar,Maxim Dekker,Maxim Dekker,,maxim-dekker,M. Dekker,D,4,192,201,M,1119294,EUR,1082505600,D,22,22,True,17.0,16.0,1.0,,0.0,5.0,5.0,11.0,13.0,1.0,,20.0,21.0,6.4,2.0,0.00877449,0,,1.0,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13558868,home,AZ Alkmaar,Kristijan Belić,,,kristijan-belic,K. Belić,M,17,177,617,M,994591,EUR,985392000,M,14,14,True,17.0,14.0,3.0,3.0,0.0,1.0,2.0,13.0,16.0,3.0,,20.0,27.0,6.6,6.0,0.0161228,1,,1.0,,4.0,1.0,2.0,,,,1.0,2.0,4.0,1.0,1.0,,,0.0436,,1.0,1.0,,,,,,,,,,,,,,
13558868,home,AZ Alkmaar,Mexx Meerdink,,,mexx-meerdink,M. Meerdink,F,35,182,933,M,1153117,EUR,1059004800,F,35,35,True,7.0,2.0,,,0.0,,,2.0,7.0,,,20.0,11.0,7.3,6.0,0.00193972,1,,,,1.0,,,,,,,2.0,3.0,1.0,,,,0.0684,,,1.0,,,,1.0,,0.224,,,,1.0,,,,
13558868,home,AZ Alkmaar,Jeroen Zoet,,,jeroen-zoet,J. Zoet,G,41,186,197,M,40963,EUR,663120000,G,41,41,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13558868,home,AZ Alkmaar,Hobie Verhulst,,,hobie-verhulst,H. Verhulst,G,12,189,76,M,97401,EUR,733708800,G,12,12,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13558868,home,AZ Alkmaar,Bruno Martins Indi,,,bruno-martins-indi,B. M. Indi,D,4,185,169,M,116947,EUR,697507200,D,4,4,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13558868,home,AZ Alkmaar,Ernest Poku,,,ernest-poku,E. Poku,M,19,172,5105,M,1119502,EUR,1075248000,F,21,21,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13558868,home,AZ Alkmaar,Ro-Zangelo Daal,,,ro-zangelo-daal,R. Daal,M,27,173,437,M,1145989,EUR,1096675200,F,27,27,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13558868,home,AZ Alkmaar,Julian Oerip,Julian Oerip,,oerip-julian,J. Oerip,M,10,179,207,M,1394876,EUR,1161820800,M,48,48,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13558868,away,RKC Waalwijk,Jeroen Houwen,,,jeroen-houwen,J. Houwen,G,,188,36,M,339367,EUR,824601600,G,1,1,False,46.0,30.0,33.0,17.0,0.0,17.0,18.0,13.0,28.0,8.0,1.0,90.0,58.0,7.2,16.0,0.00475456,0,-0.7621,,,,,,,,,,2.0,3.0,,,,,,,,2.0,,,,,,,,,,,2.0,4.0,,
13558868,away,RKC Waalwijk,Liam van Gelderen,,,liam-van-gelderen,L. v. Gelderen,D,4,178,172,M,910049,EUR,985305600,D,4,4,False,28.0,24.0,,,0.0,15.0,16.0,9.0,12.0,1.0,,90.0,49.0,7.0,5.0,0.00700965,0,,,,2.0,,1.0,13.0,3.0,,1.0,2.0,4.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,
13558868,away,RKC Waalwijk,Roshon van Eijma,,,roshon-van-eijma,R. v. Eijma,D,3,186,59,M,925930,EUR,897350400,D,17,17,False,38.0,34.0,1.0,,0.0,29.0,31.0,5.0,7.0,4.0,,90.0,57.0,7.2,4.0,0.00159491,0,,,1.0,3.0,,,9.0,1.0,,2.0,2.0,3.0,,,,1.0,,,,,,,,,,,5.0,,1.0,,,,,
13558868,away,RKC Waalwijk,Redouan El Yaakoubi,,,redouan-el-yaakoubi,R. E. Yaakoubi,D,,182,100,M,887617,EUR,822528000,D,32,32,False,44.0,38.0,9.0,5.0,0.0,23.0,23.0,15.0,21.0,1.0,,90.0,60.0,6.8,7.0,0.0162359,0,,,2.0,2.0,,,9.0,3.0,1.0,,1.0,2.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,
13558868,away,RKC Waalwijk,Godfried Roemeratoe,,,godfried-roemeratoe,G. Roemeratoe,M,6,178,106,M,825849,EUR,935020800,M,24,24,False,22.0,16.0,3.0,1.0,0.0,8.0,11.0,8.0,11.0,2.0,,90.0,32.0,6.3,7.0,0.00724051,1,,,1.0,1.0,,,1.0,,1.0,,1.0,7.0,,,1.0,5.0,0.3728,,,1.0,,,,,,,,,2.0,,,,1.0,
13558868,away,RKC Waalwijk,Julian Lelieveld,,,julian-lelieveld,J. Lelieveld,D,2,184,104,M,798179,EUR,880329600,M,2,2,False,26.0,17.0,3.0,2.0,0.0,9.0,12.0,8.0,16.0,2.0,,90.0,45.0,7.1,12.0,0.0149794,0,,2.0,,3.0,,1.0,2.0,,1.0,1.0,,7.0,2.0,,,3.0,,,1.0,3.0,,,,,,,1.0,,3.0,,,,,
13558868,away,RKC Waalwijk,Yassin Oukili,,,oukili-yassin,Y. Oukili,M,5,195,495,M,1010846,EUR,978480000,M,6,6,False,29.0,24.0,2.0,2.0,1.0,14.0,16.0,11.0,14.0,4.0,,90.0,47.0,6.8,9.0,0.0625127,1,,1.0,2.0,8.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,5.0,3.0,,1.0,3.0,0.0255,2.0,,1.0,,1.0,,,,,,,1.0,,,,,
13558868,away,RKC Waalwijk,Richard van der Venne,,,richard-van-der-venne,R. v. d. Venne,M,10,178,80,M,804489,EUR,705974400,M,23,23,False,21.0,18.0,2.0,2.0,0.0,11.0,12.0,7.0,10.0,5.0,,58.0,31.0,6.2,9.0,0.017477,1,,1.0,1.0,6.0,,2.0,1.0,,3.0,1.0,,2.0,2.0,1.0,,1.0,0.041,,,1.0,,,,,,,,,1.0,,,,,
