match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,id,injury,isHome,incidentClass,length,from,player_id,player_name,playerName,reason,rescinded
12512897,FT,0.0,1.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,
12512897,,,,,90,3.0,,1,,,substitution,122921757.0,False,False,regular,,,,,,,
12512897,,,,,90,3.0,,1,,,substitution,122921756.0,False,True,regular,,,,,,,
12512897,,,,,90,0.0,,1,,,injuryTime,,,,,6.0,,,,,,
12512897,,,,,83,,,8,,,substitution,122921708.0,False,False,regular,,,,,,,
12512897,,,,,80,,,11,,,substitution,122921699.0,False,True,regular,,,,,,,
12512897,,,,,80,,,11,,,substitution,122921698.0,False,True,regular,,,,,,,
12512897,,0.0,1.0,,77,,,14,,,goal,185770570.0,,False,penalty,,penalty,892309.0,Miguel Reisinho,,,
12512897,,,,,68,,,23,,,substitution,122921630.0,False,True,regular,,,,,,,
12512897,,,,,68,,,23,,,substitution,122921629.0,False,True,regular,,,,,,,
12512897,,,,,65,,,26,,,card,121471040.0,,False,yellow,,,912033.0,Róbert Boženík,Róbert Boženík,Argument,False
12512897,HT,0.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,
12512897,,,,,45,0.0,,1,,,injuryTime,,,,,3.0,,,,,,
12512897,,,,,28,,,18,,,card,121470783.0,,True,yellow,,,1106549.0,Telasco Segovia,Telasco Segovia,Foul,False
12512897,,,,,5,,,41,,,card,121470707.0,,True,yellow,,,94826.0,Nermin Zolotić,Nermin Zolotić,Foul,False
