match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_bigChanceMissed,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_penaltyConceded,stat_wasFouled,stat_fouls,stat_expectedGoals,player_firstName,player_lastName,stat_aerialWon,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_keyPass,stat_totalCross,stat_dispossessed,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_unsuccessfulTouch,stat_blockedScoringAttempt,stat_hitWoodwork,stat_accurateCross,stat_totalOffside,stat_penaltyMiss,stat_penaltyWon
12514045,home,SC Farense,Ricardo Velho,ricardo-velho,R. Velho,G,24,188,499,M,845792,EUR,903571200,G,33,33,False,True,32.0,26.0,11.0,5.0,0.0,25.0,25.0,1.0,7.0,2.0,9.0,2.0,1.0,2.0,1.0,1.0,1.0,90.0,44.0,7.4,6.0,0.00063861,0,0.9133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514045,home,SC Farense,Artur Jorge,artur-jorge,A. Jorge,D,44,186,53,M,310800,EUR,776822400,D,4,4,False,,66.0,57.0,10.0,4.0,0.0,47.0,49.0,10.0,17.0,1.0,4.0,,,,,,,90.0,73.0,6.5,9.0,0.00476892,2,,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,0.2904,,,,,,,,,,,,,,,,,,,,
12514045,home,SC Farense,Raúl Silva,raul-silva,R. Silva,D,,191,71,M,551812,EUR,626140800,D,34,34,False,,45.0,42.0,7.0,6.0,0.0,33.0,35.0,9.0,10.0,2.0,3.0,,,,,,,90.0,50.0,8.1,3.0,0.420127,1,,1.0,4.0,3.0,,,,,,,,1.0,3.0,0.352,,,2.0,1.0,1.0,1.0,0.4685,3.0,,,,,,,,,,,,
12514045,home,SC Farense,Lucas Áfrico,lucas-africo,L. Áfrico,D,40,188,120,M,939792,EUR,791942400,D,44,44,False,,57.0,49.0,10.0,7.0,0.0,42.0,44.0,7.0,13.0,3.0,1.0,,,,,,,90.0,65.0,7.4,8.0,0.0138809,1,,3.0,4.0,3.0,,,,1.0,1.0,1.0,,,1.0,0.0132,,,2.0,,1.0,,0.2523,1.0,,,,,,,,,,,,
12514045,home,SC Farense,Pastor,pastor,Pastor,D,2,176,138,M,1046354,EUR,951004800,M,28,28,False,,37.0,31.0,2.0,1.0,0.0,20.0,20.0,11.0,19.0,2.0,7.0,,,,,,,90.0,74.0,6.8,21.0,0.0405845,1,,,4.0,3.0,,,1.0,,1.0,1.0,,1.0,1.0,0.0297,,,,,,,,,2.0,1.0,3.0,1.0,1.0,5.0,,,,,,
12514045,home,SC Farense,Neto,neto,Neto,M,8,181,91,M,843358,EUR,683769600,M,6,6,False,,24.0,17.0,5.0,3.0,0.0,5.0,6.0,12.0,18.0,1.0,5.0,,,,,,,68.0,35.0,7.2,8.0,0.0414477,0,,,6.0,7.0,2.0,,,,5.0,3.0,,,4.0,,,,1.0,,,,,2.0,,,1.0,1.0,,1.0,,,,,,
12514045,home,SC Farense,Claudio Falcão,claudio-falcao,C. Falcão,D,29,187,132,M,845699,EUR,773193600,M,29,29,False,,33.0,23.0,6.0,2.0,0.0,11.0,12.0,12.0,21.0,,7.0,,,,,,,90.0,53.0,7.9,12.0,0.011131,3,,1.0,3.0,12.0,,,2.0,3.0,5.0,3.0,,2.0,1.0,0.1504,,,4.0,,,,,1.0,,1.0,2.0,2.0,1.0,,1.0,1.0,,,,
12514045,home,SC Farense,Derick Poloni,derick-poloni,D. Poloni,D,6,173,38,M,892169,EUR,746841600,M,31,31,False,,23.0,18.0,6.0,2.0,0.0,12.0,12.0,6.0,15.0,1.0,3.0,,,,,,,79.0,49.0,6.4,15.0,0.0176147,2,,,6.0,1.0,2.0,,,1.0,,,,1.0,1.0,0.042,,,,,,,,,4.0,1.0,2.0,,,2.0,2.0,,,,,
12514045,home,SC Farense,Elves Baldé,elves-balde,E. Baldé,F,21,168,195,M,846040,EUR,938822400,F,7,7,False,,13.0,10.0,,,0.0,6.0,8.0,5.0,9.0,,2.0,,,,,,,63.0,34.0,7.2,11.0,0.0121872,3,,1.0,3.0,6.0,,,3.0,,3.0,2.0,,,,0.2012,,,1.0,,,,,1.0,4.0,2.0,2.0,2.0,,3.0,,1.0,1.0,,,
12514045,home,SC Farense,Álex Millán,alex-millan,Á. Millán,F,23,185,80,M,1010550,EUR,941932800,F,19,19,False,,10.0,9.0,,,0.0,2.0,2.0,7.0,8.0,,1.0,,,,,,,79.0,21.0,6.7,4.0,0.00414847,0,,,3.0,6.0,,,,,2.0,,,4.0,1.0,,,,1.0,,,,,1.0,,1.0,1.0,,,1.0,,,,,,
