match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_aerialWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_errorLeadToAShot,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_aerialLost,stat_goals,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_goodHighClaim,stat_punches,stat_totalOffside,stat_hitWoodwork
12514061,home,AVS - Futebol SAD,Guillermo Ochoa,,,guillermo-ochoa,G. Ochoa,G,13,185,4425,M,GuiOchoa,15497,EUR,490060800,G,13,13,False,True,33.0,29.0,6.0,2.0,0.0,28.0,29.0,1.0,4.0,7.0,1.0,1.0,3.0,90.0,40.0,5.6,4.0,0.00019926,0,-0.7527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514061,home,AVS - Futebol SAD,Fernando Fonseca,,,fernando-fonseca,F. Fonseca,D,2,182,49,M,,792666,EUR,858297600,D,2,2,False,,34.0,24.0,2.0,,0.0,16.0,21.0,9.0,14.0,7.0,,,,90.0,67.0,6.8,14.0,0.00557865,0,,1.0,1.0,3.0,7.0,1.0,2.0,1.0,3.0,5.0,3.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,
12514061,home,AVS - Futebol SAD,Cristian Castro,Cristian Castro,,cristian-castro,C. Castro,D,42,192,155,M,,1067320,EUR,980380800,D,42,42,False,,60.0,50.0,16.0,7.0,0.0,35.0,37.0,15.0,23.0,3.0,,,,90.0,71.0,6.8,11.0,0.26462,2,,,,3.0,3.0,,3.0,1.0,,,,1.0,,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0348,0.0277,1.0,,,,,,,,
12514061,home,AVS - Futebol SAD,Baptiste Roux,,,baptiste-roux,B. Roux,D,5,190,62,M,,1049576,EUR,943574400,D,6,6,False,,68.0,59.0,9.0,3.0,0.0,43.0,47.0,16.0,21.0,2.0,,,,90.0,74.0,5.9,9.0,0.0115894,0,,,,6.0,2.0,,1.0,,1.0,1.0,1.0,,,2.0,1.0,3.0,,,,,,,,,,1.0,,,,,,,
12514061,home,AVS - Futebol SAD,Kiki Afonso,,,kiki-afonso,K. Afonso,D,24,181,59,M,,324345,EUR,787017600,D,24,24,False,,28.0,17.0,9.0,3.0,0.0,10.0,13.0,7.0,15.0,3.0,,,,66.0,50.0,6.2,19.0,0.0130192,0,,,,3.0,5.0,1.0,1.0,,1.0,2.0,1.0,3.0,1.0,1.0,1.0,,1.0,1.0,,,,1.0,,,,1.0,,,,,,,
12514061,home,AVS - Futebol SAD,Gustavo Assunção,,,gustavo-assuncao,G. Assunção,M,12,178,266,M,,981217,EUR,954374400,M,12,12,False,,31.0,25.0,3.0,1.0,0.0,18.0,21.0,7.0,10.0,3.0,,,,75.0,37.0,6.4,8.0,0.00527933,0,,,,7.0,3.0,1.0,1.0,,,2.0,2.0,1.0,,3.0,1.0,2.0,,,,,,,,,1.0,1.0,,,,,,,
12514061,home,AVS - Futebol SAD,Jaume Grau,,,jaume-grau,J. G. Ciscar,M,15,183,72,M,,838633,EUR,862790400,M,15,15,False,,25.0,23.0,1.0,1.0,0.0,10.0,11.0,13.0,16.0,2.0,,,,59.0,37.0,6.8,5.0,0.0112824,0,,2.0,,5.0,6.0,1.0,1.0,,,3.0,3.0,,1.0,2.0,,2.0,2.0,2.0,,,,,,,1.0,,,,,,,,
12514061,home,AVS - Futebol SAD,Vasco Lopes,,,vasco-lopes,V. Lopes,F,7,185,105,M,,1111214,EUR,936230400,M,10,10,False,,11.0,8.0,3.0,2.0,1.0,3.0,3.0,7.0,11.0,3.0,,,,75.0,29.0,7.8,7.0,0.423702,1,,3.0,2.0,4.0,3.0,,,,,,,,2.0,1.0,,,4.0,1.0,1.0,,1.0,,0.0707,0.7861,2.0,,1.0,,,,,,
12514061,home,AVS - Futebol SAD,Lucas Piazón,,,lucas-piazon,L. Piazón,M,12,182,408,M,,156025,EUR,759024000,M,14,14,False,,24.0,22.0,1.0,1.0,0.0,11.0,11.0,12.0,17.0,2.0,,,,90.0,35.0,6.9,6.0,0.113333,2,,4.0,1.0,5.0,4.0,,,,,4.0,2.0,1.0,,2.0,,1.0,,,,1.0,1.0,,0.0911,0.6163,1.0,2.0,,,,,,,
12514061,home,AVS - Futebol SAD,Babatunde Akinsola,,,akinsola-babatunde,B. Akinsola,F,11,175,163,M,,1133063,EUR,1047254400,M,11,11,False,,7.0,4.0,,,1.0,2.0,3.0,2.0,7.0,4.0,,,,66.0,27.0,7.5,13.0,0.00602263,5,,3.0,,5.0,2.0,2.0,,,1.0,,,4.0,1.0,,,1.0,2.0,1.0,,2.0,2.0,,1.2001,1.4192,1.0,1.0,1.0,1.0,1.0,,,,
