match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,player_sofascoreId,stat_aerialWon,stat_totalClearance,stat_outfielderBlock,stat_totalOffside,player_firstName,player_lastName,stat_shotOffTarget,stat_accurateCross,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_keyPass,stat_unsuccessfulTouch,stat_goals,stat_bigChanceCreated,captain,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_errorLeadToAGoal,stat_errorLeadToAShot
12624932,home,Al-Ittihad,Predrag Rajković,predrag-rajkovic,P. Rajković,G,1,192.0,2722,M,188107,EUR,815097600,G,1,1,False,28.0,21.0,13.0,6.0,0.0,18.0,20.0,3.0,8.0,7.0,1.0,2.0,2.0,90.0,36.0,6.8,8.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12624932,home,Al-Ittihad,Muhannad Shanqeeti,muhannad-shanqeeti,M. Shanqeeti,D,13,173.0,417,M,894437,EUR,921196800,D,13,13,False,28.0,20.0,6.0,3.0,0.0,16.0,17.0,4.0,12.0,4.0,,,,59.0,40.0,6.6,11.0,0,1.0,2.0,5.0,3.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
12624932,home,Al-Ittihad,Danilo Pereira,danilo-pereira,D. Pereira,D,2,187.0,4062,M,99545,EUR,684374400,D,2,2,False,60.0,57.0,8.0,6.0,0.0,50.0,50.0,7.0,10.0,4.0,,,,90.0,71.0,6.9,6.0,0,,1.0,4.0,3.0,,2.0,3.0,1.0,,1.0,1.0,DaniloP,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,
12624932,home,Al-Ittihad,Hassan Kadesh,hassan-kadesh,H. Kadesh,D,15,179.0,398,M,847235,EUR,712627200,D,15,15,False,70.0,67.0,1.0,1.0,0.0,50.0,52.0,17.0,18.0,1.0,,,,90.0,79.0,6.7,3.0,1,,2.0,4.0,1.0,,,,,,1.0,2.0,,,6.0,,,,,1.0,,,,,,,,,,,,,
12624932,home,Al-Ittihad,Mario Mitaj,mitaj-mario,M. Mitaj,D,12,180.0,1741,M,1006089,EUR,1060128000,D,12,12,False,59.0,55.0,4.0,4.0,0.0,25.0,25.0,32.0,43.0,4.0,,,,90.0,89.0,8.3,11.0,1,9.0,2.0,4.0,10.0,1.0,,3.0,,,2.0,1.0,,5.0,2.0,,,,,,2.0,3.0,3.0,1.0,4.0,,,,,,,,
12624932,home,Al-Ittihad,N'Golo Kanté,ngolo-kante,N. Kanté,M,17,169.0,44806,M,234148,EUR,670204800,M,7,7,False,71.0,66.0,7.0,5.0,0.0,36.0,37.0,30.0,34.0,8.0,,,,90.0,84.0,7.0,9.0,0,,1.0,3.0,5.0,,,1.0,3.0,3.0,2.0,1.0,nglkante,,2.0,,,,,,,1.0,,,,3.0,,,,,,,
12624932,home,Al-Ittihad,Fabinho,fabinho,Fabinho,M,8,187.0,9249,M,243585,EUR,751334400,M,8,8,False,71.0,69.0,5.0,3.0,0.0,46.0,47.0,23.0,24.0,5.0,,,,90.0,88.0,7.4,3.0,1,,1.0,3.0,6.0,,,4.0,3.0,1.0,2.0,2.0,Fabinho,1.0,3.0,,,,,1.0,,,,,,1.0,,,,,,,
12624932,home,Al-Ittihad,Abdulrahman Alobud,abdulrahman-alobud,A. Alobud,M,24,174.0,531,M,872275,EUR,801964800,M,24,24,False,24.0,19.0,1.0,1.0,0.0,4.0,6.0,16.0,21.0,2.0,,,,59.0,40.0,7.4,12.0,2,3.0,,8.0,5.0,3.0,,,2.0,1.0,1.0,1.0,,2.0,,,1.0,,,1.0,1.0,4.0,,1.0,3.0,1.0,1.0,,,,,,
12624932,home,Al-Ittihad,Hamed Al-Ghamdi,hamed-al-ghamdi,H. Al-Ghamdi,M,80,162.0,225,M,985140,EUR,923011200,M,80,80,False,42.0,38.0,3.0,3.0,1.0,20.0,22.0,18.0,22.0,3.0,,,,73.0,62.0,7.7,9.0,0,2.0,,2.0,9.0,,2.0,,4.0,2.0,2.0,,,1.0,1.0,,,,,,,2.0,2.0,,2.0,1.0,,1.0,,,,,
12624932,home,Al-Ittihad,Steven Bergwijn,steven-bergwijn,S. Bergwijn,M,34,178.0,5144,M,361798,EUR,876268800,M,34,34,False,39.0,31.0,,,0.0,9.0,9.0,22.0,31.0,6.0,,,,90.0,57.0,6.9,17.0,2,1.0,2.0,9.0,5.0,2.0,2.0,,1.0,,2.0,2.0,StevenBergwijn,,,,,,,2.0,,3.0,2.0,,1.0,3.0,,1.0,,,,,
