match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_interceptionWon,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialLost,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_totalTackle,stat_wonTackle,stat_outfielderBlock,stat_lastManTackle,stat_challengeLost,stat_dispossessed,stat_accurateCross,stat_totalOffside,stat_bigChanceMissed,stat_blockedScoringAttempt,captain,stat_goals,stat_errorLeadToAGoal,stat_punches,stat_clearanceOffLine
12624983,home,Al-Nassr,Bento,,,bento,Bento,G,24,190,9735,M,bento_matheus,1016104,EUR,928972800,G,24,24,False,24.0,21.0,6.0,3.0,0.0,21.0,23.0,1.0,1.0,13.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,90.0,42.0,7.0,4.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12624983,home,Al-Nassr,Sultan Al-Ghannam,,,sultan-al-ghannam,S. Al-Ghannam,D,2,173,1607,M,,830126,EUR,768182400,D,2,2,False,34.0,27.0,1.0,,0.0,12.0,12.0,23.0,,5.0,,1.0,,,,,,65.0,44.0,6.8,9.0,1,15.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,
12624983,home,Al-Nassr,Mohamed Simakan,,,mohamed-simakan,M. Simakan,D,3,187,5883,M,,945063,EUR,957312000,D,3,3,False,58.0,49.0,5.0,2.0,1.0,27.0,30.0,29.0,3.0,7.0,,,,,,,,90.0,74.0,8.0,10.0,1,22.0,1.0,4.0,2.0,11.0,,,,1.0,5.0,,2.0,2.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,
12624983,home,Al-Nassr,Ali Lajami,,,ali-lajami,A. Lajami,D,78,175,1281,M,,818667,EUR,830390400,D,78,78,False,66.0,62.0,2.0,2.0,0.0,47.0,50.0,16.0,1.0,6.0,,,,,,,,90.0,76.0,7.3,4.0,1,15.0,,2.0,3.0,6.0,,,1.0,3.0,2.0,2.0,,1.0,,,2.0,2.0,1.0,1.0,,,,,,,,,,,
12624983,home,Al-Nassr,Nawaf Boushal,,,nawaf-boushal,N. Boushal,D,12,178,1391,M,,986400,EUR,937440000,D,12,12,False,53.0,45.0,2.0,1.0,0.0,18.0,21.0,32.0,,5.0,,2.0,,,,,,87.0,71.0,6.7,13.0,0,27.0,,2.0,4.0,5.0,1.0,,,2.0,,,,,,,3.0,3.0,,,2.0,1.0,,,,,,,,,
12624983,home,Al-Nassr,Otávio,,,otavio,Otávio,M,25,171,6951,M,otavio,244801,EUR,792288000,M,25,25,False,90.0,75.0,9.0,5.0,0.0,33.0,34.0,56.0,,12.0,,3.0,,,,,,90.0,113.0,8.2,21.0,1,42.0,,1.0,5.0,10.0,1.0,1.0,1.0,1.0,5.0,1.0,3.0,1.0,1.0,,3.0,2.0,1.0,,2.0,1.0,,,,,,,,,
12624983,home,Al-Nassr,Marcelo Brozović,,,marcelo-brozovic,M. Brozović,M,11,181,13081,M,marcelo_brozovic,108800,EUR,721872000,M,11,11,False,93.0,83.0,,,0.0,31.0,34.0,65.0,1.0,6.0,,,,,,,,90.0,112.0,7.5,15.0,0,54.0,6.0,2.0,3.0,7.0,1.0,1.0,,,1.0,2.0,3.0,,,,3.0,2.0,,,1.0,,2.0,1.0,,,,,,,
12624983,home,Al-Nassr,Ângelo,Ângelo,,angelo,Ângelo,M,20,182,9961,M,angelogabriel,1086455,EUR,1103587200,M,20,20,False,28.0,17.0,2.0,,0.0,5.0,5.0,24.0,,5.0,,,,,,,,65.0,36.0,7.0,13.0,3,12.0,1.0,,2.0,3.0,3.0,3.0,1.0,,,1.0,,,,1.0,,,,,,1.0,,,1.0,1.0,,,,,
12624983,home,Al-Nassr,Abdulrahman Ghareeb,,,abdulrahman-ghareeb,A. Ghareeb,F,29,164,2201,M,,1014447,EUR,859766400,M,29,29,False,34.0,32.0,,,0.0,6.0,7.0,35.0,,1.0,,,,,,,,90.0,54.0,6.8,10.0,2,31.0,8.0,,5.0,2.0,1.0,,1.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,3.0,5.0,2.0,1.0,,,,,,
12624983,home,Al-Nassr,Sadio Mané,,,sadio-mane,S. Mané,M,10,175,169227,M,SadioMané,217704,EUR,702864000,M,10,10,False,29.0,22.0,,,0.0,2.0,2.0,32.0,1.0,,,2.0,,,,,,90.0,60.0,6.8,23.0,1,22.0,5.0,1.0,12.0,6.0,6.0,1.0,,,3.0,1.0,3.0,1.0,,,1.0,,,,1.0,4.0,2.0,1.0,,1.0,,,,,
