match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_totalShots,player_firstName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_possessionLostCtrl,stat_keyPass,stat_shotOffTarget,player_lastName,stat_dispossessed,stat_bigChanceMissed,stat_unsuccessfulTouch,captain,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_hitWoodwork,stat_totalOffside,stat_errorLeadToAShot,player_sofascoreId,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox,stat_clearanceOffLine
13451088,home,Al-Taawoun,Abdulquddus Atiah,abdulquddus-atiah,A. Atiah,G,13,183.0,100,M,925459,EUR,857174400,G,13,13,False,8.0,8.0,2.0,2.0,0.0,7.0,7.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,90.0,13.0,7.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13451088,home,Al-Taawoun,Fahad Al Abdulrazzaq,fahad-al-abdulrazzaq,F. A. Abdulrazzaq,D,19,170.0,23,M,1521216,EUR,956534400,D,21,21,False,53.0,52.0,1.0,1.0,0.0,23.0,24.0,30.0,33.0,3.0,1.0,,,,90.0,72.0,8.1,0,Fahad Al Abdulrazzaq,4.0,1.0,3.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,3.0,,,,,,,,,,,,,,,,
13451088,home,Al-Taawoun,Waleed Al-Ahmed,waleed-al-ahmed,W. Al-Ahmed,D,23,189.0,197,M,978400,EUR,925689600,D,23,23,False,44.0,44.0,6.0,6.0,0.0,34.0,34.0,10.0,10.0,6.0,6.0,,,,90.0,66.0,8.0,1,,,,1.0,1.0,2.0,8.0,,,,,1.0,2.0,5.0,3.0,2.0,1.0,,,1.0,,,,,,,,,,,,,,,
13451088,home,Al-Taawoun,Muteb Al-Mufarrij,muteb-almufarrij,M. Al-Mufarrij,D,32,181.0,105,M,847379,EUR,840412800,D,32,32,False,37.0,36.0,,,0.0,23.0,24.0,13.0,13.0,6.0,4.0,,,,65.0,48.0,7.0,0,,,,,1.0,3.0,5.0,,,,,,,3.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,
13451088,home,Al-Taawoun,Saad Fahad Al Nasser,saad-fahad-al-nasser,S. F. A. Nasser,D,96,172.0,581,M,1118494,EUR,978912000,D,8,8,False,87.0,84.0,2.0,2.0,0.0,34.0,35.0,50.0,54.0,2.0,6.0,,,,90.0,108.0,7.5,2,,2.0,,3.0,,7.0,4.0,,4.0,1.0,,,2.0,2.0,2.0,1.0,1.0,8.0,1.0,2.0,,,,,,,,,,,,,,,
13451088,home,Al-Taawoun,Ahmed Bahusayn,ahmed-bahusayn,A. Bahusayn,M,29,170.0,41,M,1113791,EUR,981676800,M,29,29,False,78.0,73.0,7.0,5.0,0.0,27.0,28.0,46.0,51.0,1.0,4.0,,,,90.0,93.0,7.4,2,Ahmed Bahusayn,1.0,,,,6.0,4.0,1.0,1.0,1.0,,,,3.0,3.0,,2.0,11.0,3.0,2.0,,3.0,1.0,2.0,,,,,,,,,,,
13451088,home,Al-Taawoun,Ashraf El Mahdioui,ashraf-el-mahdioui,A. E. Mahdioui,M,18,183.0,1641,M,788348,EUR,832896000,M,18,18,False,95.0,93.0,5.0,5.0,0.0,33.0,34.0,60.0,61.0,2.0,8.0,,,,65.0,103.0,7.6,1,,,,,,1.0,4.0,,,,,,,3.0,1.0,1.0,1.0,2.0,,1.0,,,,,True,,,,,,,,,,
13451088,home,Al-Taawoun,Lucas Chávez,lucas-chavez,L. Chávez,M,20,170.0,354,M,1116671,EUR,1050537600,M,19,19,False,73.0,65.0,3.0,1.0,1.0,25.0,25.0,40.0,49.0,1.0,5.0,,,,90.0,84.0,8.9,2,Lucas Chávez,1.0,,,,2.0,4.0,,1.0,1.0,,,,3.0,2.0,,1.0,11.0,3.0,,,1.0,,,,1.0,1.0,1.0,,,,,,,
13451088,home,Al-Taawoun,Sultan Mandash,sultan-mandash,S. Mandash,F,23,175.0,362,M,818568,EUR,782352000,F,27,27,False,45.0,43.0,3.0,3.0,0.0,17.0,17.0,26.0,30.0,,4.0,,,,79.0,71.0,8.0,6,,2.0,,,,7.0,6.0,2.0,8.0,3.0,1.0,,,1.0,1.0,2.0,,11.0,1.0,3.0,,,,2.0,,1.0,2.0,1.0,,,,,,,
13451088,home,Al-Taawoun,Roger Martínez,roger-martinez,R. Martínez,F,10,180.0,2161,M,344243,EUR,772329600,F,38,38,False,10.0,9.0,,,0.0,4.0,4.0,5.0,6.0,,1.0,,,,65.0,28.0,6.9,6,,,,1.0,,7.0,1.0,1.0,3.0,,,1.0,,,,1.0,1.0,7.0,1.0,1.0,,1.0,1.0,1.0,,4.0,1.0,,1.0,1.0,,,,,
13451088,home,Al-Taawoun,Hattan Bahebri,hattan-bahebri,H. Bahbri,M,11,168.0,92,M,803052,EUR,711244800,F,90,90,False,57.0,50.0,,,0.0,18.0,18.0,33.0,42.0,,2.0,,,,72.0,72.0,8.0,2,,3.0,1.0,1.0,,3.0,3.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,13.0,3.0,,,1.0,,2.0,,1.0,1.0,1.0,,,,,,,
13451088,home,Al-Taawoun,Andrei Girotto,andrei-girotto,A. Girotto,D,3,186.0,274,M,794836,EUR,698284800,D,3,3,True,13.0,13.0,,,0.0,12.0,12.0,1.0,1.0,,,,,,25.0,16.0,6.6,0,,,,,,1.0,1.0,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,
13451088,home,Al-Taawoun,Fayçal Fajr,faycal-fajr,F. Fajr,M,76,178.0,1037,M,143786,EUR,586396800,M,76,76,True,38.0,37.0,3.0,3.0,0.0,19.0,19.0,19.0,21.0,,4.0,,,,25.0,45.0,6.7,0,,2.0,1.0,,,4.0,2.0,1.0,,,,,,2.0,1.0,,2.0,4.0,1.0,,,1.0,,1.0,,,,,,,1.0,,,,
13451088,home,Al-Taawoun,Musa Barrow,musa-barrow,M. Barrow,F,99,183.0,3277,M,916680,EUR,911001600,F,99,99,True,12.0,11.0,,,0.0,2.0,2.0,9.0,10.0,,,,,,25.0,17.0,6.7,0,,,,,,2.0,3.0,,3.0,2.0,,,,1.0,1.0,,,3.0,,,,1.0,,,,,,,,,,,,,
13451088,home,Al-Taawoun,Abdelhamid Sabiri,abdelhamid-sabiri,A. Sabiri,M,11,186.0,4174,M,807400,EUR,849139200,M,70,70,True,22.0,19.0,2.0,1.0,0.0,8.0,8.0,11.0,14.0,,,,,,18.0,24.0,6.6,0,,,,,,2.0,,,,,,,,,,,2.0,4.0,1.0,,,,,1.0,,,,,,,,abdelhamidsabiri,,,
13451088,home,Al-Taawoun,Mohammed Al-Kuwaykibi,mohammed-al-kuwaykibi,M. Al-Kuwaykibi,F,7,168.0,101,M,847233,EUR,786326400,F,7,7,True,7.0,7.0,,,0.0,1.0,1.0,7.0,7.0,,,,,,11.0,11.0,6.5,1,,1.0,1.0,,,2.0,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,
13451088,home,Al-Taawoun,Abdulrahman Al-Ghamdi,abdul-rahman-al-ghamdi,A. Al-Ghamdi,G,13,184.0,20,M,1935203,EUR,1139788800,G,98,98,True,,,,,,,,,,,,,,,,,,0,Abdul Rahman Al Ghamdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13451088,home,Al-Taawoun,Renné Rivas,rivas-renne,R. Rivas,D,18,178.0,311,M,973568,EUR,1048204800,D,16,16,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13451088,home,Al-Taawoun,Mohammed Mahzari,mohammed-mahzari,M. Mahzari,D,5,178.0,49,M,1092809,EUR,1021766400,M,5,5,True,,,,,,,,,,,,,,,,,,0,Mohammed Mahzari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13451088,away,Damac FC,Florin Niță,florin-nita,F. Niță,G,,185.0,1579,M,83551,EUR,552268800,G,1,1,False,25.0,23.0,8.0,6.0,0.0,22.0,22.0,1.0,3.0,,,3.0,,,90.0,28.0,5.8,0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,3.0,
13451088,away,Damac FC,Ramzi Sawlan,sawlan-ramzi,R. Sawlan,D,15,,23,M,965309,EUR,892857600,D,51,51,False,22.0,13.0,3.0,1.0,0.0,9.0,15.0,4.0,7.0,1.0,6.0,,,,86.0,45.0,6.0,0,,,,,1.0,6.0,6.0,,3.0,,,1.0,1.0,3.0,2.0,2.0,1.0,16.0,,,,2.0,,,,,,,,,,,,,
13451088,away,Damac FC,Mohammed Alkhaibari,mohammed-alkhaibari,M. Alkhaibari,D,23,184.0,21,M,1048753,EUR,1019088000,D,87,87,False,22.0,17.0,9.0,5.0,0.0,11.0,15.0,6.0,7.0,5.0,4.0,,,,90.0,33.0,6.9,0,Mohammed Alkhaibari,,,,,1.0,1.0,1.0,,,,1.0,,1.0,1.0,,,5.0,,,,,,,,,,,,,,,,,1.0
13451088,away,Damac FC,Abdelkader Bedrane,abdelkader-bedrane,A. Bedrane,D,3,185.0,1163,M,906407,EUR,702172800,D,3,3,False,28.0,22.0,9.0,5.0,0.0,19.0,20.0,3.0,8.0,8.0,4.0,,,,90.0,46.0,7.0,1,,,,,1.0,1.0,4.0,,,,,2.0,1.0,2.0,2.0,1.0,1.0,6.0,,,,,,,True,,1.0,,,,,,,,
13451088,away,Damac FC,Dhari Al-Enezi,dhari-al-enezi,D. Al-Enezi,D,20,170.0,42,M,1214301,EUR,957571200,D,20,20,False,22.0,13.0,5.0,2.0,0.0,7.0,10.0,6.0,13.0,,2.0,,,,86.0,49.0,4.9,1,Dhari Al-Enezi,1.0,,,,12.0,3.0,4.0,5.0,2.0,,1.0,1.0,1.0,,,1.0,21.0,,,,4.0,,,,,1.0,,,,,,1.0,,
13451088,away,Damac FC,Tariq Mohammed,tariq-mohammed,T. Mohammed,M,6,170.0,26,M,871619,EUR,810345600,M,5,5,False,33.0,31.0,5.0,5.0,0.0,19.0,20.0,12.0,13.0,2.0,6.0,,,,90.0,44.0,7.2,0,,,,,,2.0,7.0,1.0,2.0,1.0,1.0,,1.0,2.0,2.0,4.0,,3.0,1.0,,,,,,,,,,,,,,,,
13451088,away,Damac FC,Faisal Al-Sibyani,faisal-al-sibyani,F. Al-Sibyani,M,6,172.0,54,M,1217924,EUR,1057536000,M,6,6,False,12.0,9.0,,,0.0,5.0,5.0,4.0,7.0,,,,,,56.0,21.0,6.3,0,,,,,,5.0,4.0,2.0,1.0,,,1.0,,3.0,2.0,1.0,1.0,6.0,,,,1.0,,1.0,,,,,,,,,,,
13451088,away,Damac FC,Ahmed Harisi,ahmed-harisi,A. Harisi,M,18,170.0,9,M,1520999,EUR,966384000,M,18,18,False,1.0,1.0,,,0.0,1.0,1.0,,,,,,,,8.0,2.0,3.0,0,Ahmed Harisi,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,
13451088,away,Damac FC,Nicolae Stanciu,nicolae-stanciu,N. Stanciu,M,8,171.0,4005,M,108673,EUR,736732800,M,32,32,False,23.0,20.0,8.0,6.0,0.0,9.0,10.0,13.0,22.0,,4.0,,,,90.0,43.0,7.2,3,,9.0,2.0,,,2.0,3.0,1.0,3.0,2.0,,,,,,1.0,,12.0,3.0,,,,,1.0,,2.0,1.0,,,1.0,,,,,
13451088,away,Damac FC,Meshari Fahad Al-Nemer,meshari-fahad-al-nemer,M. F. Al-Nemer,F,75,180.0,439,M,1474690,EUR,1060041600,M,94,94,False,11.0,7.0,,,0.0,2.0,2.0,5.0,9.0,1.0,1.0,,,,56.0,25.0,6.2,1,,,,1.0,4.0,6.0,7.0,,2.0,,,,,1.0,1.0,2.0,2.0,10.0,,,,1.0,,2.0,,,1.0,,,1.0,,,,,
13451088,away,Damac FC,Habib Diallo,habib-diallo,H. Diallo,F,30,186.0,7474,M,802159,EUR,803433600,F,80,80,False,13.0,10.0,1.0,1.0,0.0,5.0,5.0,5.0,9.0,,,,,,90.0,36.0,6.5,3,,1.0,,2.0,3.0,7.0,8.0,,4.0,1.0,,,1.0,,,4.0,2.0,13.0,1.0,1.0,,,1.0,5.0,,1.0,1.0,,,,,habibdiallo28,,,
13451088,away,Damac FC,Noor Al-Rashidi,noor-al-rashidi,N. Al-Rashidi,D,4,179.0,18,M,1065328,EUR,794966400,D,4,4,True,12.0,8.0,3.0,1.0,0.0,5.0,6.0,3.0,6.0,2.0,1.0,,,,34.0,24.0,7.4,0,Noor Al-Rashidi,,,,,,8.0,,1.0,1.0,,1.0,,6.0,5.0,1.0,,4.0,,,,,,,,,,,,,,,,,
13451088,away,Damac FC,Ayman Fallatah,ayman-fallatah,A. Fallatah,M,95,190.0,80,M,1517641,EUR,1065052800,D,95,95,True,2.0,2.0,,,0.0,2.0,2.0,,,,1.0,,,,34.0,9.0,6.3,0,,,,,,4.0,2.0,,1.0,,,,,1.0,1.0,1.0,,5.0,,,,3.0,,1.0,,,,,,,,,,,
13451088,away,Damac FC,Alhwsawi Sanousi Mohammed,alhwsawi-sanousi-mohammed,A. S. Mohammed,D,12,172.0,20,M,1085415,EUR,902707200,D,12,12,True,,,,,0.0,,,,,,,,,,8.0,3.0,6.4,0,Alhwsawi Sanousi Mohammed,,,,,2.0,1.0,1.0,1.0,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,
13451088,away,Damac FC,Abdulrahman Al-Obaid,abdulrahman-al-obaid,A. Al-Obaid,D,13,172.0,51,M,818705,EUR,736128000,D,13,13,True,1.0,1.0,,,0.0,,,1.0,1.0,,,,,,8.0,2.0,6.4,0,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,
13451088,away,Damac FC,Amin Al-Bukhari,amin-al-bukhari,A. Al-Bukhari,G,97,194.0,341,M,818493,EUR,862531200,G,97,97,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
