match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_aerialLost,stat_dispossessed,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_outfielderBlock,stat_accurateCross,stat_keyPass,stat_bigChanceCreated,stat_totalOffside,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,captain,stat_goals,stat_hitWoodwork,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_blockedScoringAttempt
13705762,home,Al-Nassr,Bento,,,bento,Bento,G,24,190,9735,M,bento_matheus,1016104,EUR,928972800,G,24,24,False,25.0,23.0,6.0,4.0,0.0,22.0,23.0,1.0,2.0,9.0,2.0,7.0,90.0,38.0,7.8,2.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13705762,home,Al-Nassr,Sultan Al-Ghannam,,,sultan-al-ghannam,S. Al-Ghannam,D,2,173,1607,M,,830126,EUR,768182400,D,2,2,False,47.0,40.0,2.0,,0.0,20.0,22.0,20.0,27.0,5.0,,,90.0,67.0,6.9,11.0,0,2.0,2.0,3.0,7.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,
13705762,home,Al-Nassr,Mohamed Simakan,,,mohamed-simakan,M. Simakan,D,3,187,5883,M,,945063,EUR,957312000,D,3,3,False,81.0,76.0,7.0,5.0,0.0,53.0,56.0,23.0,26.0,5.0,,,90.0,92.0,6.7,8.0,0,1.0,1.0,3.0,6.0,,,,2.0,1.0,,,5.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
13705762,home,Al-Nassr,Ali Lajami,,,ali-lajami,A. Lajami,D,78,175,1281,M,,818667,EUR,830390400,D,78,78,False,35.0,32.0,3.0,2.0,0.0,22.0,23.0,10.0,12.0,1.0,,,45.0,40.0,6.7,4.0,0,,1.0,,1.0,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,
13705762,home,Al-Nassr,Nawaf Boushal,,,nawaf-boushal,N. Boushal,D,12,178,1391,M,,986400,EUR,937440000,D,12,12,False,54.0,48.0,2.0,1.0,0.0,24.0,26.0,24.0,28.0,9.0,,,90.0,73.0,7.2,9.0,0,,2.0,6.0,6.0,1.0,2.0,2.0,5.0,3.0,2.0,2.0,,2.0,2.0,1.0,,2.0,,,,,,,,,,,,,,
13705762,home,Al-Nassr,Ayman Yahya,,,ayman-ahmed,A. Yahya,M,23,168,1412,M,,1130539,EUR,989798400,M,23,23,False,30.0,25.0,,,0.0,9.0,10.0,19.0,26.0,2.0,,,45.0,43.0,6.8,11.0,0,6.0,,3.0,2.0,1.0,1.0,1.0,,,,,1.0,,,2.0,,,,3.0,3.0,,,,,,,,,,,
13705762,home,Al-Nassr,Ali Al-Hassan,,,ali-al-hassan,A. Al-Hassan,M,19,183,1000,M,,925947,EUR,857433600,M,19,19,False,44.0,43.0,,,0.0,26.0,27.0,18.0,18.0,1.0,,,45.0,46.0,6.7,1.0,0,1.0,,,1.0,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,
13705762,home,Al-Nassr,Otávio,,,otavio,Otávio,M,25,171,6951,M,otavio,244801,EUR,792288000,M,25,25,False,63.0,54.0,3.0,2.0,0.0,25.0,25.0,30.0,39.0,8.0,,,85.0,75.0,8.2,10.0,0,1.0,,6.0,6.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,2.0,,1.0,,,1.0,1.0,3.0,1.0,,,,,,,,,,
13705762,home,Al-Nassr,Sadio Mané,,,sadio-mane,S. Mané,M,10,175,169227,M,SadioMané,217704,EUR,702864000,M,10,10,False,32.0,25.0,1.0,1.0,1.0,7.0,7.0,19.0,30.0,4.0,,,89.0,51.0,7.6,15.0,0,5.0,,4.0,4.0,,4.0,3.0,,,,,1.0,2.0,1.0,,,3.0,,1.0,3.0,1.0,1.0,,,,,,,,,
13705762,home,Al-Nassr,Jhon Durán,,,jhon-duran,J. Durán,F,10,185,33270,M,jaderduran9,974577,EUR,1071273600,F,9,9,False,17.0,13.0,,,0.0,3.0,3.0,10.0,14.0,1.0,,,90.0,36.0,5.8,6.0,10,,1.0,2.0,5.0,,,,,,,,4.0,2.0,,,,1.0,,,1.0,,,5.0,7.0,3.0,,,,,,
13705762,home,Al-Nassr,Cristiano Ronaldo,,,cristiano-ronaldo,C. Ronaldo,F,7,187,2307715,M,CR7,750,EUR,476409600,F,7,7,False,28.0,25.0,2.0,2.0,0.0,6.0,7.0,19.0,22.0,,,,90.0,41.0,10.0,6.0,8,1.0,1.0,1.0,3.0,,,,,,1.0,,1.0,,,1.0,,,,,5.0,4.0,2.0,,4.0,4.0,True,2.0,,,,
13705762,home,Al-Nassr,Aymeric Laporte,,,aymeric-laporte,A. Laporte,D,14,191,10350,M,laporte27,149734,EUR,769996800,D,27,27,True,31.0,28.0,,,0.0,17.0,17.0,11.0,14.0,1.0,,,45.0,38.0,7.0,3.0,0,,2.0,,4.0,,,,5.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
13705762,home,Al-Nassr,Ângelo,Ângelo,,angelo,Ângelo,M,20,182,9961,M,angelogabriel,1086455,EUR,1103587200,F,20,20,True,19.0,15.0,1.0,1.0,0.0,5.0,7.0,10.0,13.0,2.0,,,45.0,35.0,7.2,9.0,1,1.0,,5.0,6.0,,5.0,3.0,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,,,,1.0,,,,1.0,,,
13705762,home,Al-Nassr,Abdulmajeed Al-Sulaiheem,,,abdulmajeed-al-sulaiheem,A. Al-Sulaiheem,M,8,165,600,M,,538320,EUR,768960000,M,8,8,True,47.0,41.0,3.0,,0.0,33.0,34.0,8.0,13.0,5.0,,,45.0,54.0,7.0,6.0,0,,,1.0,5.0,1.0,2.0,2.0,,,3.0,2.0,,,,,,,,,,,,,,,,,,,,
13705762,home,Al-Nassr,Abdullah Al-Khaibari,,,abdullah-alkhaibari,A. Al-Khaibari,M,17,178,1250,M,,867179,EUR,840153600,M,17,17,True,7.0,7.0,,,0.0,6.0,6.0,1.0,1.0,1.0,,,20.0,9.0,6.6,,0,,,1.0,2.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
13705762,home,Al-Nassr,Salem Alnajdi,,,alnajdi-salem,S. Alnajdi,D,83,178,1037,M,,1475427,EUR,1043625600,D,83,83,True,1.0,1.0,,,0.0,1.0,1.0,,,,,,1.0,2.0,,,0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
13705762,home,Al-Nassr,Raghed Al-Najjar,,,raghid-najjar,R. Al-Najjar,G,36,188,830,M,,925920,EUR,843177600,G,36,36,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13705762,home,Al-Nassr,Ahmad Al Harbi,,,ahmad-al-harbi,A. A. Harbi,G,22,183,197,M,,828527,EUR,781401600,G,22,22,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13705762,home,Al-Nassr,Majed Mohammed,Majed Mohammed,,majed-mohammed,M. Mohammed,D,50,169,71,M,,1385284,EUR,1007337600,D,50,50,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13705762,home,Al-Nassr,Mohammed Khalil Marran,,,mohammed-khalil-marran,M. K. Marran,F,16,180,1521,M,,1115775,EUR,982195200,F,16,16,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13705762,away,Al-Riyadh,Milan Borjan,,,milan-borjan,M. Borjan,G,82,193,807,M,,79413,EUR,561945600,G,82,82,False,25.0,12.0,23.0,10.0,0.0,7.0,7.0,5.0,18.0,12.0,4.0,5.0,90.0,38.0,7.3,13.0,0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,2.0,
13705762,away,Al-Riyadh,Hussain Al-Nuweqi,Hussain Al-Nuweqi,,hussain-al-nuweqi,H. Al-Nuweqi,D,27,170,14,M,,1525073,EUR,817948800,D,27,27,False,20.0,16.0,,,0.0,5.0,7.0,11.0,14.0,3.0,,,69.0,35.0,6.4,9.0,0,1.0,1.0,3.0,3.0,2.0,,,1.0,1.0,1.0,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,
13705762,away,Al-Riyadh,Marzouq Tambakti,Marzouq Tambakti,,marzouq-tambakti,M. Tambakti,D,87,187,50,M,,1544937,EUR,1044921600,D,87,87,False,12.0,10.0,1.0,,0.0,6.0,7.0,4.0,5.0,3.0,,,90.0,20.0,6.2,3.0,0,,,5.0,,1.0,,,4.0,1.0,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,
13705762,away,Al-Riyadh,Ahmad Asiri,,,ahmad-asiri,A. Asiri,D,13,179,31,M,,350060,EUR,690076800,D,29,29,False,22.0,20.0,4.0,4.0,0.0,15.0,16.0,5.0,6.0,1.0,,,90.0,34.0,6.5,2.0,0,,,3.0,2.0,,,,6.0,2.0,1.0,,1.0,2.0,1.0,,,,,,1.0,,,,,,,,,,,
13705762,away,Al-Riyadh,Abdulelah Al Khaibari,Abdulelah Al Khaibari,,abdulelah-al-khaibari,A. A. Khaibari,D,80,174,142,M,,1519328,EUR,864259200,D,8,8,False,26.0,21.0,2.0,,0.0,11.0,13.0,11.0,16.0,3.0,,,90.0,48.0,7.0,8.0,3,3.0,,1.0,3.0,,2.0,2.0,,2.0,1.0,1.0,,1.0,,,,1.0,,1.0,,,,,,3.0,True,,,,,
13705762,away,Al-Riyadh,Faïz Selemani,,,faiz-selemani,F. Selemani,F,7,178,359,M,,842745,EUR,754617600,M,17,17,False,30.0,24.0,3.0,2.0,0.0,5.0,7.0,21.0,26.0,9.0,,,90.0,58.0,8.4,13.0,4,3.0,1.0,6.0,8.0,1.0,5.0,2.0,1.0,1.0,2.0,2.0,3.0,,2.0,,,3.0,,2.0,2.0,1.0,,,,4.0,,1.0,,,,
13705762,away,Al-Riyadh,Tozé,,,toze,Tozé,M,20,165,386,M,,1089231,EUR,726969600,M,20,20,False,42.0,35.0,3.0,,0.0,10.0,14.0,25.0,30.0,4.0,,,90.0,50.0,6.5,12.0,1,2.0,,3.0,2.0,1.0,1.0,,,,1.0,1.0,1.0,,,1.0,,,,,2.0,,,,,,,,,,,1.0
