match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,captain,stat_blockedScoringAttempt,stat_wasFouled,stat_expectedGoals,player_sofascoreId,stat_shotOffTarget,stat_wonTackle,stat_aerialLost,stat_totalOffside,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_clearanceOffLine,stat_errorLeadToAShot
12437767,home,Villarreal,Luiz Júnior,Luiz Lúcio Reis Júnior,,luiz-junior,L. Júnior,G,1,192.0,2350,M,1066603,EUR,979430400,G,1,1,False,16.0,14.0,5.0,4.0,0.0,12.0,13.0,2.0,3.0,1.0,1.0,3.0,9.0,1.0,1.0,2.0,2.0,1.0,1.0,90.0,28.0,6.8,2.0,0.00041792,0,-0.146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437767,home,Villarreal,Kiko Femenía,,,kiko-femenia,K. Femenía,D,17,176.0,444,M,53739,EUR,665452800,D,17,17,False,63.0,58.0,2.0,1.0,0.0,31.0,31.0,29.0,41.0,,2.0,1.0,1.0,,,,,,,90.0,93.0,7.3,16.0,0.414457,0,,9.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,
12437767,home,Villarreal,Raúl Albiol,,,raul-albiol,R. Albiol,D,39,190.0,1235,M,3041,EUR,494640000,D,3,3,False,81.0,76.0,7.0,4.0,0.0,42.0,45.0,34.0,36.0,3.0,4.0,4.0,4.0,,,,,,,90.0,88.0,6.7,5.0,0.0214262,1,,,,1.0,1.0,,,,,,,,,,,True,1.0,1.0,0.0172,,,,,,,,,,,
12437767,home,Villarreal,Eric Bailly,,,eric-bailly,E. Bailly,D,2,187.0,4273,M,606346,EUR,766108800,D,4,4,False,32.0,24.0,4.0,1.0,0.0,10.0,11.0,14.0,21.0,2.0,4.0,,1.0,,,,,,,45.0,38.0,6.6,11.0,0.00659309,1,,,,1.0,,1.0,,,,,,2.0,1.0,,,,,,0.043,ericbailly,1.0,1.0,,,,,,,,
12437767,home,Villarreal,Sergi Cardona,,,sergi-cardona,S. Cardona,D,23,186.0,1119,M,986245,EUR,932256000,D,23,23,False,51.0,49.0,4.0,4.0,0.0,22.0,23.0,27.0,33.0,1.0,3.0,2.0,6.0,,,,,,,90.0,72.0,7.0,10.0,0.139176,0,,5.0,,5.0,,,1.0,,,,1.0,2.0,1.0,3.0,1.0,,,,,,,2.0,1.0,1.0,,,,,,
12437767,home,Villarreal,Yéremy Pino,,,yeremy-pino,Y. Pino,M,10,172.0,6120,M,984624,EUR,1035072000,M,21,21,False,37.0,32.0,2.0,1.0,0.0,13.0,16.0,19.0,25.0,,7.0,,8.0,,,,,,,70.0,56.0,6.9,12.0,0.0829463,1,,4.0,,4.0,1.0,,3.0,2.0,,,,2.0,2.0,3.0,1.0,,,3.0,0.4035,,,2.0,,,1.0,1.0,,,,
12437767,home,Villarreal,Pape Gueye,,,pape-gueye,P. Gueye,M,18,187.0,36528,M,879694,EUR,917136000,M,18,18,False,39.0,35.0,7.0,3.0,0.0,15.0,15.0,20.0,24.0,,6.0,,5.0,,,,,,,57.0,46.0,6.7,5.0,0.0240333,0,,,,3.0,,,1.0,,,,,4.0,,2.0,,,,2.0,,p.gueye24,,2.0,,,,,,,,
12437767,home,Villarreal,Dani Parejo,,,dani-parejo,D. Parejo,M,10,180.0,1999,M,39182,EUR,608688000,M,10,10,False,84.0,77.0,10.0,9.0,0.0,23.0,24.0,54.0,61.0,3.0,7.0,,10.0,,,,,,,90.0,92.0,7.6,8.0,0.137321,1,,1.0,,2.0,,,,,,,1.0,4.0,,2.0,,,,,0.0186,,1.0,2.0,,,,,,,,
12437767,home,Villarreal,Alejandro Baena,,,alejandro-baena,A. Baena,M,10,174.0,9564,M,910031,EUR,995587200,M,16,16,False,60.0,43.0,7.0,6.0,0.0,8.0,10.0,38.0,63.0,1.0,5.0,,7.0,,,,,,,90.0,93.0,8.3,30.0,0.296549,4,,13.0,3.0,6.0,,2.0,3.0,2.0,,1.0,1.0,1.0,,2.0,4.0,,1.0,1.0,0.3854,alexbaena,2.0,,1.0,,,1.0,1.0,0.6651,,
12437767,home,Villarreal,Gerard Moreno,,,gerard-moreno,G. Moreno,F,7,180.0,4001,M,146866,EUR,702604800,F,7,7,False,16.0,14.0,2.0,1.0,0.0,4.0,4.0,10.0,13.0,1.0,3.0,,,,,,,,,90.0,33.0,6.5,8.0,0.036989,2,,1.0,,10.0,1.0,1.0,4.0,1.0,,,1.0,1.0,,4.0,,,,,0.0946,GerardMoreno9,1.0,,1.0,,,1.0,,0.1925,,
