match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_accurateLongBalls,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_totalTackle,stat_wonTackle,stat_totalClearance,stat_outfielderBlock,stat_fouls,captain,stat_shotOffTarget,stat_expectedGoals,stat_dispossessed,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_totalOffside,stat_expectedGoalsOnTarget,stat_errorLeadToAShot,stat_savedShotsFromInsideTheBox,stat_saves,stat_goals
12528193,home,Bodrum FK,Diogo Sousa,diogo-sousa,D. Sousa,G,1,195.0,145,M,882110,EUR,905904000,G,1,1,False,18.0,14.0,4.0,0.0,13.0,15.0,1.0,3.0,4.0,90.0,20.0,6.2,4.0,0.00018888,0,-0.7183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12528193,home,Bodrum FK,Uzeyir Ergun,uzeyir-ergun,U. Ergun,D,23,178.0,29,M,996122,EUR,720835200,D,23,23,False,36.0,28.0,3.0,0.0,10.0,12.0,21.0,32.0,6.0,90.0,67.0,7.3,20.0,0.205048,0,,,,1.0,8.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,
12528193,home,Bodrum FK,Christophe Herelle,christophe-herelle,C. Herelle,D,4,188.0,65,M,225092,EUR,714441600,D,29,29,False,60.0,52.0,7.0,0.0,26.0,29.0,26.0,31.0,7.0,90.0,72.0,6.8,8.0,0.0188044,0,,,,3.0,,,6.0,3.0,1.0,,,,3.0,,,1.0,5.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,
12528193,home,Bodrum FK,Ali Aytemur,ali-aytemur,A. Aytemur,D,34,184.0,29,M,802650,EUR,828489600,D,34,34,False,81.0,66.0,14.0,0.0,33.0,38.0,33.0,43.0,5.0,90.0,89.0,6.7,19.0,0.022134,0,,,,5.0,,,5.0,4.0,,,,,,3.0,,1.0,1.0,4.0,,,1.0,1.0,4.0,,,,,,,,,,,,,
12528193,home,Bodrum FK,Cenk Şen,cenk-sen,C. Şen,D,77,170.0,45,M,957359,EUR,970444800,D,77,77,False,50.0,41.0,9.0,0.0,17.0,20.0,25.0,34.0,5.0,90.0,76.0,7.3,14.0,0.229722,0,,,,3.0,4.0,1.0,2.0,5.0,,,,,4.0,,1.0,1.0,2.0,1.0,3.0,3.0,,,,,,,,,,,,,,,,
12528193,home,Bodrum FK,Samet Yalçın,samet-yalcin,S. Yalçın,M,23,180.0,46,M,789102,EUR,762652800,M,8,8,False,12.0,11.0,1.0,0.0,5.0,5.0,6.0,7.0,1.0,60.0,18.0,6.6,3.0,0.00484728,1,,,,,,,3.0,2.0,3.0,,,,2.0,2.0,,,,1.0,1.0,1.0,,,,True,1.0,0.0575,,,,,,,,,,
12528193,home,Bodrum FK,Musah Mohammed,mohammed-musah,M. Mohammed,M,6,192.0,126,M,1105505,EUR,1010188800,M,26,26,False,45.0,34.0,6.0,0.0,11.0,14.0,23.0,31.0,6.0,90.0,56.0,6.8,15.0,0.0151234,2,,,,3.0,,,9.0,7.0,,,,,3.0,2.0,,1.0,4.0,7.0,,,1.0,,3.0,,2.0,0.0277,2.0,,,,,,,,,
12528193,home,Bodrum FK,Pedro Brazão,pedro-brazao,P. Brazão,M,10,172.0,167,M,981535,EUR,1041206400,M,20,20,False,33.0,25.0,4.0,0.0,8.0,8.0,17.0,25.0,10.0,79.0,56.0,6.6,17.0,0.0718544,3,,,,2.0,,,11.0,4.0,1.0,7.0,1.0,,1.0,2.0,,1.0,,,3.0,1.0,,,3.0,,2.0,0.1767,1.0,1.0,,,,,,,,
12528193,home,Bodrum FK,Fredy,fredy,Fredy,M,16,169.0,1026,M,845281,EUR,638496000,M,16,16,False,36.0,24.0,5.0,0.0,8.0,12.0,16.0,27.0,3.0,87.0,50.0,6.7,17.0,0.0624947,2,,,,1.0,3.0,,2.0,4.0,,1.0,,,1.0,1.0,3.0,1.0,1.0,,1.0,,,,,,2.0,0.2257,,,1.0,,,,,,,
12528193,home,Bodrum FK,Burak Çoban,burak-coban,B. Çoban,M,77,168.0,37,M,804197,EUR,784166400,M,17,17,False,13.0,9.0,,0.0,2.0,2.0,9.0,13.0,4.0,60.0,25.0,6.9,7.0,0.0664944,1,,,,,2.0,2.0,5.0,4.0,1.0,2.0,1.0,,,2.0,1.0,1.0,3.0,,2.0,,,,,,1.0,0.0509,,,,,,,,,,
