match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_totalContest,stat_bigChanceCreated,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_keyPass,captain,stat_aerialLost,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_lastManTackle,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_challengeLost,stat_unsuccessfulTouch,player_firstName,player_lastName,stat_dispossessed,stat_blockedScoringAttempt,stat_totalOffside,stat_wonContest,stat_bigChanceMissed,stat_punches
12530839,home,Antalyaspor,Kenan Pirić,kenan-piric,K. Pirić,G,13,193.0,309,M,840898,EUR,773539200,G,13,13,False,23.0,20.0,8.0,5.0,0.0,16.0,16.0,4.0,7.0,1.0,1.0,2.0,4.0,1.0,3.0,3.0,1.0,1.0,90.0,31.0,7.2,3.0,0.00124235,0,-0.5695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530839,home,Antalyaspor,Erdoğan Yeşilyurt,erdogan-yesilyurt,E. Yeşilyurt,D,17,178.0,77,M,142541,EUR,752544000,D,17,17,False,34.0,28.0,5.0,4.0,0.0,11.0,13.0,22.0,33.0,,3.0,3.0,6.0,,,,,,90.0,63.0,8.4,15.0,0.550097,0,,12.0,5.0,1.0,1.0,2.0,4.0,3.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,
12530839,home,Antalyaspor,Veysel Sarı,veysel-sari,V. Sarı,D,89,185.0,109,M,98276,EUR,585792000,D,89,89,False,45.0,39.0,7.0,5.0,0.0,21.0,24.0,18.0,21.0,4.0,9.0,4.0,3.0,,,,,,90.0,58.0,7.7,6.0,0.0160166,2,,,,9.0,,,1.0,2.0,,,True,6.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0296,0.3023,,,,,,,,,,
12530839,home,Antalyaspor,Thalisson Kelven,thalisson-kelven,T. Kelven,D,2,184.0,112,M,863277,EUR,894499200,D,2,2,False,69.0,62.0,5.0,2.0,0.0,41.0,43.0,21.0,26.0,3.0,5.0,4.0,3.0,,,,,,90.0,78.0,7.4,7.0,0.0170864,0,,,,2.0,,,1.0,1.0,1.0,1.0,,2.0,,,,2.0,,1.0,1.0,,,,,,,,,,,,
12530839,home,Antalyaspor,Güray Vural,guray-vural,G. Vural,D,77,177.0,69,M,43559,EUR,581990400,D,11,11,False,38.0,32.0,,,0.0,11.0,14.0,21.0,28.0,1.0,2.0,2.0,2.0,,,,,,90.0,63.0,7.2,13.0,0.0153873,4,,4.0,,3.0,,,2.0,1.0,1.0,,,1.0,4.0,,,,,,1.0,0.1494,,1.0,1.0,,,,,,,,
12530839,home,Antalyaspor,Oleksandr Petrusenko,oleksandr-petrusenko,O. Petrusenko,M,16,181.0,116,M,906673,EUR,890870400,M,16,16,False,44.0,40.0,3.0,1.0,0.0,23.0,24.0,17.0,20.0,,1.0,1.0,3.0,,,,,,63.0,57.0,6.6,7.0,0.0159851,0,,,,5.0,1.0,,1.0,1.0,,,,,,,,1.0,,,3.0,,,,1.0,Oleksandr,Petrusenko,1.0,,,,,
12530839,home,Antalyaspor,Jakub Kałuziński,jakub-kaluzinski,J. Kałuziński,M,18,185.0,896,M,1019026,EUR,1036022400,M,18,18,False,66.0,60.0,6.0,3.0,2.0,29.0,32.0,36.0,44.0,1.0,4.0,,6.0,,,,,,90.0,87.0,8.4,13.0,0.501754,2,,10.0,5.0,6.0,1.0,1.0,3.0,1.0,1.0,6.0,,1.0,1.0,,,,,2.0,2.0,0.0897,,2.0,,,,,1.0,1.0,,,
12530839,home,Antalyaspor,Soner Dikmen,soner-dikmen,S. Dikmen,M,6,179.0,82,M,847782,EUR,746841600,M,5,5,False,43.0,39.0,4.0,3.0,0.0,16.0,17.0,23.0,26.0,2.0,3.0,1.0,5.0,,,,,,89.0,53.0,6.8,10.0,0.0186067,1,,,,4.0,,,,,,,,1.0,1.0,,,,,1.0,1.0,0.0411,,,3.0,,,2.0,,,,,
12530839,home,Antalyaspor,Ramzi Safuri,ramzi-safuri,R. Safuri,M,8,184.0,208,M,186949,EUR,814233600,M,8,8,False,34.0,26.0,2.0,2.0,0.0,7.0,8.0,19.0,30.0,2.0,6.0,,2.0,,,,,,89.0,53.0,7.5,18.0,0.0457624,2,,4.0,,5.0,4.0,,,2.0,1.0,,,,1.0,1.0,1.0,,,,,0.2521,0.4168,,1.0,,,3.0,,1.0,2.0,,
12530839,home,Antalyaspor,Braian Samudio,braian-samudio,B. Samudio,F,18,180.0,162,M,892933,EUR,819676800,M,81,81,False,12.0,12.0,1.0,1.0,0.0,5.0,5.0,7.0,7.0,,,,1.0,,,,,,24.0,13.0,6.8,,0.0189587,1,,,,1.0,,,,,,,,,,1.0,,,,,1.0,0.0634,0.0959,,,,,,,,,,
