match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,player_firstName,player_lastName,stat_aerialWon,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_fouls,stat_expectedGoals,stat_interceptionWon,stat_accurateCross,stat_keyPass,stat_bigChanceCreated,stat_blockedScoringAttempt,captain,stat_totalOffside,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_hitWoodwork,stat_goodHighClaim,stat_punches,stat_errorLeadToAGoal
12530851,home,Fenerbahçe,Dominik Livaković,dominik-livakovic,D. Livaković,G,40,186,12815,M,Livakovic40,190419,EUR,789609600,G,40,40,False,25.0,19.0,8.0,3.0,0.0,18.0,19.0,1.0,6.0,1.0,2.0,1.0,1.0,2.0,2.0,90.0,28.0,6.6,6.0,0.00019008,0,0.2852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530851,home,Fenerbahçe,Bright Osayi-Samuel,bright-osayi-samuel,B. Osayi-Samuel,D,26,175,5509,M,,791616,EUR,883526400,D,21,21,False,11.0,10.0,,,0.0,5.0,5.0,5.0,7.0,,3.0,,,,,66.0,26.0,6.7,6.0,0.00259325,0,,1.0,1.0,5.0,6.0,1.0,3.0,1.0,1.0,4.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
12530851,home,Fenerbahçe,Rodrigo Becão,rodrigo-becao,R. Becão,D,50,191,1867,M,,880207,EUR,822009600,D,50,50,False,48.0,42.0,4.0,,0.0,28.0,28.0,14.0,20.0,,2.0,,,,,90.0,56.0,7.3,7.0,0.00590009,2,,,3.0,5.0,7.0,,,,,,,1.0,1.0,,,6.0,1.0,1.0,1.0,1.0,2.0,0.0101,,,,,,,,,,,,,
12530851,home,Fenerbahçe,Samet Akaydın,samet-akaydin,S. Akaydın,D,3,190,969,M,,863600,EUR,763516800,D,3,3,False,47.0,41.0,5.0,2.0,0.0,26.0,27.0,15.0,20.0,4.0,11.0,,,,,90.0,57.0,6.6,8.0,0.00937394,0,,,6.0,8.0,2.0,,1.0,,,1.0,1.0,1.0,,,,1.0,,,,,2.0,,1.0,,,,,,,,,,,,
12530851,home,Fenerbahçe,Filip Kostić,filip-kostic,F. Kostić,M,18,184,7055,M,filipkostic,126588,EUR,720576000,D,18,18,False,36.0,30.0,1.0,,0.0,8.0,10.0,25.0,41.0,,1.0,,,,,90.0,67.0,6.9,25.0,0.138373,0,,15.0,,2.0,4.0,1.0,,1.0,,2.0,2.0,1.0,,,,2.0,,,,,,,,3.0,1.0,,,,,,,,,,
12530851,home,Fenerbahçe,İsmail Yüksek,ismail-yuksek,İ. Yüksek,M,5,183,3147,M,,952600,EUR,917308800,M,5,5,False,33.0,26.0,3.0,1.0,0.0,18.0,19.0,8.0,14.0,,6.0,,,,,45.0,40.0,7.2,7.0,0.0102092,1,,,2.0,2.0,7.0,,,1.0,1.0,2.0,2.0,,,,,4.0,1.0,,,1.0,,0.0288,,,1.0,,,,,,,,,,
12530851,home,Fenerbahçe,Fred,fred,Fred,M,7,169,11619,M,fred08,243623,EUR,731289600,M,13,13,False,60.0,51.0,4.0,3.0,1.0,17.0,17.0,34.0,43.0,,8.0,,,,,90.0,80.0,7.3,16.0,0.092076,3,,,1.0,7.0,6.0,2.0,4.0,,,3.0,,2.0,1.0,,,2.0,2.0,,,,,0.1486,1.0,,1.0,1.0,1.0,,,,,,,,
12530851,home,Fenerbahçe,İrfan Can Kahveci,irfan-can-kahveci,İ. C. Kahveci,M,71,180,4224,M,irfankahveci,226986,EUR,805766400,M,17,17,False,23.0,17.0,2.0,1.0,0.0,7.0,7.0,10.0,17.0,,4.0,,,,,45.0,28.0,6.7,8.0,0.112151,1,,1.0,1.0,3.0,3.0,1.0,,,,1.0,,1.0,,,,2.0,1.0,,,,1.0,0.035,,,1.0,,,,,,,,,,
12530851,home,Fenerbahçe,Dušan Tadić,dusan-tadic,D. Tadić,F,10,181,12216,M,dusantadic,38560,EUR,595987200,M,10,10,False,41.0,30.0,1.0,,1.0,3.0,3.0,30.0,46.0,,4.0,,,,,80.0,69.0,8.1,22.0,0.527139,1,,8.0,,2.0,5.0,,2.0,,,2.0,,3.0,3.0,,,,,,,,,0.102,1.0,3.0,3.0,2.0,1.0,True,,,,,,,
12530851,home,Fenerbahçe,Oğuz Aydın,oguz-aydin,O. Aydın,M,70,183,3374,M,,999396,EUR,972604800,M,70,70,False,33.0,24.0,3.0,1.0,0.0,6.0,6.0,19.0,33.0,,6.0,,,,,90.0,57.0,8.5,16.0,0.0821415,2,,6.0,1.0,3.0,11.0,1.0,1.0,4.0,4.0,4.0,4.0,1.0,2.0,,,1.0,1.0,1.0,1.0,,,0.5007,,1.0,2.0,,,,1.0,0.3419,,,,,
12530851,home,Fenerbahçe,Youssef En-Nesyri,youssef-en-nesyri,Y. En-Nesyri,F,21,190,34492,M,ennesyri15,846470,EUR,865123200,F,19,19,False,12.0,9.0,,,1.0,3.0,3.0,6.0,9.0,1.0,3.0,,,,,66.0,19.0,7.0,4.0,0.103399,2,,,2.0,2.0,2.0,,,,,1.0,,1.0,,,,1.0,2.0,,,,,0.4964,,,1.0,1.0,,,,,1.0,,,,
