match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialWon,stat_duelLost,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_totalClearance,stat_ballRecovery,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,captain,stat_aerialLost,stat_keyPass,stat_outfielderBlock,stat_interceptionWon,stat_accurateCross,stat_dispossessed,stat_bigChanceCreated,stat_challengeLost,stat_goals,stat_unsuccessfulTouch,player_sofascoreId,stat_ownGoals,stat_totalOffside
12764296,home,Lille,Lucas Chevalier,,,chevalier-lucas,L. Chevalier,G,30,188,21392,M,996953,EUR,1005004800,G,30,30,False,26.0,21.0,8.0,3.0,0.0,19.0,23.0,2.0,3.0,1.0,1.0,2.0,2.0,90.0,29.0,6.8,5.0,0.00027937,0,0.8466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764296,home,Lille,Thomas Meunier,,,thomas-meunier,T. Meunier,D,12,190,2758,M,128587,EUR,684633600,D,12,12,False,63.0,57.0,6.0,4.0,0.0,25.0,27.0,32.0,37.0,7.0,,,,90.0,82.0,7.3,8.0,0.0863186,3,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,6.0,3.0,2.0,1.0,0.2931,0.7682,,,,,,,,,,,,,,
12764296,home,Lille,Bafodé Diakité,,,bafode-diakite,B. Diakité,D,18,182,1852,M,962408,EUR,978739200,D,18,18,False,80.0,74.0,6.0,3.0,0.0,48.0,48.0,26.0,32.0,5.0,1.0,,,90.0,83.0,6.9,6.0,0.0183787,0,,,3.0,2.0,,,,,,,1.0,4.0,1.0,1.0,,,,True,2.0,1.0,,,,,,,,,,,
12764296,home,Lille,Alexsandro Ribeiro,Alexsandro Ribeiro,,alexsandro-ribeiro,A. Ribeiro,D,4,192,4607,M,1049775,EUR,934156800,D,4,4,False,83.0,75.0,9.0,5.0,0.0,54.0,56.0,21.0,28.0,7.0,1.0,,,90.0,95.0,7.3,9.0,0.0111606,1,,1.0,3.0,2.0,1.0,1.0,,,,1.0,3.0,7.0,2.0,1.0,,0.0743,,,2.0,,1.0,1.0,,,,,,,,,
12764296,home,Lille,Mitchel Bakker,,,mitchel-bakker,M. Bakker,D,5,185,1235,M,856638,EUR,961459200,D,20,20,False,43.0,39.0,,,1.0,11.0,11.0,30.0,40.0,2.0,1.0,,,83.0,66.0,7.6,12.0,0.286324,1,,8.0,,4.0,,,,1.0,,,,5.0,1.0,1.0,1.0,0.0294,,,1.0,4.0,,,2.0,2.0,1.0,,,,,,
12764296,home,Lille,Ngal'ayel Mukau,Ngal'ayel Mukau,,ngalayel-mukau,N. Mukau,M,17,188,7502,M,1391541,EUR,1099440000,M,17,17,False,63.0,59.0,3.0,3.0,0.0,25.0,27.0,34.0,36.0,2.0,,,,90.0,70.0,6.8,4.0,0.0417529,0,,,1.0,3.0,1.0,1.0,,,,,3.0,3.0,,,2.0,,,,1.0,,,,,,,,,,,,
12764296,home,Lille,Ayyoub Bouaddi,Ayyoub Bouaddi,,bouaddi-ayyoub,A. Bouaddi,M,32,185,5460,M,1564180,EUR,1191283200,M,32,32,False,47.0,45.0,1.0,1.0,1.0,26.0,27.0,19.0,20.0,3.0,,,,90.0,53.0,7.0,2.0,0.0191726,1,,,,2.0,1.0,1.0,,1.0,,,,1.0,2.0,,1.0,0.0311,,,,1.0,,1.0,,,,1.0,,,,,
12764296,home,Lille,Rémy Cabella,,,remy-cabella,R. Cabella,M,20,171,1158,M,72998,EUR,636854400,M,10,10,False,51.0,47.0,,,1.0,13.0,14.0,34.0,37.0,4.0,1.0,,,83.0,69.0,8.4,8.0,0.278067,3,,,1.0,4.0,2.0,,1.0,2.0,1.0,,1.0,3.0,2.0,2.0,,0.5385,0.9714,,2.0,3.0,,1.0,,,,,1.0,2.0,,,
12764296,home,Lille,Angel Gomes,,,angel-gomes,A. Gomes,M,47,168,3456,M,867441,EUR,967680000,M,8,8,False,31.0,29.0,1.0,1.0,0.0,7.0,7.0,22.0,24.0,4.0,2.0,,,63.0,41.0,8.1,4.0,0.116518,1,,,,,1.0,1.0,,,1.0,,1.0,,1.0,,,0.02,0.2956,,,2.0,,1.0,,,1.0,,1.0,2.0,,,
12764296,home,Lille,Osame Sahraoui,,,osame-sahraoui,O. Sahraoui,M,11,170,7349,M,965357,EUR,992217600,M,11,11,False,38.0,34.0,,,1.0,5.0,5.0,30.0,34.0,9.0,3.0,,,89.0,60.0,9.2,10.0,0.67826,2,,1.0,,5.0,8.0,4.0,,1.0,1.0,,,1.0,2.0,1.0,1.0,0.2014,0.402,,,3.0,,,1.0,,1.0,,1.0,1.0,osamesahraoui,,
