match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_bigChanceCreated,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,stat_outfielderBlock,stat_wasFouled,stat_fouls,captain,stat_dispossessed,stat_interceptionWon,stat_totalOffside,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_errorLeadToAGoal,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_aerialWon,stat_totalContest,stat_bigChanceMissed,stat_goals,stat_errorLeadToAShot,player_sofascoreId,stat_wonContest,stat_accurateCross
12764414,home,RB Leipzig,Péter Gulácsi,peter-gulacsi,P. Gulácsi,G,1,190,2356,M,37096,EUR,641952000,G,1,1,False,25.0,16.0,12.0,3.0,0.0,15.0,18.0,1.0,7.0,2.0,5.0,1.0,3.0,5.0,90.0,38.0,6.6,9.0,8.125e-05,0,-1.1712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764414,home,RB Leipzig,Nicolas Seiwald,seiwald-nicolas,N. Seiwald,M,13,179,1522,M,976575,EUR,988934400,D,13,13,False,63.0,57.0,3.0,1.0,1.0,30.0,33.0,27.0,33.0,2.0,7.0,,,,90.0,80.0,7.7,11.0,0.505136,0,,,,3.0,1.0,3.0,6.0,2.0,2.0,6.0,4.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,
12764414,home,RB Leipzig,Lutsharel Geertruida,lutsharel-geertruida,L. Geertruida,D,6,185,2491,M,856739,EUR,963878400,D,3,3,False,59.0,51.0,7.0,2.0,0.0,31.0,34.0,20.0,25.0,3.0,8.0,,,,90.0,70.0,6.3,10.0,0.0107891,0,,,,,,2.0,3.0,1.0,,1.0,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,
12764414,home,RB Leipzig,Willi Orbán,willi-orban,W. Orbán,D,4,186,3118,M,136924,EUR,720748800,D,4,4,False,54.0,49.0,3.0,1.0,0.0,32.0,34.0,17.0,20.0,3.0,3.0,,,,90.0,64.0,6.7,6.0,0.00629945,0,,,,,,1.0,2.0,,,2.0,2.0,,,1.0,,,True,1.0,3.0,1.0,,,,,,,,,,,,,,
12764414,home,RB Leipzig,Benjamin Henrichs,benjamin-henrichs,B. Henrichs,D,39,182,1141,M,319857,EUR,856656000,D,39,39,False,38.0,31.0,8.0,4.0,0.0,15.0,19.0,16.0,19.0,1.0,5.0,,,,90.0,58.0,6.4,9.0,0.0541603,5,,,,,2.0,5.0,2.0,,,2.0,,,,,,2.0,,1.0,4.0,,2.0,1.0,2.0,1.0,0.2007,0.1573,,,,,,,,
12764414,home,RB Leipzig,Christoph Baumgartner,christoph-baumgartner,C. Baumgartner,M,14,180,2741,M,825956,EUR,933465600,M,14,14,False,20.0,16.0,2.0,2.0,0.0,7.0,9.0,9.0,11.0,1.0,1.0,,,,90.0,37.0,6.9,8.0,0.00619293,2,,,,,3.0,11.0,5.0,,,3.0,1.0,1.0,,,1.0,5.0,,2.0,1.0,,,2.0,,,0.378,1.4454,1.0,1.0,1.0,1.0,1.0,,,
12764414,home,RB Leipzig,Arthur Vermeeren,arthur-vermeeren,A. Vermeeren,M,18,180,4721,M,1149127,EUR,1107734400,M,18,18,False,55.0,44.0,1.0,1.0,0.0,25.0,31.0,19.0,24.0,,5.0,,,,84.0,64.0,6.5,14.0,0.0275002,0,,Arthur Vermeeren,,,,4.0,3.0,3.0,,2.0,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,1.0,,,,arthurvermeeren,1.0,
12764414,home,RB Leipzig,Amadou Haidara,amadou-haidara,A. Haidara,M,21,174,6611,M,822708,EUR,886204800,M,8,8,False,32.0,31.0,,,0.0,15.0,15.0,16.0,17.0,1.0,2.0,,,,45.0,36.0,6.8,1.0,0.0148665,0,,,,,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,amadou_haidara04,,
12764414,home,RB Leipzig,Antonio Nusa,nusa-antonio,A. Nusa,M,7,180,11513,M,1121923,EUR,1113696000,M,7,7,False,36.0,29.0,2.0,1.0,0.0,6.0,10.0,25.0,33.0,,4.0,,,,90.0,62.0,7.5,14.0,0.331154,2,,,,7.0,,4.0,9.0,3.0,,1.0,,1.0,4.0,,3.0,1.0,,,,,,1.0,1.0,,0.0966,0.1109,,6.0,,,,nusaantonio,5.0,2.0
12764414,home,RB Leipzig,Benjamin Šeško,benjamin-sesko,B. Šeško,F,30,195,79765,M,986397,EUR,1054339200,F,30,30,False,17.0,15.0,,,0.0,7.0,7.0,8.0,10.0,1.0,1.0,,,,76.0,26.0,6.5,5.0,0.00538884,1,,,,,6.0,8.0,3.0,1.0,,1.0,,1.0,,,,,,,,1.0,1.0,,,,0.1081,,,3.0,,,,benjamin_sesko,2.0,
