match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalTackle,stat_wonTackle,stat_fouls,captain,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_wasFouled,stat_expectedGoals,stat_keyPass,stat_totalCross,stat_dispossessed,stat_totalContest,stat_wonContest,stat_unsuccessfulTouch,stat_accurateCross,stat_challengeLost,stat_bigChanceCreated,stat_bigChanceMissed,stat_shotOffTarget,stat_expectedGoalsOnTarget,stat_totalOffside,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_goals,stat_outfielderBlock,stat_errorLeadToAShot,stat_clearanceOffLine
12764961,home,HJK,Thijmen Nijhuis,,,thijmen-nijhuis,T. Nijhuis,G,1,196.0,50,M,845979,EUR,901324800,G,25,25,False,19.0,17.0,5.0,3.0,0.0,17.0,18.0,1.0,5.0,2.0,2.0,90.0,25.0,6.4,2.0,9.368e-05,0,-1.5879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764961,home,HJK,Georgios Antzoulas,,,georgios-antzoulas,G. Antzoulas,D,3,188.0,91,M,894484,EUR,949622400,D,3,3,False,40.0,31.0,3.0,2.0,0.0,19.0,21.0,19.0,1.0,,,72.0,53.0,6.6,12.0,0.0168638,0,,12.0,3.0,1.0,3.0,5.0,4.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764961,home,HJK,Joona Toivio,,,joona-toivio,J. Toivio,D,,186.0,36,M,7449,EUR,573955200,D,4,4,False,60.0,48.0,13.0,6.0,0.0,38.0,41.0,19.0,4.0,,,90.0,77.0,6.5,12.0,0.00687645,2,,10.0,2.0,1.0,5.0,3.0,1.0,,3.0,True,1.0,1.0,4.0,3.0,1.0,0.0825,1.0,,,,,,,,,,,,,,,,,,,
12764961,home,HJK,Daniel O'Shaughnessy,,,daniel-oshaughnessy,D. O'Shaughnessy,D,5,190.0,76,M,138466,EUR,779500800,D,5,5,False,75.0,57.0,20.0,4.0,0.0,41.0,43.0,33.0,3.0,,,90.0,90.0,6.2,23.0,0.0181868,0,,16.0,1.0,1.0,2.0,1.0,,,1.0,,,,2.0,3.0,,,,1.0,,,,,,,,,,,,,,,,,,
12764961,home,HJK,Noah Pallas,,,noah-pallas,N. Pallas,D,23,173.0,49,M,1033519,EUR,989625600,D,30,30,False,46.0,38.0,4.0,3.0,0.0,18.0,19.0,29.0,7.0,,,90.0,71.0,6.5,16.0,0.0294292,0,,20.0,2.0,,7.0,6.0,3.0,1.0,,,,,,1.0,1.0,,,2.0,2.0,5.0,2.0,1.0,,,,,,,,,,,,,,
12764961,home,HJK,Miska Ylitolva,,,miska-ylitolva,M. Ylitolva,D,28,178.0,46,M,1046868,EUR,1085270400,M,28,28,False,16.0,10.0,1.0,,0.0,3.0,3.0,14.0,2.0,,,71.0,33.0,5.8,15.0,0.624609,2,,8.0,1.0,2.0,12.0,4.0,,,3.0,,1.0,,,,2.0,0.1917,1.0,1.0,4.0,1.0,,4.0,1.0,3.0,1.0,1.0,1.0,0.337,,,,,,,,
12764961,home,HJK,Ozan Kökçü,Ozan,Kökçü,ozan-kokcu,O. Kökçü,M,7,176.0,831,M,1100399,EUR,903398400,M,23,23,False,27.0,24.0,3.0,2.0,0.0,15.0,15.0,15.0,6.0,,,72.0,40.0,6.7,9.0,0.0101127,2,,9.0,1.0,,3.0,3.0,2.0,1.0,,,,1.0,1.0,1.0,1.0,0.0673,,3.0,1.0,,,1.0,,1.0,,,1.0,,,,,,,,,
12764961,home,HJK,Georgios Kanellopoulos,Georgios,Kanellopoulos,georgios-kanellopoulos,G. Kanellopoulos,M,7,173.0,86,M,1140364,EUR,949104000,M,8,8,False,50.0,42.0,3.0,1.0,0.0,26.0,27.0,24.0,5.0,,,90.0,63.0,7.1,10.0,0.0150177,0,,16.0,1.0,2.0,3.0,10.0,2.0,,1.0,,,,,1.0,6.0,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,
12764961,home,HJK,Santeri Hostikka,,,hostikka-santeri,S. Hostikka,M,7,183.0,100,M,831357,EUR,875577600,M,7,7,False,19.0,13.0,2.0,,0.0,5.0,6.0,16.0,1.0,,,72.0,38.0,6.5,16.0,0.0111514,0,,8.0,1.0,1.0,7.0,6.0,2.0,2.0,2.0,,,,,1.0,,,,3.0,1.0,5.0,3.0,3.0,,1.0,,,,,,,,,,,,
12764961,home,HJK,Liam Möller,,,liam-moller,L. Möller,M,22,182.0,64,M,1121058,EUR,1103587200,F,22,22,False,22.0,14.0,1.0,,0.0,4.0,6.0,19.0,3.0,,,84.0,38.0,7.3,16.0,0.181288,1,,10.0,,1.0,4.0,6.0,3.0,2.0,4.0,,,1.0,1.0,,2.0,0.2915,2.0,3.0,,,,5.0,,,,1.0,,,1.0,,,,,,,
