match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_lastManTackle,stat_totalTackle,stat_wonTackle,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_shotOffTarget,stat_fouls,stat_expectedGoals,stat_keyPass,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_expectedGoalsOnTarget,player_firstName,player_lastName,stat_clearanceOffLine,stat_unsuccessfulTouch,stat_wasFouled,stat_goals,stat_blockedScoringAttempt,stat_accurateCross,stat_bigChanceCreated,stat_hitWoodwork,stat_errorLeadToAShot,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_totalOffside,player_sofascoreId
12765114,home,NK Celje,Matjaž Rozman,matjaz-rozman,M. Rozman,G,22,192,18,M,41236,EUR,536630400,G,22,22,False,True,22.0,10.0,16.0,5.0,0.0,7.0,17.0,3.0,5.0,1.0,2.0,6.0,1.0,1.0,1.0,3.0,4.0,90.0,34.0,7.1,12.0,0.00202783,0,1.0815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12765114,home,NK Celje,Aljoša Matko,aljosa-matko,A. Matko,M,17,177,321,M,907454,EUR,954288000,D,7,7,False,,12.0,9.0,1.0,1.0,1.0,3.0,5.0,6.0,7.0,4.0,1.0,5.0,,2.0,1.0,,,90.0,23.0,6.9,6.0,0.292832,3,,5.0,1.0,1.0,4.0,2.0,1.0,3.0,1.0,0.5615,2.0,,,,,,,,,,,,,,,,,,,,,,
12765114,home,NK Celje,David Zec,zec-david,D. Zec,D,26,185,264,M,887911,EUR,947030400,D,6,6,False,,28.0,21.0,7.0,3.0,0.0,13.0,16.0,8.0,13.0,3.0,3.0,6.0,,2.0,1.0,,,90.0,46.0,7.2,8.0,0.0323508,1,,7.0,1.0,,,,1.0,,5.0,0.0854,3.0,1.0,1.0,1.0,1.0,1.0,4.0,0.0906,,,,,,,,,,,,,,,
12765114,home,NK Celje,Damjan Vuklišević,damjan-vuklisevic,D. Vuklišević,D,3,191,33,M,232082,EUR,804297600,D,3,3,False,,19.0,16.0,4.0,3.0,0.0,15.0,17.0,1.0,2.0,3.0,7.0,3.0,,,,,,90.0,30.0,6.8,3.0,0.00035769,0,,1.0,,,,,,,,,,,1.0,3.0,,,2.0,,,,,,,,,,,,,,,,
12765114,home,NK Celje,Klemen Nemanič,klemen-nemanic,K. Nemanič,D,81,194,54,M,822439,EUR,847324800,D,81,81,False,,23.0,17.0,5.0,2.0,0.0,15.0,17.0,2.0,6.0,7.0,5.0,,,4.0,4.0,,,90.0,36.0,7.0,7.0,0.00106717,0,,4.0,,1.0,,,,,1.0,,,,2.0,3.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,
12765114,home,NK Celje,Juanjo Nieto,juanjo-nieto,J. Nieto,D,2,175,74,M,868329,EUR,781142400,D,2,2,False,,16.0,14.0,2.0,,0.0,4.0,5.0,10.0,12.0,8.0,4.0,2.0,,3.0,3.0,,,90.0,39.0,6.9,6.0,0.0239822,2,,6.0,2.0,1.0,1.0,,,2.0,2.0,0.1623,,1.0,,,,,,,,,,1.0,5.0,,,,,,,,,,
12765114,home,NK Celje,Svit Sešlar,svit-seslar,S. Sešlar,M,10,185,669,M,946291,EUR,1010534400,M,11,11,False,,27.0,19.0,5.0,4.0,1.0,4.0,6.0,15.0,21.0,5.0,1.0,6.0,,,,,,85.0,39.0,8.3,9.0,0.122034,3,,6.0,2.0,,4.0,3.0,,1.0,2.0,0.2571,2.0,,1.0,,2.0,,1.0,0.4777,,,,,2.0,1.0,,,,,,,,,
12765114,home,NK Celje,Mark Zabukovnik,mark-zabukovnik,M. Zabukovnik,M,19,185,63,M,1001902,EUR,977875200,M,19,19,False,,20.0,17.0,3.0,1.0,0.0,9.0,9.0,8.0,11.0,3.0,2.0,3.0,,2.0,1.0,,,84.0,32.0,7.0,3.0,0.0344761,2,,,,,,,,,,0.1223,,,,,1.0,,,0.1734,,,,,1.0,,1.0,,,,,,,,
12765114,home,NK Celje,Tamar Svetlin,tamar-svetlin,T. Svetlin,M,88,175,177,M,959616,EUR,996451200,M,88,88,False,,15.0,15.0,1.0,1.0,0.0,6.0,6.0,10.0,10.0,3.0,2.0,2.0,,2.0,1.0,,,88.0,31.0,7.4,6.0,0.148861,1,,4.0,,3.0,2.0,1.0,,,,0.9011,1.0,1.0,,,1.0,,2.0,0.9942,,,,2.0,,1.0,,1.0,1.0,,,,,,
12765114,home,NK Celje,Ivan Brnić,ivan-brnic,I. Brnić,M,77,175,376,M,916182,EUR,998524800,M,77,77,False,,23.0,15.0,5.0,4.0,1.0,6.0,8.0,10.0,19.0,1.0,,1.0,,,,,,90.0,31.0,8.4,12.0,0.570964,2,,1.0,,,2.0,1.0,1.0,1.0,,0.7406,2.0,4.0,,,1.0,,,0.8983,,,,,,1.0,,1.0,2.0,,,,,,
