match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalCross,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_lastManTackle,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_dispossessed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_errorLeadToAShot,stat_challengeLost,stat_accurateCross,stat_goals,stat_errorLeadToAGoal,captain,stat_totalOffside,stat_savedShotsFromInsideTheBox,stat_bigChanceCreated,stat_bigChanceMissed,stat_hitWoodwork
12764079,home,Manchester United,André Onana,,,andre-onana,A. Onana,G,24,190,53710,M,AndréOnana24,787498,EUR,828403200,G,24,24,False,24.0,22.0,8.0,6.0,0.0,22.0,22.0,2.0,5.0,2.0,1.0,1.0,90.0,31.0,6.9,3.0,0.00025384,0,0.0653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764079,home,Manchester United,Noussair Mazraoui,,,noussair-mazraoui,N. Mazraoui,D,3,183,53700,M,nousmaz97,847030,EUR,879465600,D,3,3,False,56.0,48.0,3.0,1.0,0.0,25.0,29.0,30.0,6.0,,,,90.0,80.0,7.5,14.0,0.0292808,0,,23.0,3.0,1.0,6.0,2.0,1.0,2.0,1.0,4.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
12764079,home,Manchester United,Harry Maguire,,,harry-maguire,H. Maguire,D,5,194,27967,M,harrymaguire93,149380,EUR,731289600,D,5,5,False,61.0,52.0,9.0,5.0,0.0,27.0,29.0,32.0,6.0,,,,90.0,73.0,7.6,10.0,0.0194984,4,,25.0,,2.0,7.0,,,1.0,,1.0,1.0,,,,1.0,6.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,0.2438,0.1136,,,,,,,,,,,
12764079,home,Manchester United,Lisandro Martínez,,,lisandro-martinez,L. Martínez,D,6,175,51493,M,LichaMartínez,859999,EUR,885081600,D,6,6,False,73.0,65.0,3.0,1.0,0.0,29.0,31.0,42.0,3.0,,,,90.0,86.0,7.2,8.0,0.0459718,1,,36.0,,2.0,4.0,3.0,3.0,1.0,,,,,,,1.0,1.0,,,,1.0,5.0,,1.0,0.0915,,,,,,,,,,,,
12764079,home,Manchester United,Diogo Dalot,,,diogo-dalot,D. Dalot,M,2,184,22937,M,DDalot,843200,EUR,921715200,D,20,20,False,52.0,47.0,1.0,1.0,0.0,18.0,21.0,32.0,8.0,,,,90.0,71.0,6.9,14.0,0.113318,2,,29.0,1.0,6.0,5.0,4.0,1.0,1.0,,1.0,,3.0,1.0,3.0,2.0,2.0,1.0,1.0,,1.0,,,,0.1999,,1.0,,,,,,,,,,
12764079,home,Manchester United,Manuel Ugarte,,,manuel-ugarte,M. Ugarte,M,25,182,19070,M,ugartemanu,846425,EUR,986947200,M,25,25,False,73.0,59.0,3.0,2.0,0.0,26.0,27.0,46.0,5.0,,,,90.0,91.0,7.5,17.0,0.127991,1,,33.0,,4.0,6.0,1.0,1.0,2.0,,4.0,2.0,2.0,,1.0,1.0,1.0,1.0,1.0,,,2.0,1.0,1.0,0.016,,,1.0,,,,,,,,,
12764079,home,Manchester United,Christian Eriksen,,,christian-eriksen,C. Eriksen,M,24,182,20679,M,chriseriksen8,105734,EUR,698025600,M,14,14,False,46.0,43.0,2.0,2.0,0.0,17.0,17.0,36.0,3.0,,,,79.0,61.0,7.2,7.0,0.438705,2,,30.0,7.0,2.0,1.0,,,1.0,,1.0,,,,3.0,,,1.0,,1.0,1.0,,,,0.0693,0.692,,1.0,4.0,1.0,1.0,,,,,,
12764079,home,Manchester United,Amad Diallo,,,diallo-amad,A. Diallo,F,16,173,104235,M,AmadDiallo19,971037,EUR,1026345600,M,16,16,False,22.0,21.0,,,0.0,8.0,8.0,16.0,4.0,,,,67.0,36.0,6.9,6.0,0.25131,1,,14.0,2.0,5.0,5.0,4.0,1.0,,,3.0,3.0,,1.0,1.0,,,1.0,,,1.0,1.0,,,0.0206,,,1.0,1.0,,,,,,,,
12764079,home,Manchester United,Bruno Fernandes,,,bruno-fernandes,B. Fernandes,M,8,179,237692,M,BrunoFernandes,288205,EUR,778982400,M,8,8,False,52.0,39.0,4.0,3.0,0.0,7.0,10.0,45.0,6.0,,,,90.0,76.0,7.3,19.0,0.158597,3,,34.0,3.0,6.0,7.0,5.0,2.0,1.0,,1.0,,1.0,2.0,1.0,1.0,2.0,,1.0,1.0,1.0,2.0,,,0.1604,0.0141,,2.0,2.0,,,True,1.0,,,,
12764079,home,Manchester United,Marcus Rashford,,,marcus-rashford,M. Rashford,M,14,185,363363,M,Rashford,814590,EUR,878256000,M,10,10,False,32.0,25.0,3.0,1.0,0.0,5.0,5.0,30.0,2.0,,,,79.0,50.0,7.8,10.0,0.572443,2,,20.0,3.0,,7.0,5.0,5.0,1.0,,1.0,1.0,,,2.0,,1.0,,,,2.0,2.0,,,0.1037,,,,,,,,1.0,,,,
