match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_duelLost,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAGoal,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialWon,stat_duelWon,stat_shotOffTarget,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_fouls,stat_expectedGoals,stat_wonTackle,stat_wasFouled,stat_totalCross,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_unsuccessfulTouch,stat_keyPass,stat_challengeLost,stat_dispossessed,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_totalOffside,stat_accurateCross,stat_bigChanceCreated,player_sofascoreId,stat_punches,stat_hitWoodwork
12764219,home,Royale Union Saint-Gilloise,Anthony Moris,anthony-moris,A. Moris,G,49,184,295,M,39457,EUR,641347200,G,49,49,False,True,42.0,29.0,31.0,18.0,0.0,15.0,18.0,14.0,24.0,1.0,1.0,1.0,5.0,1.0,1.0,3.0,4.0,1.0,1.0,90.0,51.0,7.1,13.0,0.00425726,0,-0.1547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764219,home,Royale Union Saint-Gilloise,Ross Sykes,ross-sykes,R. Sykes,D,26,196,232,M,845558,EUR,922406400,D,26,26,False,,29.0,20.0,6.0,,0.0,18.0,21.0,2.0,8.0,1.0,3.0,6.0,4.0,,,,,,,90.0,45.0,6.7,10.0,0.00496458,2,,,,3.0,4.0,1.0,1.0,2.0,1.0,2.0,0.1722,,,,,,,,,,,,,,,,,,,
12764219,home,Royale Union Saint-Gilloise,Christian Burgess,christian-burgess,C. Burgess,D,16,196,312,M,303634,EUR,686793600,D,16,16,False,,40.0,30.0,5.0,,0.0,23.0,26.0,7.0,14.0,1.0,1.0,13.0,8.0,,,,,,,90.0,60.0,7.1,10.0,0.059462,0,,,,4.0,7.0,,,2.0,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,
12764219,home,Royale Union Saint-Gilloise,Koki Machida,koki-machida,K. Machida,D,28,190,1343,M,790977,EUR,872467200,D,28,28,False,,40.0,30.0,3.0,1.0,0.0,15.0,18.0,15.0,24.0,3.0,6.0,4.0,6.0,,,,,,,90.0,69.0,7.6,17.0,0.0468815,0,,,,5.0,13.0,,,2.0,5.0,3.0,,4.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,
12764219,home,Royale Union Saint-Gilloise,Kevin Mac Allister,kevin-mac-allister,K. Mac Allister,D,5,175,9949,M,895327,EUR,878860800,M,5,5,False,,29.0,21.0,7.0,3.0,0.0,11.0,13.0,10.0,16.0,1.0,4.0,5.0,4.0,,,,,,,90.0,50.0,7.9,11.0,0.00752557,1,,,,2.0,10.0,,,2.0,4.0,1.0,0.0901,4.0,3.0,,1.0,1.0,,2.0,,1.0,1.0,1.0,1.0,0.5663,,,,,,
12764219,home,Royale Union Saint-Gilloise,Anan Khalaili,khalaili-anan,A. Khalaili,M,25,183,2314,M,1403362,EUR,1094169600,M,25,25,False,,16.0,10.0,,,0.0,2.0,3.0,8.0,14.0,4.0,4.0,,3.0,,,,,,,69.0,23.0,6.6,9.0,0.0273982,1,,,,3.0,3.0,1.0,,1.0,,,0.0385,,,1.0,,,,1.0,,,,,,,1.0,,,,,
12764219,home,Royale Union Saint-Gilloise,Charles Vanhoutte,charles-vanhoutte,C. Vanhoutte,M,24,182,633,M,928033,EUR,905904000,M,24,24,False,,51.0,39.0,3.0,2.0,1.0,11.0,13.0,30.0,46.0,2.0,5.0,2.0,9.0,,,,,,,90.0,71.0,7.4,21.0,0.293625,2,,,,1.0,2.0,,1.0,,1.0,1.0,0.0672,,,8.0,,,,3.0,3.0,2.0,,1.0,,0.1438,,2.0,1.0,,,
12764219,home,Royale Union Saint-Gilloise,Noah Sadiki,noah-sadiki,N. Sadiki,M,27,173,15441,M,1171539,EUR,1103241600,M,27,27,False,,37.0,27.0,2.0,1.0,0.0,17.0,18.0,10.0,20.0,2.0,6.0,2.0,5.0,,,,,,,90.0,51.0,6.8,13.0,0.0149221,0,,,,1.0,5.0,,,2.0,2.0,5.0,,2.0,2.0,1.0,,,,2.0,,,,,,,,,,,,
12764219,home,Royale Union Saint-Gilloise,Ousseynou Niang,ousseynou-niang,O. Niang,M,22,168,3146,M,880780,EUR,1002844800,M,22,22,False,,21.0,17.0,3.0,3.0,0.0,7.0,8.0,10.0,13.0,2.0,10.0,,4.0,,,,,,,90.0,38.0,6.6,11.0,0.0136168,3,,,,1.0,4.0,2.0,,,,2.0,0.0906,,2.0,,4.0,1.0,,1.0,,,3.0,1.0,,0.0685,,,,,,
12764219,home,Royale Union Saint-Gilloise,Franjo Ivanović,franjo-ivanovic,F. Ivanović,F,9,185,6328,M,1103333,EUR,1064966400,F,9,9,False,,24.0,17.0,,,0.0,2.0,2.0,15.0,22.0,3.0,8.0,,3.0,,,,,,,79.0,37.0,6.5,16.0,0.0156658,0,,,,1.0,3.0,,,,,2.0,,,2.0,,1.0,,,4.0,1.0,,2.0,,,,,,,,,
