match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_interceptionWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_totalOffside,stat_keyPass,stat_aerialWon,stat_challengeLost,stat_outfielderBlock,stat_penaltyConceded,stat_fouls,captain,stat_shotOffTarget,stat_expectedGoals,stat_dispossessed,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_errorLeadToAShot,player_sofascoreId,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_ownGoals,stat_goals
12764302,home,FC Midtjylland,Elías Ólafsson,,,elias-olafsson,E. Ólafsson,G,16,201,368,M,879183,EUR,952732800,G,16,16,False,28.0,11.0,22.0,5.0,0.0,7.0,13.0,4.0,15.0,1.0,11.0,1.0,1.0,1.0,4.0,90.0,41.0,6.8,18.0,0.00255168,0,-0.2841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764302,home,FC Midtjylland,Kevin Mbabu,,,kevin-mbabu,K. Mbabu,D,43,184,780,M,227900,EUR,798249600,D,43,43,False,27.0,22.0,1.0,,0.0,12.0,13.0,11.0,18.0,,5.0,,,,,90.0,56.0,6.6,15.0,0.188236,0,,4.0,1.0,1.0,4.0,6.0,5.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
12764302,home,FC Midtjylland,Ousmane Diao,,,diao-ousmane,O. Diao,D,4,187,1563,M,1465159,EUR,1086652800,D,4,4,False,43.0,35.0,6.0,1.0,0.0,26.0,29.0,9.0,14.0,,8.0,,,,,90.0,51.0,6.3,9.0,0.0183486,0,,,,1.0,3.0,4.0,,,1.0,2.0,,,,,1.0,2.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
12764302,home,FC Midtjylland,Mads Bech Sørensen,,,mads-bech-sorensen,M. B. Sørensen,D,22,189,283,M,1006409,EUR,915667200,D,22,22,False,40.0,32.0,4.0,1.0,0.0,26.0,28.0,6.0,12.0,2.0,5.0,,,,,90.0,55.0,6.7,10.0,0.314825,0,,,,2.0,4.0,1.0,,,8.0,,,,,,1.0,1.0,1.0,,,1.0,True,,,,,,,,,,,,,,
12764302,home,FC Midtjylland,Victor Bak Jensen,,,victor-bak-jensen,V. B. Jensen,D,55,175,174,M,1002057,EUR,1065139200,D,55,55,False,23.0,15.0,1.0,,0.0,10.0,11.0,5.0,13.0,3.0,3.0,,,,,65.0,42.0,6.7,11.0,0.020533,2,,1.0,,,3.0,1.0,1.0,,3.0,1.0,1.0,1.0,,,,,,1.0,,2.0,,2.0,0.1538,,,,,,,,,,,,
12764302,home,FC Midtjylland,Emiliano Martínez,,,emiliano-martinez,E. Martínez,M,32,184,3839,M,973533,EUR,934848000,M,5,5,False,49.0,45.0,4.0,4.0,0.0,27.0,28.0,18.0,22.0,1.0,7.0,,,,,81.0,70.0,6.5,14.0,0.0334944,0,,1.0,,2.0,8.0,6.0,4.0,2.0,1.0,1.0,,3.0,1.0,,,2.0,,,,,,,,4.0,,,,,,,,,,,
12764302,home,FC Midtjylland,Joel Andersson,,,joel-andersson,J. Andersson,D,2,178,103,M,791954,EUR,847670400,M,6,6,False,39.0,30.0,3.0,1.0,0.0,11.0,13.0,22.0,35.0,2.0,6.0,,,,,89.0,54.0,7.3,15.0,0.56524,0,,9.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,,,,,,3.0,,1.0,,,,,,,,1.0,,,,,,,,,,
12764302,home,FC Midtjylland,Valdemar Byskov,Valdemar Byskov,,valdemar-byskov,V. Byskov,M,20,180,403,M,1146404,EUR,1106611200,M,20,20,False,21.0,18.0,,,0.0,4.0,5.0,14.0,18.0,1.0,2.0,,,,,45.0,30.0,6.3,9.0,0.0228173,0,,2.0,,,5.0,2.0,3.0,1.0,,,,,,,,1.0,,,,1.0,,,,2.0,,,,,,,,,,,
12764302,home,FC Midtjylland,Oliver Sørensen,,,oliver-sorensen,O. Sørensen,M,22,184,642,M,957921,EUR,1015718400,M,24,24,False,37.0,29.0,4.0,1.0,0.0,11.0,14.0,18.0,25.0,2.0,7.0,,,,,90.0,58.0,6.8,14.0,0.0150482,1,,2.0,,4.0,7.0,4.0,1.0,,4.0,3.0,1.0,1.0,,,1.0,1.0,,,,,,,0.015,2.0,,1.0,0.0187,,,,,,,,
12764302,home,FC Midtjylland,Mikel Gogorza,,,mikel-gogorza,M. Gogorza,F,41,175,706,M,1146549,EUR,1159315200,M,41,41,False,23.0,18.0,,,0.0,7.0,8.0,11.0,16.0,,,,,,,65.0,30.0,7.1,7.0,0.0340042,0,,1.0,,,,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,
