match_id,side,team,player_name,player_firstName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_lastName,captain,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_onTargetScoringAttempt,stat_totalClearance,stat_clearanceOffLine,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_shotValueNormalized,stat_shotOffTarget,stat_fouls,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_goals,stat_errorLeadToAShot,stat_hitWoodwork,stat_penaltyFaced,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_bigChanceMissed,stat_penaltyConceded,stat_totalOffside,stat_bigChanceCreated
14035876,home,Standard Liège,Matthieu Epolo,Matthieu Epolo,matthieu-epolo,M. Epolo,G,1,185,3162,M,1121943,EUR,1105747200,G,1,1,False,16.0,11.0,10.0,5.0,0.0,8.0,10.0,3.0,6.0,7.0,3.0,4.0,90.0,24.0,6.7,5.0,0.0004255,0.3,0,-0.0874,0.04,0.01,-0.03,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035876,home,Standard Liège,Marlon Fossey,,marlon-fossey,M. Fossey,M,13,180,286,M,880762,EUR,905299200,D,13,13,False,42.0,37.0,2.0,1.0,0.0,12.0,12.0,25.0,30.0,2.0,,,90.0,65.0,7.9,10.0,0.43461,,1,,0.37,0.16,0.27,,,True,4.0,1.0,1.0,2.0,3.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0225,0.1091,1.0,-0.13,,,,,,,,,,,,,,,,
14035876,home,Standard Liège,Daan Dierckx,,dierckx-daan,D. Dierckx,D,29,192,200,M,1099368,EUR,1045958400,D,29,29,False,56.0,51.0,4.0,2.0,0.0,38.0,40.0,13.0,16.0,6.0,,,90.0,67.0,7.4,5.0,0.0228372,,2,,0.2,0.06,0.4,,,,,,1.0,3.0,2.0,4.0,,,1.0,5.0,,2.0,1.0,1.0,,,,0.0888,0.1734,,0.12,1.0,1.0,,,,,,,,,,,,,,
14035876,home,Standard Liège,Josué Homawoo,,josue-homawoo,J. Homawoo,D,24,191,192,M,976070,EUR,879292800,D,24,24,False,,,,,0.0,,,,,,,,9.0,1.0,6.7,,,,0,,,,0.13,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035876,home,Standard Liège,Tobias Mohr,,tobias-mohr,T. Mohr,M,7,183,153,M,237048,EUR,809222400,D,7,7,False,43.0,28.0,8.0,3.0,0.0,11.0,14.0,17.0,29.0,2.0,,,90.0,87.0,6.8,21.0,0.209516,,3,,0.33,0.19,-0.17,,,,10.0,4.0,,1.0,1.0,2.0,,,,4.0,,,4.0,,,,,0.0275,,4.0,-0.12,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,
14035876,home,Standard Liège,Marco Ilaimaharitra,,marco-ilaimaharitra,M. Ilaimaharitra,M,23,178,500,M,358198,EUR,806716800,M,23,23,False,31.0,26.0,3.0,2.0,0.0,10.0,10.0,16.0,21.0,3.0,,,84.0,40.0,7.1,6.0,0.0403121,,1,,0.11,0.01,-0.07,,,,,,1.0,,4.0,1.0,2.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,0.7884,0.9235,1.0,0.32,,,,,,1.0,,,,,,,,,,
14035876,home,Standard Liège,Casper Nielsen,,casper-nielsen,C. Nielsen,M,94,182,403,M,247471,EUR,767577600,M,94,94,False,37.0,21.0,5.0,2.0,0.0,6.0,7.0,15.0,30.0,3.0,,,90.0,57.0,6.7,23.0,0.0496772,,1,,0.16,-0.39,-0.15,,,,6.0,1.0,1.0,3.0,5.0,7.0,2.0,1.0,,1.0,,,,1.0,,,3.0,0.0206,,1.0,-0.05,,,1.0,,1.0,,,,,,,,,,,
14035876,home,Standard Liège,Adnane Abid,,adnane-abid,A. Abid,M,11,161,235,M,1127801,EUR,1061596800,M,11,11,False,37.0,29.0,2.0,1.0,0.0,7.0,8.0,22.0,29.0,7.0,,,90.0,47.0,6.4,14.0,0.0458056,,0,,-0.09,0.33,-0.15,,,,2.0,,,1.0,4.0,3.0,,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,2.0,2.0,,,,1.0,,,,,,,,,
14035876,home,Standard Liège,Mo El Hankouri,,mo-el-hankouri,M. E. Hankouri,M,27,176,382,M,845199,EUR,867715200,M,27,27,False,12.0,11.0,1.0,1.0,0.0,4.0,4.0,7.0,8.0,3.0,,,45.0,21.0,6.3,5.0,0.0102084,,0,,0.04,-0.28,0.13,,,,,,2.0,,5.0,,,2.0,,,,,2.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,
14035876,home,Standard Liège,Rafiki Saïd,,rafiki-said,R. Saïd,M,17,178,635,M,1047321,EUR,953078400,M,17,17,False,12.0,11.0,2.0,2.0,0.0,1.0,1.0,10.0,11.0,2.0,,,84.0,23.0,6.8,7.0,0.357633,,0,,0.2,0.37,-0.06,,,,1.0,,1.0,,3.0,2.0,,,,,,,1.0,1.0,1.0,3.0,,,,,,,,3.0,1.0,,,,,,,,,,,,
14035876,home,Standard Liège,Thomas Henry,,thomas-henry,T. Henry,F,9,191,448,M,795541,EUR,780019200,F,9,9,False,18.0,8.0,1.0,1.0,0.0,3.0,3.0,5.0,15.0,4.0,,,90.0,39.0,5.9,19.0,0.0444744,,2,,-0.47,0.23,-0.06,,,,,,4.0,2.0,11.0,5.0,1.0,4.0,,1.0,,1.0,,1.0,1.0,5.0,2.0,0.1645,,1.0,-0.54,,2.0,,,2.0,,,,,,,,,,,
14035876,home,Standard Liège,Ibrahim Karamoko,,karamoko-ibrahim,I. Karamoko,M,20,187,135,M,966263,EUR,995846400,D,20,20,True,56.0,49.0,8.0,4.0,0.0,40.0,41.0,9.0,15.0,3.0,,,81.0,67.0,6.8,7.0,0.00398406,,0,,0.05,0.15,0.0,,,,,,1.0,3.0,2.0,4.0,,,,6.0,,,2.0,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,
14035876,home,Standard Liège,Dennis Eckert Ayensa,,dennis-eckert-ayensa,D. Eckert,F,10,181,542,M,812797,EUR,852768000,F,10,10,True,13.0,8.0,,,0.0,6.0,7.0,2.0,6.0,1.0,,,45.0,23.0,6.2,11.0,0.00075611,,1,,-0.16,0.26,-0.05,,,,,,1.0,,3.0,1.0,1.0,1.0,,1.0,,,,1.0,1.0,4.0,,0.0433,,,-0.12,1.0,,,,,,,1.0,,,,,,,,
14035876,home,Standard Liège,Hakim Sahabo,Hakim Sahabo,sahabo-hakim,H. Sahabo,M,6,183,470,M,1434757,EUR,1118880000,M,6,6,True,6.0,5.0,3.0,2.0,0.0,2.0,2.0,3.0,4.0,1.0,,,16.0,10.0,6.6,2.0,0.00552333,,0,,0.05,0.0,0.14,,,,,,,,2.0,1.0,,,,1.0,,,,1.0,1.0,1.0,,,,,,,2.0,,,,,,,,,,,,,,
14035876,home,Standard Liège,Nayel Mehssatou,,nayel-mehssatou,N. Mehssatou,M,8,172,534,M,1064174,EUR,1018569600,D,8,8,True,2.0,2.0,,,0.0,2.0,2.0,,,1.0,,,16.0,9.0,6.6,3.0,3.731e-05,,0,,0.01,-0.32,-0.03,,,,,,,,3.0,1.0,1.0,,,1.0,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,
14035876,home,Standard Liège,Lucas Pirard,,lucas-pirard,L. Pirard,G,21,191,81,M,190379,EUR,794793600,G,21,21,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035876,home,Standard Liège,Henry Lawrence,,henry-lawrence,H. Lawrence,D,18,171,129,M,976265,EUR,1001030400,D,18,18,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035876,home,Standard Liège,Alexandro Calut,,alexandro-calut,A. Calut,D,22,180,71,M,1000311,EUR,1050969600,D,22,22,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035876,home,Standard Liège,Léandre Kuavita,Léandre Kuavita,leandre-kuavita,L. Kuavita,M,14,180,165,M,1198065,EUR,1085961600,M,14,14,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035876,home,Standard Liège,René Mitongo,René Mitongo Muteba,rene-mitongo-muteba,R. M. Muteba,F,19,187,235,M,1931567,EUR,1200614400,F,19,19,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035876,away,KV Mechelen,Nacho Miras,,nacho-miras,N. Miras,G,13,187,111,M,1010556,EUR,869270400,G,13,13,False,28.0,16.0,15.0,3.0,0.0,15.0,15.0,1.0,13.0,10.0,2.0,2.0,90.0,38.0,7.1,13.0,0.00041524,0.5501,0,0.2061,0.05,0.0,-0.16,0.45,,,,,,1.0,,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,1.0,,,,
14035876,away,KV Mechelen,Redouane Halhal,Redouane Halal,redouane-halhal,R. Halhal,D,2,187,649,M,1143667,EUR,1046822400,D,2,2,False,44.0,38.0,3.0,,0.0,31.0,35.0,7.0,9.0,5.0,,,76.0,62.0,6.7,11.0,0.0018173,,2,,0.05,0.11,-0.05,,,,,,,2.0,,5.0,,,1.0,3.0,,,1.0,3.0,3.0,2.0,,0.238,,,-0.55,1.0,,,,,,,,,,,,1.0,,,
14035876,away,KV Mechelen,Mory Konate,,mory-konate,M. Konate,M,8,191,1273,M,889927,EUR,753321600,D,8,8,False,39.0,34.0,,,0.0,32.0,34.0,2.0,5.0,3.0,,,90.0,61.0,6.9,6.0,0.0279716,,3,,0.06,-0.03,0.0,,,,,,2.0,3.0,4.0,7.0,,,1.0,8.0,,1.0,,2.0,2.0,,2.0,0.3079,0.2643,,0.02,2.0,2.0,1.0,,,,,,,,,,,1.0,,
14035876,away,KV Mechelen,Gora Diouf,Gora Diouf,diouf-gora,G. Diouf,D,4,185,134,M,1407164,EUR,1064016000,D,4,4,False,38.0,31.0,6.0,2.0,0.0,23.0,26.0,8.0,12.0,2.0,,,90.0,58.0,7.2,10.0,0.214903,,0,,0.25,0.0,0.48,,,,,,2.0,2.0,3.0,4.0,,1.0,,9.0,,1.0,1.0,2.0,2.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,
14035876,away,KV Mechelen,Thérence Koudou,,koudou-therence,T. Koudou,D,7,178,221,M,1392080,EUR,1102896000,M,7,7,False,40.0,34.0,4.0,2.0,0.0,17.0,17.0,17.0,23.0,6.0,,,90.0,70.0,6.4,21.0,0.0354754,,1,,0.18,0.29,-0.07,,,,3.0,,,,5.0,1.0,1.0,2.0,,1.0,,,1.0,,,3.0,1.0,0.032,,1.0,-0.12,,,2.0,,1.0,,,,,,,,,,1.0,
14035876,away,KV Mechelen,Fredrik Hammar,,fredrik-hammar,F. Hammar,M,6,181,204,M,946959,EUR,983145600,M,6,6,False,46.0,33.0,6.0,2.0,0.0,23.0,32.0,10.0,14.0,8.0,,,90.0,71.0,7.4,17.0,0.0859102,,0,,0.04,0.14,0.48,,,True,,,1.0,2.0,4.0,8.0,1.0,1.0,,4.0,,2.0,,5.0,2.0,3.0,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,
