match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAGoal,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_keeperSaveValue,stat_totalShots,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_outfielderBlock,stat_keyPass,stat_totalTackle,stat_wonTackle,stat_ownGoals,captain,stat_interceptionWon,stat_fouls,player_firstName,player_lastName,stat_accurateCross,stat_totalContest,stat_bigChanceCreated,stat_unsuccessfulTouch,stat_totalOffside,stat_blockedScoringAttempt,stat_shotValueNormalized,stat_wonContest,stat_onTargetScoringAttempt,stat_bigChanceMissed,stat_shotOffTarget,stat_hitWoodwork,stat_dispossessed,stat_errorLeadToAShot
14073460,home,Barrow AFC,Benjamin Winterbottom,benjamin-winterbottom,B. Winterbottom,G,31,188.0,56,M,996939,EUR,995241600.0,G,31,31,False,37.0,16.0,32.0,11.0,0.0,6.0,12.0,10.0,25.0,1.0,2.0,3.0,13.0,1.0,1.0,2.0,2.0,5.0,1.0,2.0,2.0,90.0,54.0,7.6,21.0,0.3821,0,0.01,-0.01,-0.27,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14073460,home,Barrow AFC,David Worrall,david-worrall,D. Worrall,M,,183.0,38,M,19707,EUR,645148800.0,D,27,27,False,22.0,14.0,2.0,1.0,0.0,8.0,9.0,6.0,13.0,2.0,2.0,3.0,2.0,,,,,,,,,62.0,32.0,6.8,11.0,,0,-0.02,0.01,0.19,,3.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
14073460,home,Barrow AFC,Charlie Raglan,charlie-raglan,C. Raglan,D,5,183.0,11,M,245461,EUR,735955200.0,D,5,5,False,35.0,27.0,5.0,2.0,0.0,14.0,17.0,13.0,18.0,1.0,2.0,7.0,4.0,,,,,,,,,90.0,56.0,6.2,8.0,,0,0.0,0.03,-0.33,,,1.0,1.0,,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
14073460,home,Barrow AFC,Niall Canavan,niall-canavan,N. Canavan,D,6,191.0,14,M,73410,EUR,671328000.0,D,6,6,False,24.0,21.0,2.0,2.0,0.0,14.0,16.0,7.0,8.0,2.0,4.0,15.0,3.0,,,,,,,,,90.0,45.0,6.8,3.0,,0,0.01,0.16,0.36,,,2.0,3.0,,,,2.0,1.0,,True,1.0,1.0,,,,,,,,,,,,,,,,
14073460,home,Barrow AFC,Lewis Shipley,lewis-shipley,L. Shipley,D,3,186.0,19,M,1093340,EUR,1070064000.0,D,3,3,False,39.0,38.0,2.0,2.0,0.0,22.0,23.0,16.0,16.0,,4.0,2.0,7.0,,3.0,,,,,,,90.0,55.0,6.7,5.0,,0,0.18,0.06,-0.25,,1.0,1.0,5.0,2.0,,,1.0,,,,1.0,2.0,Lewis Shipley,,,,,,,,,,,,,,,
14073460,home,Barrow AFC,Ben Jackson,ben-jackson,B. Jackson,D,7,182.0,36,M,1009739,EUR,982800000.0,D,7,7,False,21.0,16.0,5.0,2.0,0.0,8.0,9.0,8.0,12.0,,3.0,3.0,3.0,,,,,,,,,90.0,42.0,6.6,12.0,,0,0.21,-0.12,-0.12,,7.0,,3.0,1.0,1.0,2.0,3.0,1.0,,,,1.0,,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,
14073460,home,Barrow AFC,Jack Earing,jack-earing,J. Earing,M,21,182.0,17,M,860449,EUR,916876800.0,M,21,21,False,22.0,18.0,3.0,1.0,0.0,8.0,9.0,10.0,13.0,,2.0,,2.0,,1.0,,,,,,,67.0,31.0,6.6,7.0,,1,-0.05,0.26,-0.03,,1.0,,,,,,1.0,1.0,,,1.0,,,,,,,2.0,,1.0,-0.36,,,,,,,
14073460,home,Barrow AFC,Regan Booty,regan-booty,R. Booty,M,23,180.0,29,M,834284,EUR,891561600.0,M,22,22,False,54.0,45.0,12.0,8.0,0.0,18.0,20.0,27.0,34.0,2.0,3.0,5.0,6.0,,1.0,,,,,,,90.0,70.0,7.3,14.0,,0,0.32,0.07,0.19,,2.0,,3.0,2.0,1.0,,,,,,2.0,1.0,,,,,,2.0,,,,,,,,,,
14073460,home,Barrow AFC,Scott Smith,scott-smith,S. Smith,M,8,173.0,17,M,1005891,EUR,981504000.0,M,8,8,False,27.0,23.0,2.0,1.0,0.0,9.0,11.0,14.0,16.0,,8.0,3.0,3.0,,1.0,,,,,,,90.0,47.0,7.3,7.0,,1,0.13,0.04,-0.02,,,,2.0,2.0,1.0,1.0,6.0,4.0,,,1.0,1.0,,,,1.0,1.0,1.0,,,0.0,1.0,1.0,,,,,
14073460,home,Barrow AFC,Connor Mahoney,connor-mahoney,C. Mahoney,F,23,175.0,28,M,838912,EUR,855705600.0,F,23,23,False,29.0,21.0,2.0,2.0,0.0,4.0,5.0,17.0,24.0,,3.0,1.0,5.0,,1.0,,,,,,,90.0,39.0,7.0,9.0,,5,0.08,0.51,0.18,,,1.0,2.0,,,1.0,,,,,,,,,,3.0,,,2.0,,-0.61,2.0,2.0,2.0,3.0,,,
