match_id,side,team,player_name,player_firstName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_fouls,player_lastName,stat_aerialLost,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_shotValueNormalized,stat_outfielderBlock,stat_wasFouled,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,captain,stat_accurateCross,stat_dispossessed,stat_bigChanceMissed,stat_keyPass,stat_bigChanceCreated,stat_goals,player_sofascoreId,stat_goodHighClaim,stat_totalOffside
14064446,home,RC Lens,Robin Risser,Robin Risser,robin-risser,R. Risser,G,40,193,833,M,1387161,EUR,1101945600,G,40,40,False,33.0,26.0,13.0,6.0,0.0,25.0,27.0,1.0,6.0,1.0,10.0,2.0,4.0,1.0,1.0,90.0,45.0,8.5,7.0,0.00032872,62.265102941914,11.0,-14.49,4.515,0.9434,0,1.2272,0.0,0.17,0.35,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14064446,home,RC Lens,Ismaelo Ganiou,,ganiou-pierre,I. Ganiou,D,25,185,4755,M,1408080,EUR,1110758400,D,25,25,False,38.0,30.0,4.0,2.0,0.0,25.0,27.0,5.0,11.0,2.0,5.0,,,,,90.0,44.0,6.9,9.0,0.00220878,63.47289352439,9.0,-7.875,10.71,,0,,0.04,0.04,0.14,,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
14064446,home,RC Lens,Samson Baidoo,,samson-baidoo,S. Baidoo,D,6,190,1272,M,1099117,EUR,1080691200,D,6,6,False,50.0,44.0,11.0,7.0,0.0,32.0,36.0,12.0,14.0,6.0,8.0,,,,,90.0,67.0,7.4,8.0,0.00320047,103.5715340479,14.0,18.06,13.125,,1,,0.02,0.05,0.28,,,2.0,3.0,6.0,,1.0,1.0,2.0,,2.0,1.0,2.0,3.0,1.0,1.0,0.0233,-0.16,,,,,,,,,,,,,,,
14064446,home,RC Lens,Malang Sarr,,malang-sarr,M. Sarr,D,20,182,2159,M,826203,EUR,917049600,D,20,20,False,50.0,44.0,4.0,2.0,0.0,30.0,31.0,14.0,19.0,5.0,7.0,,,,,90.0,71.0,7.3,6.0,0.00683905,98.552360799792,15.0,43.365,9.975,,0,,0.19,0.08,0.35,,,1.0,4.0,4.0,1.0,,,2.0,,1.0,,8.0,2.0,1.0,,,,2.0,2.0,,,,,,,,,,,,,
14064446,home,RC Lens,Ruben Aguilar,,ruben-aguilar,R. Aguilar,M,2,172,407,M,579576,EUR,735782400,M,2,2,False,38.0,25.0,3.0,,0.0,15.0,16.0,10.0,22.0,1.0,5.0,,,,,90.0,72.0,6.7,20.0,0.0163895,111.11725291597,13.0,64.995,20.475,,3,,0.03,0.26,0.17,,4.0,1.0,3.0,2.0,,1.0,,1.0,,1.0,2.0,2.0,1.0,1.0,1.0,0.1394,-0.29,,,1.0,,,,,,,,,,,,
14064446,home,RC Lens,Mamadou Sangare,Mamadou Sangare,mamadou-sangare,M. Sangare,M,8,181,4819,M,1064697,EUR,1025049600,M,8,8,False,45.0,41.0,5.0,3.0,0.0,26.0,28.0,15.0,17.0,1.0,8.0,,,,,90.0,62.0,7.3,7.0,0.0126938,96.069166615338,14.0,23.31,5.565,,2,,0.16,0.09,-0.05,,,,3.0,7.0,2.0,2.0,1.0,,,,1.0,2.0,3.0,2.0,2.0,0.0502,-0.11,,3.0,,1.0,0.111,,,,,,,,,,
14064446,home,RC Lens,Adrien Thomasson,,adrien-thomasson,A. Thomasson,M,28,177,523,M,231946,EUR,755481600,M,28,28,False,46.0,33.0,3.0,,0.0,18.0,23.0,15.0,23.0,,8.0,,,,,89.0,61.0,6.2,16.0,0.0631145,43.298521590558,9.0,16.065,8.925,,1,,0.21,0.34,-0.18,,2.0,,11.0,3.0,5.0,2.0,2.0,4.0,,1.0,,,1.0,1.0,1.0,0.6177,-0.53,,,,1.0,0.374,True,1.0,1.0,1.0,1.0,,,,,
14064446,home,RC Lens,Matthieu Udol,,matthieu-udol,M. Udol,D,14,178,453,M,787827,EUR,827280000,M,14,14,False,35.0,33.0,4.0,2.0,2.0,18.0,18.0,15.0,17.0,3.0,3.0,,,,,90.0,57.0,8.2,9.0,0.503684,143.48243435704,13.0,108.57,33.39,,0,,0.76,0.27,0.27,,4.0,1.0,7.0,3.0,1.0,4.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,2.0,2.0,,4.0,1.0,,,,
14064446,home,RC Lens,Florian Thauvin,,florian-thauvin,F. Thauvin,F,24,179,8040,M,148824,EUR,728006400,F,10,10,False,25.0,18.0,,,0.0,8.0,10.0,10.0,15.0,1.0,3.0,,,,,78.0,46.0,6.5,20.0,0.0283604,201.4707598233,16.0,61.32,24.15,,1,,0.14,0.29,-0.02,,2.0,1.0,9.0,5.0,1.0,5.0,2.0,,,2.0,1.0,,1.0,1.0,5.0,0.133,-0.43,,1.0,,,,,,3.0,,1.0,,,,,
14064446,home,RC Lens,Wesley Saïd,,wesley-said,W. Saïd,F,22,171,742,M,227862,EUR,798249600,F,22,22,False,30.0,27.0,2.0,1.0,0.0,12.0,13.0,15.0,17.0,2.0,,,,,,78.0,38.0,6.9,5.0,0.121855,60.48859483589,8.0,9.765,4.41,,2,,0.29,0.08,0.21,,1.0,1.0,1.0,1.0,,,,,,1.0,,,,,1.0,0.1603,-0.35,,,1.0,1.0,0.0821,,,,,2.0,,,,,
