match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_dispossessed,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_bestBallCarryProgression,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_keyPass,stat_accurateCross,stat_aerialWon,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_outfielderBlock,stat_penaltyConceded,stat_fouls,stat_challengeLost,stat_errorLeadToAGoal,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_errorLeadToAShot,stat_wasFouled,stat_totalOffside,stat_blockedScoringAttempt,stat_goals,captain,player_sofascoreId,stat_shotOffTarget,stat_bigChanceMissed,stat_penaltyWon,stat_punches,stat_hitWoodwork
14064475,home,Paris FC,Kevin Trapp,kevin-trapp,K. Trapp,G,35,189,1793,M,38440,EUR,647395200,G,35,35,False,42.0,35.0,14.0,7.0,0.0,32.0,34.0,3.0,8.0,2.0,9.0,2.0,1.0,2.0,3.0,3.0,90.0,53.0,6.7,7.0,0.00128166,85.524840072297,13.0,21.426196754609,0.153,0,0.1003,0.05,0.0,-0.08,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14064475,home,Paris FC,Alimami Gory,alimami-gory,A. Gory,F,7,182,157,M,842399,EUR,841363200,D,7,7,False,12.0,11.0,,,0.0,7.0,8.0,4.0,4.0,1.0,1.0,,,,,,64.0,33.0,6.2,7.0,0.00172182,82.981672231585,8.0,21.891612295914,,0,,-0.09,0.17,-0.24,,,,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,21.960778871723,41.72597000687,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14064475,home,Paris FC,Moustapha Mbow,moustapha-mbow,M. Mbow,D,5,187,1699,M,982319,EUR,952473600,D,5,5,False,61.0,55.0,4.0,3.0,1.0,43.0,45.0,12.0,16.0,5.0,6.0,,,,,,90.0,75.0,7.2,7.0,0.183805,156.76046429182,24.0,-5.0408291269976,,0,,0.22,0.03,-0.1,,,,1.0,1.0,1.0,3.0,,,,,1.0,,,,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,
14064475,home,Paris FC,Timothée Kolodziejczak,timothee-kolodziejczak,T. Kolodziejczak,D,5,185,163,M,41605,EUR,686275200,D,15,15,False,47.0,43.0,4.0,3.0,0.0,32.0,34.0,11.0,13.0,6.0,6.0,,,,,,90.0,60.0,6.0,5.0,0.00247652,121.69713677517,18.0,34.864266820374,,0,,0.05,0.08,-0.54,,,,,1.0,3.0,2.0,,2.0,1.0,1.0,,,,,1.0,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,
14064475,home,Paris FC,Otávio,otavio,Otávio,D,6,188,1431,M,1069159,EUR,1019347200,D,6,6,False,44.0,40.0,8.0,5.0,0.0,23.0,25.0,17.0,19.0,4.0,7.0,,,,,,90.0,54.0,7.0,5.0,0.035172,173.61188739785,18.0,93.723326649687,,1,,0.24,0.13,-0.01,,,,,,3.0,2.0,,,1.0,1.0,,38.147677119138,59.968005090432,2.0,1.0,,1.0,,,,2.0,,1.0,2.0,,1.0,0.0174,0.1407,0.0,,,,,,,,,,,,
14064475,home,Paris FC,Nhoa Sangui,nhoa-sangui,N. Sangui,D,19,178,286,M,1426221,EUR,1140998400,D,19,19,False,30.0,25.0,3.0,1.0,0.0,10.0,12.0,15.0,18.0,2.0,1.0,,,,,,90.0,48.0,6.2,9.0,0.117837,97.011268028673,11.0,71.901284916629,,0,,0.14,0.07,-0.44,,,,3.0,,1.0,3.0,,,1.0,1.0,1.0,11.260436131619,13.688056837988,1.0,1.0,1.0,,1.0,,,,,,,,,,,,1.0,2.0,1.0,,,,,,,,,
14064475,home,Paris FC,Ilan Kebbal,ilan-kebbal,I. Kebbal,M,10,169,10601,M,1049442,EUR,900028800,M,10,10,False,76.0,66.0,3.0,3.0,0.0,26.0,27.0,40.0,49.0,,6.0,,,,,,90.0,94.0,8.2,18.0,0.408937,247.96556657657,32.0,81.563254953783,,2,,0.53,0.24,-0.09,,Ilan Kebbal,,6.0,,1.0,6.0,,1.0,1.0,,1.0,29.026000392551,65.006123580224,3.0,,,,2.0,1.0,,,,,,,1.0,0.8295,0.9908,0.32,,4.0,,1.0,1.0,,,,,,,
14064475,home,Paris FC,Maxime López,maxime-lopez,M. López,M,21,167,1284,M,352802,EUR,881193600,M,21,21,False,51.0,43.0,5.0,2.0,0.0,23.0,26.0,20.0,25.0,,2.0,,,,,,45.0,58.0,6.4,12.0,0.0826821,203.96837709749,23.0,2.2086319602215,,0,,0.09,0.02,-0.18,,,,2.0,,3.0,1.0,,1.0,1.0,1.0,1.0,,,,,1.0,,1.0,,,,,3.0,,,,,,,,,,,,True,,,,,,
14064475,home,Paris FC,Adama Camara,camara-adama,A. Camara,M,17,180,433,M,1507384,EUR,845596800,M,17,17,False,53.0,46.0,3.0,2.0,0.0,24.0,27.0,22.0,26.0,4.0,7.0,,,,,,86.0,70.0,6.8,9.0,0.0195276,194.32474929026,23.0,27.895538217586,,0,,0.1,0.09,-0.02,,Adama Camara,,,1.0,2.0,4.0,,2.0,2.0,1.0,2.0,41.112150809203,46.770984605843,1.0,,,,1.0,1.0,,1.0,,2.0,,,,,,,,1.0,,,,,,,,,,
14064475,home,Paris FC,Moses Simon,moses-simon,M. Simon,F,27,168,4098,M,330051,EUR,805507200,M,27,27,False,15.0,14.0,,,0.0,4.0,4.0,10.0,11.0,,1.0,,,,,,64.0,23.0,6.2,7.0,0.0290696,101.40451530391,12.0,28.928909196832,,0,,-0.05,0.1,-0.12,,,,3.0,1.0,2.0,,,,,,2.0,12.961466870005,26.916696168837,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
