match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,captain,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalClearance,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_aerialWon,stat_keyPass,stat_shotOffTarget,stat_expectedGoals,stat_shotValueNormalized,stat_challengeLost,stat_totalContest,stat_totalTackle,stat_wonTackle,player_firstName,player_lastName,stat_wonContest,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_accurateCross,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_totalOffside,stat_bigChanceMissed,stat_goals,player_sofascoreId,stat_goodHighClaim,stat_outfielderBlock
14053652,home,Fortuna Sittard,Mattijs Branderhorst,mattijs-branderhorst,M. Branderhorst,G,31,192,151,M,146871,EUR,757296000,G,31,31,False,21.0,6.0,20.0,5.0,0.0,1.0,1.0,5.0,20.0,5.0,1.0,2.0,2.0,90.0,24.0,6.1,15.0,0.00698218,22.332862185964,4.0,19.845,6.195,0.4468,0,0.0123,0.07,0.01,-0.4,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053652,home,Fortuna Sittard,Ivo Pinto,ivo-pinto,I. Pinto,D,12,184,113,M,78730,EUR,631670400,D,12,12,False,25.0,17.0,6.0,1.0,0.0,4.0,6.0,13.0,19.0,4.0,,,,90.0,45.0,6.0,21.0,0.0125206,43.627451404232,7.0,38.955,13.335,,0,,-0.09,0.03,-0.19,,True,2.0,1.0,7.0,2.0,5.0,1.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
14053652,home,Fortuna Sittard,Shawn Adewoye,shawn-adewoye,S. Adewoye,D,4,183,156,M,989586,EUR,962236800,D,4,4,False,31.0,27.0,5.0,3.0,0.0,19.0,20.0,8.0,11.0,4.0,,,,90.0,41.0,6.3,6.0,0.0143991,93.562945748282,11.0,28.14,24.465,,0,,0.06,0.04,-0.14,,,,2.0,6.0,5.0,1.0,3.0,,1.0,3.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
14053652,home,Fortuna Sittard,Iván Márquez,ivan-marquez,I. Márquez,D,44,191,78,M,862479,EUR,771120000,D,44,44,False,37.0,34.0,4.0,3.0,0.0,24.0,24.0,10.0,13.0,1.0,,,,90.0,51.0,6.5,3.0,0.00349513,57.11061379197,11.0,1.26,3.885,,2,,0.12,0.03,-0.04,,,,1.0,1.0,2.0,,10.0,2.0,,,,2.0,,2.0,0.2146,-0.61,,,,,,,,,,,,,,,,,,
14053652,home,Fortuna Sittard,Jasper Dahlhaus,jasper-dahlhaus,J. Dahlhaus,D,8,176,32,M,1048758,EUR,1006819200,D,8,8,False,28.0,25.0,4.0,3.0,0.0,11.0,12.0,14.0,16.0,5.0,,,,71.0,45.0,6.6,6.0,0.0115448,168.53283185351,15.0,112.035,36.855,,0,,0.07,0.26,-0.15,,,1.0,1.0,4.0,4.0,,1.0,2.0,1.0,3.0,1.0,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
14053652,home,Fortuna Sittard,Édouard Michut,edouard-michut,É. Michut,M,20,178,697,M,1048011,EUR,1046736000,M,20,20,False,30.0,27.0,1.0,1.0,0.0,13.0,14.0,14.0,16.0,3.0,,,,90.0,50.0,7.2,5.0,0.0163789,109.88399499793,14.0,57.225,25.2,,4,,0.0,0.33,0.21,,,1.0,1.0,4.0,7.0,,5.0,3.0,1.0,3.0,3.0,1.0,3.0,3.0,0.1818,-0.22,,1.0,2.0,2.0,,,1.0,1.0,0.0603,,,,,,,,,
14053652,home,Fortuna Sittard,Ryan Fosso,ryan-fosso,R. Fosso,M,80,183,188,M,1142147,EUR,1024272000,M,80,80,False,31.0,24.0,2.0,1.0,0.0,16.0,17.0,8.0,14.0,1.0,,,,90.0,40.0,6.2,8.0,0.0045432,33.728272951544,6.0,-16.695,0.525,,1,,0.07,0.02,-0.09,,,,,6.0,2.0,1.0,4.0,2.0,,1.0,4.0,1.0,1.0,1.0,0.0252,-0.13,1.0,,,,Ryan,Fosso,,,,,,,,,,,,
14053652,home,Fortuna Sittard,Dimitris Limnios,dimitris-limnios,D. Limnios,M,18,178,423,M,591044,EUR,896227200,M,18,18,False,12.0,8.0,1.0,,0.0,,2.0,8.0,10.0,1.0,,,,67.0,18.0,6.2,6.0,0.0170827,56.653790209925,6.0,32.76,11.55,,1,,0.0,0.07,-0.11,,,1.0,1.0,2.0,1.0,,,,1.0,,,1.0,,,0.1014,-0.32,1.0,,,,,,,1.0,0.1326,,,,,,,,,
14053652,home,Fortuna Sittard,Mohamed Ihattaren,mohamed-ihattaren,M. Ihattaren,M,52,182,2918,M,929633,EUR,1013472000,M,52,52,False,40.0,34.0,4.0,3.0,1.0,8.0,8.0,26.0,32.0,4.0,,,,88.0,68.0,8.4,13.0,0.670899,57.365785827354,11.0,30.975,11.235,,5,,0.7,0.31,-0.04,,,7.0,,1.0,6.0,1.0,1.0,,2.0,3.0,,,8.0,,0.1139,-0.17,,3.0,,,,,3.0,2.0,0.1145,3.0,1.0,3.0,1.0,,,,,
14053652,home,Fortuna Sittard,Kristoffer Peterson,kristoffer-peterson,K. Peterson,M,7,180,133,M,366942,EUR,785980800,M,7,7,False,28.0,23.0,3.0,1.0,0.0,3.0,4.0,20.0,24.0,3.0,,,,67.0,55.0,8.2,16.0,0.052308,191.93091821196,18.0,102.375,25.83,,4,,-0.13,0.72,-0.08,,,10.0,1.0,5.0,7.0,1.0,2.0,,1.0,1.0,2.0,2.0,,1.0,0.6315,0.49,1.0,2.0,2.0,,,,2.0,1.0,0.197,1.0,,2.0,,1.0,1.0,,,
