match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_shotValueNormalized,stat_aerialLost,stat_aerialWon,stat_outfielderBlock,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_bigChanceCreated,stat_shotOffTarget,stat_bigChanceMissed,captain,stat_hitWoodwork,stat_totalOffside,stat_goodHighClaim,stat_errorLeadToAShot
14131917,home,Famalicão,Lazar Carević,lazar-carevic,L. Carević,G,25,195,237,M,886204,EUR,921542400,G,25,25,False,16.0,12.0,7.0,3.0,0.0,11.0,12.0,1.0,4.0,2.0,7.0,3.0,3.0,1.0,2.0,2.0,90.0,23.0,8.1,4.0,0.00067135,0.7176,0,0.8004,0.01,0.01,0.22,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131917,home,Famalicão,Rodrigo Pinheiro,pinheiro-rodrigo,R. Pinheiro,D,17,181,262,M,991924,EUR,1030492800,D,17,17,False,48.0,43.0,2.0,1.0,0.0,14.0,14.0,29.0,34.0,1.0,4.0,,,,,,90.0,67.0,7.3,11.0,0.235488,,2,,0.48,0.31,0.16,,6.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,0.0779,0.2354,2.0,-0.28,,,,,,,,,,,,,,,
14131917,home,Famalicão,Léo Realpe,leonardo-realpe,L. Realpe,D,3,186,467,M,977676,EUR,983145600,D,3,3,False,58.0,47.0,7.0,2.0,0.0,19.0,20.0,28.0,38.0,2.0,6.0,,,,,,90.0,70.0,6.9,13.0,0.0168792,,0,,0.28,0.15,0.15,,4.0,5.0,2.0,,,,,,1.0,1.0,,2.0,,1.0,,,,,1.0,4.0,1.0,,,,,,,,,,,,
14131917,home,Famalicão,Justin De Haas,justin-de-haas,J. De Haas,D,16,192,307,M,876255,EUR,949363200,D,16,16,False,71.0,62.0,10.0,6.0,0.0,23.0,24.0,39.0,47.0,4.0,3.0,,,,,,90.0,86.0,7.7,10.0,0.0182097,,0,,0.26,0.12,0.33,,4.0,8.0,1.0,,,,,,,5.0,2.0,1.0,2.0,1.0,,,1.0,,2.0,1.0,,,,,,,,,,,,,
14131917,home,Famalicão,Rafa Soares,rafa-soares,R. Soares,D,5,177,195,M,190137,EUR,799977600,D,5,5,False,24.0,20.0,1.0,1.0,0.0,2.0,3.0,18.0,21.0,1.0,1.0,,,,,,45.0,31.0,6.7,4.0,0.143071,,0,,0.31,0.07,0.14,,5.0,,2.0,,,,,,1.0,,,,,2.0,,,2.0,,1.0,,1.0,,,1.0,1.0,,,,,,,,
14131917,home,Famalicão,Tom Van De Looi,tom-van-de-looi,T. V. D. Looi,M,6,186,105,M,836676,EUR,930873600,M,6,6,False,67.0,56.0,2.0,1.0,0.0,20.0,20.0,36.0,47.0,,9.0,,,,,,90.0,77.0,7.4,12.0,0.580086,,3,,0.57,0.12,0.15,,4.0,4.0,,,,,,1.0,,2.0,1.0,,,3.0,0.2129,,1.0,-0.33,1.0,2.0,,,,,,1.0,2.0,,,,,,
14131917,home,Famalicão,Mathias De Amorim,de-amorim-mathias,M. D. Amorim,M,14,178,237,M,1511656,EUR,1102636800,M,14,14,False,31.0,27.0,3.0,3.0,0.0,5.0,6.0,22.0,25.0,1.0,6.0,,,,,,79.0,56.0,6.3,14.0,0.135992,,5,,0.07,0.05,-0.01,,6.0,4.0,1.0,1.0,3.0,2.0,,2.0,,1.0,1.0,5.0,1.0,3.0,0.4709,,1.0,-0.57,,,,,,2.0,,1.0,3.0,,,,,,
14131917,home,Famalicão,Gil Dias,gil-dias,Gil,M,23,186,342,M,583838,EUR,843868800,M,23,23,False,21.0,17.0,,,0.0,2.0,2.0,15.0,19.0,,1.0,,,,,,64.0,41.0,6.6,13.0,0.130298,,5,,0.34,0.32,-0.05,,5.0,3.0,1.0,2.0,,,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,0.4943,0.1606,1.0,-0.62,1.0,1.0,,,,3.0,,,3.0,2.0,,,,,
14131917,home,Famalicão,Gustavo Sá,gustavo-sa,G. Sá,M,20,186,1268,M,1563665,EUR,1100131200,M,20,20,False,49.0,38.0,6.0,5.0,0.0,5.0,7.0,33.0,42.0,,5.0,,,,,,90.0,65.0,7.2,18.0,0.327509,,5,,0.48,0.08,0.13,,6.0,7.0,,1.0,,,1.0,2.0,,,,4.0,3.0,2.0,0.2356,0.0898,1.0,-0.55,3.0,4.0,,,,1.0,,,2.0,,True,1.0,,,
14131917,home,Famalicão,Sorriso,sorriso,Sorriso,M,7,175,556,M,1105595,EUR,982886400,M,7,7,False,40.0,34.0,3.0,3.0,0.0,6.0,6.0,28.0,34.0,2.0,4.0,,,,,,90.0,74.0,7.2,21.0,0.448033,,5,,0.53,0.27,-0.07,,7.0,6.0,2.0,1.0,2.0,,2.0,2.0,1.0,2.0,1.0,1.0,2.0,,0.557,0.8699,4.0,0.07,2.0,2.0,,Sorriso,,14.0,3.0,1.0,1.0,2.0,,,,,
