match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_crossNotClaimed,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,stat_dribbleValueNormalized,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_totalTackle,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_clearanceOffLine,stat_wonTackle,stat_bigChanceCreated,stat_challengeLost,stat_wonContest,stat_wasFouled,stat_hitWoodwork,captain,stat_goals,stat_blockedScoringAttempt,stat_totalOffside,stat_goodHighClaim,stat_punches
14131929,home,Vitória SC,Juan Castillo,Juan Castillo,,juan-castillo,J. Castillo,G,25,191,379,M,1175004,EUR,1042416000,G,25,25,False,15.0,9.0,7.0,1.0,0.0,8.0,8.0,1.0,7.0,7.0,1.0,2.0,3.0,90.0,21.0,6.2,6.0,0.00040364,0.1789,0,-0.0863,0.04,-0.07,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131929,home,Vitória SC,Miguel Maga,Miguel Maga,,miguel-maga,M. Maga,D,2,175,180,M,1131047,EUR,1037404800,D,2,2,False,45.0,37.0,2.0,,0.0,15.0,19.0,22.0,26.0,6.0,,,,90.0,68.0,6.3,14.0,0.11025,,1,,0.3,-0.18,,3.0,1.0,3.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0229,1.0,-0.03,0.1,,,,,,,,,,,,,,,,,,
14131929,home,Vitória SC,Óscar Rivas,Óscar Rivas,,oscar-rivas,Ó. Rivas,D,4,190,113,M,1168093,EUR,954115200,D,4,4,False,59.0,52.0,7.0,3.0,0.0,30.0,30.0,22.0,29.0,6.0,,,,90.0,72.0,6.9,9.0,0.0130999,,2,,0.25,-0.11,,,,1.0,3.0,3.0,4.0,,1.0,1.0,4.0,3.0,1.0,1.0,0.2,1.0,0.12,0.09,1.0,1.0,1.0,0.6531,,,,,,,,,,,,,,
14131929,home,Vitória SC,Rodrigo Abascal,,,rodrigo-abascal,R. Abascal,D,26,190,156,M,846416,EUR,758505600,D,26,26,False,49.0,41.0,7.0,3.0,0.0,21.0,25.0,20.0,24.0,4.0,,,,90.0,72.0,7.7,15.0,0.0181879,,1,,0.1,0.31,,3.0,1.0,2.0,2.0,5.0,5.0,,,,7.0,,,3.0,0.1801,,0.17,0.05,1.0,1.0,3.0,0.3839,1.0,1.0,1.0,,,,,,,,,,,
14131929,home,Vitória SC,João Mendes,,,joao-mendes,J. Mendes,D,13,179,180,M,1133568,EUR,955584000,D,13,13,False,25.0,22.0,5.0,3.0,0.0,8.0,9.0,14.0,16.0,2.0,,,,45.0,36.0,7.0,5.0,0.225235,,0,,0.37,-0.18,,2.0,1.0,,2.0,1.0,3.0,,,,2.0,1.0,,1.0,,2.0,,0.03,,,1.0,,,,1.0,1.0,,,,,,,,,,
14131929,home,Vitória SC,Beni Mukendi,,,beni-mukendi,B. Mukendi,M,16,180,646,M,1002367,EUR,1021939200,M,16,16,False,49.0,40.0,4.0,4.0,0.0,15.0,16.0,25.0,33.0,8.0,,,,59.0,62.0,6.0,14.0,0.030341,,0,,0.09,-0.12,,,,2.0,1.0,6.0,4.0,,4.0,,,3.0,3.0,2.0,,,,0.16,,,,,,,,,1.0,2.0,1.0,,,,,,,
14131929,home,Vitória SC,Miguel Nogueira,,,nogueira-miguel,M. Nogueira,M,88,182,50,M,2140143,EUR,1109462400,M,88,88,False,15.0,9.0,,,0.0,2.0,3.0,7.0,12.0,1.0,,,,45.0,22.0,6.1,10.0,0.0261417,,0,,-0.13,-0.07,,,,1.0,1.0,3.0,1.0,2.0,,,,,2.0,,,,,-0.54,,,,,,,,,,,,,,,,,,
14131929,home,Vitória SC,Noah Saviolo,Noah Saviolo,,noah-saviolo,N. Saviolo,F,48,181,167,M,1153328,EUR,1078617600,M,48,48,False,10.0,7.0,,,0.0,1.0,1.0,6.0,9.0,2.0,,,,70.0,24.0,6.3,11.0,0.00439564,,2,,-0.07,-0.06,,3.0,,,1.0,5.0,3.0,,5.0,,,,2.0,3.0,0.1162,,0.08,0.25,2.0,,,0.325,,,,,,2.0,,1.0,,,,,,
14131929,home,Vitória SC,Samu,,,samu,Samu,M,20,170,212,M,785808,EUR,830044800,M,20,20,False,35.0,29.0,1.0,1.0,1.0,6.0,6.0,23.0,29.0,6.0,,,,90.0,61.0,8.4,18.0,0.404223,,1,,0.63,0.26,,12.0,3.0,1.0,1.0,4.0,5.0,2.0,2.0,,2.0,,1.0,1.0,0.7716,1.0,0.32,0.11,1.0,,1.0,0.3547,,,,1.0,,2.0,1.0,,True,1.0,,,,
14131929,home,Vitória SC,Fabio Blanco,,,blanco-fabio,F. Blanco,M,22,179,419,M,1130363,EUR,1077062400,M,22,22,False,21.0,16.0,1.0,1.0,0.0,2.0,3.0,14.0,18.0,1.0,,,,90.0,47.0,7.3,15.0,0.114136,,3,,0.32,-0.08,,3.0,,1.0,,5.0,9.0,2.0,4.0,2.0,,,5.0,2.0,0.201,,-0.47,-1.0,1.0,,2.0,0.0201,,,2.0,,,4.0,3.0,1.0,,,,,,
14131929,home,Vitória SC,Nélson Oliveira,,,nelson-oliveira,N. Oliveira,F,7,186,461,M,42898,EUR,681609600,F,7,7,False,12.0,11.0,,,0.0,3.0,4.0,8.0,8.0,1.0,,,,45.0,19.0,7.0,5.0,0.0640924,,0,,0.2,0.13,,1.0,,1.0,1.0,2.0,2.0,,1.0,,,,2.0,,,,,0.04,,,,,,,,,,,1.0,,,,,,,
