match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_totalOffside,stat_expectedGoals,stat_shotValueNormalized,stat_aerialLost,stat_aerialWon,stat_totalTackle,stat_wonTackle,stat_totalCross,stat_accurateCross,stat_keyPass,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_blockedScoringAttempt,stat_goals,stat_bigChanceCreated,stat_errorLeadToAShot,stat_bigChanceMissed
14131948,home,FC Porto,Diogo Costa,diogo-costa,D. Costa,G,99,186,12694,M,diogomcosta99,843115,EUR,937699200,G,99,99,False,True,44.0,26.0,23.0,7.0,0.0,22.0,26.0,4.0,18.0,8.0,2.0,2.0,1.0,1.0,90.0,48.0,7.1,19.0,0.00279944,0.3137,0,0.1709,0.04,0.01,-0.03,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131948,home,FC Porto,Alberto Costa,alberto-baio,A. Costa,D,20,185,2748,M,,1160957,EUR,1064793600,D,20,20,False,,31.0,25.0,7.0,5.0,0.0,19.0,20.0,6.0,11.0,7.0,,,,,90.0,55.0,6.3,13.0,0.00648665,,1,,0.03,0.1,-0.19,,Alberto Baio,,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,0.0262,-0.13,,,,,,,,,,,,,,
14131948,home,FC Porto,Jan Bednarek,jan-bednarek,J. Bednarek,D,5,189,6978,M,janbednarek_,286085,EUR,829267200,D,5,5,False,,39.0,36.0,1.0,,0.0,24.0,26.0,12.0,13.0,3.0,,,,,90.0,48.0,6.5,4.0,0.275702,,0,,0.28,0.03,-0.12,,,,6.0,3.0,,,,,,7.0,,,1.0,1.0,3.0,,,,4.0,2.0,,,,,,,,,,,,
14131948,home,FC Porto,Jakub Kiwior,kiwior-jakub,J. Kiwior,D,4,189,15163,M,j_kiwior,976037,EUR,950572800,D,4,4,False,,50.0,37.0,9.0,2.0,0.0,30.0,34.0,7.0,16.0,7.0,,,,,90.0,63.0,7.0,14.0,0.00510991,,0,,0.03,0.1,0.25,,,,3.0,8.0,,1.0,1.0,1.0,,3.0,2.0,2.0,,,2.0,,,,,3.0,4.0,3.0,,,,,,,,,,
14131948,home,FC Porto,Francisco Moura,francisco-moura,F. Moura,D,74,181,1191,M,,985138,EUR,934761600,D,74,74,False,,15.0,10.0,,,0.0,5.0,9.0,5.0,6.0,,,,,,57.0,30.0,6.1,8.0,0.024073,,0,,-0.05,0.04,-0.22,,,,2.0,3.0,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,2.0,,2.0,1.0,,,,,,,,
14131948,home,FC Porto,Victor Froholdt,victor-froholdt,V. Froholdt,M,8,187,3948,M,,1406639,EUR,1140825600,M,8,8,False,,21.0,16.0,1.0,,0.0,7.0,10.0,9.0,11.0,2.0,,,,,90.0,32.0,6.4,8.0,0.0151562,,0,,0.06,0.05,-0.13,,,,6.0,4.0,1.0,1.0,,,,2.0,,,1.0,1.0,3.0,,,,1.0,1.0,2.0,,,,2.0,,,,,,,
14131948,home,FC Porto,Alan Varela,alan-varela,A. Varela,M,22,177,5689,M,alan_varela01,1066560,EUR,994204800,M,22,22,False,,26.0,18.0,5.0,1.0,0.0,12.0,13.0,6.0,13.0,4.0,,,,,90.0,37.0,7.0,10.0,0.00484337,,1,,-0.03,0.02,0.37,,Alan Varela,,2.0,3.0,2.0,,,,,3.0,1.0,1.0,1.0,2.0,,,0.0389,-0.04,,1.0,,,,,,1.0,0.056,,,,,
14131948,home,FC Porto,Rodrigo Mora,mora-rodrigo,R. Mora,M,86,168,13996,M,,1410240,EUR,1178323200,M,86,86,False,,9.0,8.0,,,0.0,2.0,2.0,6.0,7.0,2.0,,,,,57.0,19.0,7.0,3.0,0.0184598,,2,,0.08,0.14,-0.07,,Rodrigo Mora,,3.0,2.0,1.0,,2.0,1.0,,2.0,,1.0,,,1.0,,0.0471,0.3,,1.0,,,1.0,,1.0,1.0,0.1235,1.0,1.0,,,
14131948,home,FC Porto,William Gomes,william-gomes,W. Gomes,F,7,171,4700,M,,1639250,EUR,1142380800,F,7,7,False,,9.0,3.0,,,0.0,,2.0,3.0,7.0,,,,,,73.0,16.0,6.6,9.0,0.0151421,,1,,-0.18,0.29,-0.01,,William Gomes Carvalho Santos,,,2.0,,,,,,,,1.0,1.0,1.0,,1.0,0.0762,-0.26,,1.0,,,2.0,,,,,1.0,,,,
14131948,home,FC Porto,Samu Aghehowa,omorodion-samuel,S. Aghehowa,F,9,193,14784,M,samuaghehowa9,1503836,EUR,1083715200,F,9,9,False,,11.0,5.0,1.0,1.0,1.0,1.0,1.0,4.0,10.0,3.0,,,,,64.0,22.0,6.6,9.0,0.00372468,,2,,-0.34,0.14,-0.04,,Samuel,Aghehowa,7.0,5.0,1.0,1.0,1.0,1.0,,,,1.0,2.0,3.0,2.0,,0.0302,0.28,3.0,1.0,,,,,1.0,1.0,0.0606,1.0,,,,
