match_id,period,group,name,home,away
14429532,ALL,Match overview,Ball possession,56%,44%
14429532,ALL,Match overview,Expected goals,1.70,2.31
14429532,ALL,Match overview,Big chances,3,5
14429532,ALL,Match overview,Total shots,13,10
14429532,ALL,Match overview,Goalkeeper saves,1,3
14429532,ALL,Match overview,Corner kicks,5,5
14429532,ALL,Match overview,Fouls,15,18
14429532,ALL,Match overview,Passes,372,304
14429532,ALL,Match overview,Tackles,15,13
14429532,ALL,Match overview,Free kicks,17,14
14429532,ALL,Match overview,Yellow cards,1,6
14429532,ALL,Shots,Total shots,13,10
14429532,ALL,Shots,Shots on target,4,5
14429532,ALL,Shots,Hit woodwork,0,0
14429532,ALL,Shots,Shots off target,4,5
14429532,ALL,Shots,Blocked shots,5,0
14429532,ALL,Shots,Shots inside box,8,7
14429532,ALL,Shots,Shots outside box,5,3
14429532,ALL,Attack,Big chances scored,1,4
14429532,ALL,Attack,Big chances missed,2,1
14429532,ALL,Attack,Through balls,0,1
14429532,ALL,Attack,Touches in penalty area,22,11
14429532,ALL,Attack,Fouled in final third,6,1
14429532,ALL,Passes,Accurate passes,321,233
14429532,ALL,Passes,Throw-ins,21,15
14429532,ALL,Passes,Final third entries,62,29
14429532,ALL,Passes,Final third phase,91/132 (69%),39/59 (66%)
14429532,ALL,Passes,Long balls,29/50 (58%),32/55 (58%)
14429532,ALL,Passes,Crosses,3/27 (11%),4/13 (31%)
14429532,ALL,Duels,Duels,55%,45%
14429532,ALL,Duels,Dispossessed,5,8
14429532,ALL,Duels,Ground duels,36/63 (57%),27/63 (43%)
14429532,ALL,Duels,Aerial duels,9/19 (47%),10/19 (53%)
14429532,ALL,Duels,Dribbles,5/13 (38%),1/8 (13%)
14429532,ALL,Defending,Tackles won,60%,69%
14429532,ALL,Defending,Total tackles,15,13
14429532,ALL,Defending,Interceptions,6,4
14429532,ALL,Defending,Recoveries,38,44
14429532,ALL,Defending,Clearances,16,29
14429532,ALL,Goalkeeping,Total saves,1,3
14429532,ALL,Goalkeeping,Goals prevented,-0.92,0.56
14429532,ALL,Goalkeeping,Big saves,1,2
14429532,ALL,Goalkeeping,High claims,0,2
14429532,ALL,Goalkeeping,Punches,0,1
14429532,ALL,Goalkeeping,Goal kicks,7,13
14429532,1ST,Match overview,Ball possession,51%,49%
14429532,1ST,Match overview,Expected goals,0.63,0.28
14429532,1ST,Match overview,Big chances,1,1
14429532,1ST,Match overview,Total shots,7,4
14429532,1ST,Match overview,Goalkeeper saves,0,3
14429532,1ST,Match overview,Corner kicks,4,2
14429532,1ST,Match overview,Passes,181,177
14429532,1ST,Match overview,Tackles,7,4
14429532,1ST,Match overview,Free kicks,10,7
14429532,1ST,Match overview,Yellow cards,0,2
14429532,1ST,Shots,Total shots,7,4
14429532,1ST,Shots,Shots on target,3,1
14429532,1ST,Shots,Hit woodwork,0,0
14429532,1ST,Shots,Shots off target,2,3
14429532,1ST,Shots,Blocked shots,2,0
14429532,1ST,Shots,Shots inside box,3,3
14429532,1ST,Shots,Shots outside box,4,1
14429532,1ST,Attack,Big chances scored,0,1
14429532,1ST,Attack,Big chances missed,1,0
14429532,1ST,Attack,Through balls,0,0
14429532,1ST,Attack,Fouled in final third,2,0
14429532,1ST,Passes,Accurate passes,151,136
14429532,1ST,Passes,Throw-ins,14,7
14429532,1ST,Passes,Final third entries,29,16
14429532,1ST,Passes,Long balls,14/27 (52%),18/30 (60%)
14429532,1ST,Passes,Crosses,1/11 (9%),3/9 (33%)
14429532,1ST,Duels,Duels,60%,40%
14429532,1ST,Duels,Dispossessed,2,4
14429532,1ST,Duels,Ground duels,19/29 (66%),10/29 (34%)
14429532,1ST,Duels,Aerial duels,6/13 (46%),7/13 (54%)
14429532,1ST,Duels,Dribbles,3/5 (60%),1/4 (25%)
14429532,1ST,Defending,Tackles won,43%,100%
14429532,1ST,Defending,Total tackles,7,4
14429532,1ST,Defending,Interceptions,6,3
14429532,1ST,Defending,Recoveries,19,25
14429532,1ST,Defending,Clearances,7,15
14429532,1ST,Goalkeeping,Total saves,0,3
14429532,1ST,Goalkeeping,Goal kicks,5,6
14429532,2ND,Match overview,Ball possession,61%,39%
14429532,2ND,Match overview,Expected goals,1.07,2.03
14429532,2ND,Match overview,Big chances,2,4
14429532,2ND,Match overview,Total shots,6,6
14429532,2ND,Match overview,Goalkeeper saves,1,0
14429532,2ND,Match overview,Corner kicks,1,3
14429532,2ND,Match overview,Passes,191,127
14429532,2ND,Match overview,Tackles,8,9
14429532,2ND,Match overview,Free kicks,7,7
14429532,2ND,Match overview,Yellow cards,1,4
14429532,2ND,Shots,Total shots,6,6
14429532,2ND,Shots,Shots on target,1,4
14429532,2ND,Shots,Hit woodwork,0,0
14429532,2ND,Shots,Shots off target,2,2
14429532,2ND,Shots,Blocked shots,3,0
14429532,2ND,Shots,Shots inside box,5,4
14429532,2ND,Shots,Shots outside box,1,2
14429532,2ND,Attack,Big chances scored,1,3
14429532,2ND,Attack,Big chances missed,1,1
14429532,2ND,Attack,Through balls,0,1
14429532,2ND,Attack,Fouled in final third,4,1
14429532,2ND,Passes,Accurate passes,170,97
14429532,2ND,Passes,Throw-ins,7,8
14429532,2ND,Passes,Final third entries,33,13
14429532,2ND,Passes,Long balls,15/23 (65%),14/25 (56%)
14429532,2ND,Passes,Crosses,2/16 (13%),1/4 (25%)
14429532,2ND,Duels,Duels,50%,50%
14429532,2ND,Duels,Dispossessed,3,4
14429532,2ND,Duels,Ground duels,17/34 (50%),17/34 (50%)
14429532,2ND,Duels,Aerial duels,3/6 (50%),3/6 (50%)
14429532,2ND,Duels,Dribbles,2/8 (25%),0/4 (0%)
14429532,2ND,Defending,Tackles won,75%,56%
14429532,2ND,Defending,Total tackles,8,9
14429532,2ND,Defending,Interceptions,0,1
14429532,2ND,Defending,Recoveries,19,19
14429532,2ND,Defending,Clearances,9,14
14429532,2ND,Goalkeeping,Total saves,1,0
14429532,2ND,Goalkeeping,Goal kicks,2,7
