match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialLost,stat_challengeLost,stat_blockedScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_expectedGoals,stat_shotValueNormalized,player_firstName,player_lastName,stat_totalCross,stat_totalOffside,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_shotOffTarget,captain,stat_bigChanceMissed,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_accurateCross,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,player_sofascoreId,stat_goals
14771945,home,Al-Kholood,Juan Cozzani,juan-cozzani,J. Cozzani,G,31,184.0,130,M,874969,EUR,907891200.0,G,31,31,False,38.0,25.0,17.0,6.0,0.0,21.0,27.0,4.0,11.0,2.0,10.0,2.0,3.0,4.0,2.0,90.0,52.0,6.7,14.0,0.00086551,71.899971066517,11.0,29.715,12.705,0.3302,0,-0.008,0.0,0.02,-0.04,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14771945,home,Al-Kholood,Ramzi Sawlan,sawlan-ramzi,R. Sawlan,D,15,,23,M,965309,EUR,892857600.0,D,15,15,False,40.0,30.0,6.0,3.0,0.0,21.0,27.0,9.0,13.0,4.0,6.0,,,,,90.0,67.0,7.0,15.0,0.0163563,89.761284891804,10.0,48.09,16.38,,0,,0.28,0.1,-0.21,,1.0,5.0,10.0,2.0,3.0,2.0,4.0,3.0,1.0,1.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
14771945,home,Al-Kholood,Norbert Gyömbér,norbert-gyomber,N. Gyömbér,D,23,189.0,303,M,224456,EUR,710121600.0,D,23,23,False,33.0,27.0,4.0,1.0,0.0,22.0,26.0,5.0,7.0,7.0,3.0,,,,,90.0,53.0,6.9,6.0,0.00446762,98.203927266772,16.0,14.7,10.71,,1,,0.07,0.04,0.18,,2.0,2.0,5.0,,1.0,1.0,1.0,1.0,,,1.0,,,1.0,1.0,1.0,1.0,3.0,0.0424,0.0,,,,,,,,,,,,,,,,,
14771945,home,Al-Kholood,Shaquille Pinas,shaquille-pinas,S. Pinas,D,38,182.0,296,M,867530,EUR,890265600.0,D,38,38,False,41.0,35.0,5.0,4.0,0.0,25.0,30.0,10.0,11.0,4.0,3.0,,,,,90.0,53.0,6.5,12.0,0.00264319,158.86508996098,18.0,60.585,17.325,,1,,0.04,0.05,-0.07,,1.0,3.0,1.0,,,,,,,1.0,,,,3.0,,1.0,,,0.1301,0.02,,,5.0,,,,,,,,,,,,,,
14771945,home,Al-Kholood,Sultan Al Shehri,sultan-al-shehri,S. A. Shehri,D,7,179.0,16,M,1549237,EUR,804729600.0,D,7,7,False,13.0,11.0,,,0.0,4.0,6.0,7.0,7.0,3.0,4.0,,,,,87.0,38.0,6.5,12.0,0.0153488,77.547654019697,9.0,32.235,17.115,,0,,0.01,0.16,-0.14,,,5.0,4.0,,7.0,4.0,,,,4.0,,,,,2.0,,,,,,Sultan Al Shehri,,2.0,1.0,31.791224420976,2.0,,,,,,,,,,,
14771945,home,Al-Kholood,Abdulrahman Al Dosari,abdulrahman-al-dosari,A. A. Dosari,M,39,178.0,33,M,832313,EUR,875145600.0,M,39,39,False,31.0,30.0,1.0,1.0,0.0,19.0,19.0,11.0,12.0,,7.0,,,,,87.0,40.0,7.1,1.0,0.00410435,71.183045112331,12.0,9.555,11.445,,1,,0.04,0.13,0.2,,2.0,3.0,7.0,,,,4.0,2.0,,,1.0,1.0,,1.0,1.0,,,,0.0905,-0.21,,,,,,,1.0,,,,,,,,,,
14771945,home,Al-Kholood,John Buckley,john-buckley,J. Buckley,M,6,173.0,168,M,970441,EUR,939772800.0,M,6,6,False,38.0,30.0,6.0,4.0,0.0,13.0,15.0,17.0,23.0,1.0,4.0,,,,,90.0,57.0,7.4,13.0,0.0140402,113.74784641925,16.0,51.24,11.97,,1,,0.13,0.12,0.21,,,2.0,9.0,,1.0,1.0,3.0,1.0,,,5.0,2.0,,,,,1.0,1.0,0.0159,-0.03,,,3.0,,,,1.0,,,,,,,,,,
14771945,home,Al-Kholood,Abdulaziz Al-Aliwa,abdulaziz-al-aliwa,A. Al-Aliwa,M,46,182.0,344,M,1067777,EUR,1076457600.0,M,46,46,False,26.0,19.0,3.0,2.0,0.0,5.0,7.0,14.0,19.0,,9.0,,,,,90.0,53.0,6.8,14.0,0.0303376,165.71398165267,18.0,65.73,13.65,,2,,0.13,0.35,-0.07,,,5.0,6.0,,7.0,3.0,1.0,1.0,,3.0,2.0,,1.0,,1.0,,,6.0,0.0587,-0.45,,,,2.0,61.884548991328,4.0,2.0,,,,,,,,,,
14771945,home,Al-Kholood,Hattan Bahebri,hattan-bahebri,H. Bahbri,M,11,168.0,92,M,803052,EUR,711244800.0,M,11,11,False,27.0,16.0,3.0,,0.0,6.0,6.0,10.0,21.0,1.0,4.0,,,,,72.0,38.0,6.3,16.0,0.0285375,128.12933431523,14.0,26.04,21.0,,1,,-0.02,0.16,0.16,,,4.0,3.0,2.0,1.0,1.0,,,,1.0,2.0,2.0,2.0,,,,,,0.0732,-0.39,,,,,50.291998641457,2.0,1.0,True,1.0,,,,,,,,
14771945,home,Al-Kholood,Myziane Maolida,maolida-myziane,M. Maolida,M,9,180.0,638,M,851262,EUR,918950400.0,M,9,9,False,8.0,7.0,,,0.0,3.0,3.0,4.0,5.0,,1.0,,,,,41.0,19.0,6.7,6.0,0.00681885,95.920065716958,7.0,69.93,21.0,,1,,0.03,0.06,-0.04,,,4.0,1.0,,5.0,1.0,,,,1.0,,,1.0,,,,,1.0,0.031,0.24,,,,,22.758470598878,1.0,,,,1.0,1.0,0.5745,,,,,
14771945,home,Al-Kholood,Ramiro Enrique,ramiro-enrique,R. Enrique,F,18,171.0,1218,M,1087010,EUR,988934400.0,F,18,18,False,9.0,7.0,,,0.0,3.0,3.0,4.0,6.0,,,,,,,90.0,26.0,6.4,10.0,0.0239184,57.493945793053,7.0,14.91,11.34,,3,,-0.02,0.35,-0.08,,3.0,8.0,4.0,3.0,1.0,,,,,2.0,2.0,2.0,1.0,2.0,1.0,1.0,,,0.636,-0.53,Ramiro Enrique,,2.0,1.0,25.069060449981,2.0,2.0,,2.0,,,,,,,,
14771945,home,Al-Kholood,Muhammad Sawan,muhammad-sawan,M. Sawan,M,70,170.0,23,M,1549247,EUR,965779200.0,M,70,70,True,12.0,11.0,,,0.0,6.0,6.0,5.0,6.0,,3.0,,,,,49.0,27.0,7.0,5.0,0.140387,39.878440935959,5.0,24.045,19.425,,1,,0.24,0.02,-0.02,,,1.0,6.0,,2.0,1.0,3.0,1.0,,1.0,2.0,,1.0,,,,,,0.0125,-0.06,Muhammad Sawan,,3.0,,,,1.0,,,1.0,,,1.0,,,,
14771945,home,Al-Kholood,Kévin N'Doram,kevin-ndoram,K. N'Doram,M,96,184.0,92,M,823476,EUR,822268800.0,M,96,96,True,9.0,6.0,1.0,,0.0,3.0,4.0,3.0,5.0,1.0,,,,,,18.0,11.0,6.3,3.0,0.00627677,8.0370392558454,1.0,2.94,2.94,,0,,0.04,0.01,-0.01,,,3.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
14771945,home,Al-Kholood,Mansour Camara,mansour-camara,M. Camara,D,25,,171,,2442170,EUR,,D,25,25,True,5.0,4.0,1.0,,0.0,2.0,2.0,2.0,3.0,,1.0,,,,,11.0,10.0,6.6,2.0,0.00296167,26.086985809882,4.0,10.5,14.49,,2,,0.07,0.02,0.13,,,1.0,,1.0,,,,,,,,,2.0,,,1.0,,,0.0425,-0.06,Mansour Camara,,,,,,,,,,1.0,0.0572,,,,,
14771945,home,Al-Kholood,Majed Khalifah,majed-khalifah,M. Khalifah,F,19,,24,,1926323,EUR,1086134400.0,F,19,19,True,1.0,,,,0.0,,1.0,,,,,,,,,11.0,2.0,6.4,2.0,,13.673472711788,1.0,-13.44,-13.44,,0,,-0.03,-0.04,-0.01,,,1.0,,1.0,,,,,,,,,,,,,,,,,Majed Khalifah,,,,,,,,,,,,,,,,
14771945,home,Al-Kholood,Muhannad Al-Yahya,muhannad-al-yahya,M. Al-Yahya,G,48,,11,M,1473399,EUR,1095552000.0,G,48,48,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,Muhannad Al-Yahya,,,,,,,,,,,,,,,,
14771945,home,Al-Kholood,Mohammed Mazyad Alshammari,mohammed-mazyad-alshammari,M. M. Alshammari,G,30,184.0,7,M,873364,EUR,692323200.0,G,30,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14771945,home,Al-Kholood,Jamaan Al Dawsari,al-dawsari-jamaan,J. A. Dawsari,D,4,173.0,5,M,792331,EUR,551059200.0,D,4,4,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14771945,home,Al-Kholood,Abdulrahman Al-Safri,abdulrahman-al-safri,A. Al-Safri,M,8,176.0,22,M,990187,EUR,733536000.0,M,8,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14771945,home,Al-Kholood,Adi,adi,Adi,,24,,8,,2316776,EUR,,M,24,24,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,Adi,,,,,,,,,,,,,,,,
14771945,away,Al-Ahli,Abdulrahman Al Sanbi,abdulrahman-al-sanbi,A. A. Sanbi,G,1,181.0,227,M,1066728,EUR,981072000.0,G,1,1,False,31.0,24.0,8.0,2.0,0.0,23.0,28.0,1.0,3.0,2.0,8.0,,1.0,2.0,1.0,90.0,39.0,7.6,7.0,0.00213637,26.520276478051,4.0,8.085,12.495,0.4727,0,0.6317,0.08,-0.04,0.23,0.4,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,Abdulrahman Al Sanbi,,,,,,,,,,,,,2.0,2.0,,
14771945,away,Al-Ahli,Ali Majrashi,ali-majrashi,A. Majrashi,D,27,177.0,404,M,917035,EUR,938736000.0,D,27,27,False,25.0,20.0,4.0,1.0,0.0,6.0,7.0,14.0,18.0,2.0,3.0,,,,,90.0,43.0,6.9,9.0,0.0564017,137.04043434751,12.0,66.045,28.875,,1,,0.12,0.19,-0.1,,,9.0,7.0,,1.0,,6.0,2.0,,3.0,1.0,2.0,,1.0,5.0,,,1.0,0.1569,-0.06,,,,,78.654756064234,3.0,1.0,,,,,,,,,,
14771945,away,Al-Ahli,Merih Demiral,merih-demiral,M. Demiral,D,28,190.0,4099,M,806968,EUR,889056000.0,D,28,28,False,47.0,40.0,6.0,3.0,0.0,22.0,23.0,18.0,24.0,6.0,6.0,,,,,90.0,57.0,7.3,7.0,0.0102572,264.83611397776,26.0,196.77,22.155,,0,,0.1,0.17,0.31,,2.0,2.0,5.0,,,,2.0,1.0,,,1.0,2.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,merihdemiral,
14771945,away,Al-Ahli,Mohammed Sulaiman,sulaiman-mohammed,M. Sulaiman,D,5,180.0,243,M,1854314,EUR,1081382400.0,D,5,5,False,46.0,40.0,2.0,1.0,0.0,29.0,31.0,11.0,15.0,,5.0,,,,,69.0,55.0,7.0,6.0,0.249313,213.34276065608,22.0,102.9,17.85,,0,,0.26,0.1,-0.07,,1.0,4.0,3.0,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,2.0,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,
14771945,away,Al-Ahli,Zakaria Hawsawi,zakaria-al-hawsawi,Z. Hawsawi,D,2,175.0,153,M,1398854,EUR,979171200.0,D,2,2,False,39.0,26.0,2.0,,0.0,8.0,13.0,18.0,26.0,2.0,8.0,,,,,90.0,62.0,6.7,20.0,0.0197535,148.86421171511,15.0,107.415,22.575,,1,,-0.21,0.31,0.17,,,6.0,4.0,,4.0,2.0,2.0,1.0,,1.0,,,,2.0,2.0,,,1.0,0.0151,-0.02,Zakaria Al Hawsawi,,4.0,,37.23874047419,2.0,1.0,,,,,,,,,,
14771945,away,Al-Ahli,Riyad Mahrez,riyad-mahrez,R. Mahrez,M,7,179.0,70718,M,158213,EUR,667094400.0,M,7,7,False,33.0,26.0,4.0,2.0,0.0,7.0,9.0,19.0,24.0,,7.0,,,,,85.0,55.0,7.3,17.0,0.50065,176.10348465518,22.0,9.4499999999999,13.125,,0,,0.28,0.32,0.15,,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,7.0,,,,,1.0,,,,,11.0,,47.37589101844,4.0,,,,,,,4.0,,,RMahrez,
14771945,away,Al-Ahli,Franck Kessié,franck-kessie,F. Kessié,M,79,183.0,43381,M,359226,EUR,850953600.0,M,79,79,False,31.0,28.0,2.0,1.0,0.0,12.0,13.0,16.0,18.0,,1.0,,,,,69.0,36.0,6.4,5.0,0.0217344,86.366124140823,14.0,3.045,6.51,,2,,-0.02,0.01,-0.04,,1.0,2.0,1.0,,,,,,,2.0,,1.0,,,1.0,,,,0.5564,-0.54,,,,,,,1.0,True,1.0,,1.0,0.3418,,,,franckkessie,
14771945,away,Al-Ahli,Valentin Atangana Edoa,atangana-edoa-valentin,V. A. Edoa,M,6,173.0,1056,M,1154611,EUR,1124928000.0,M,6,6,False,41.0,34.0,2.0,1.0,0.0,15.0,18.0,19.0,23.0,1.0,9.0,,,,,90.0,55.0,7.3,8.0,0.0256101,126.46319045742,16.0,54.915,22.68,,1,,0.04,0.19,0.21,,1.0,1.0,8.0,,,,5.0,2.0,,1.0,2.0,1.0,,,,,,,0.0267,-0.03,Valentin Atangana Edoa,,,1.0,24.416722466375,1.0,1.0,,,,,,,,,,
14771945,away,Al-Ahli,Wenderson Galeno,wenderson-galeno,W. Galeno,M,13,178.0,4322,M,845754,EUR,877478400.0,M,13,13,False,11.0,10.0,1.0,,0.0,1.0,1.0,9.0,10.0,2.0,1.0,,,,,45.0,24.0,6.5,6.0,0.0453105,56.733162103056,6.0,16.905,7.98,,1,,0.06,0.12,-0.03,,,3.0,,,1.0,,,,,1.0,,1.0,,,1.0,,,,0.0613,-0.15,,,2.0,,,,1.0,,,,,,,,,w_galeno90,
