match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,player_sofascoreId,stat_aerialLost,stat_aerialWon,stat_outfielderBlock,stat_interceptionWon,stat_totalOffside,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,captain,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_accurateCross,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_shotOffTarget,stat_hitWoodwork,stat_errorLeadToAShot,stat_savedShotsFromInsideTheBox,stat_lastManTackle
14773672,home,Al-Ahli,Abdulrahman Al Sanbi,Abdulrahman Al Sanbi,,abdulrahman-al-sanbi,A. A. Sanbi,G,1,181.0,227,M,1066728,EUR,981072000.0,G,1,1,False,19.0,11.0,13.0,5.0,0.0,8.0,11.0,3.0,8.0,1.0,4.0,1.0,1.0,90.0,22.0,6.9,8.0,0.0005085,41.840357292747,6.0,20.265,5.67,0.059,0,0.2925,0.05,0.01,0.26,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14773672,home,Al-Ahli,Mohammed Abdulrahman,Mohammed Abdulrahman,,mohammed-abdulrahman,M. Abdulrahman,D,29,170.0,146,M,1133141,EUR,1042502400.0,D,29,29,False,14.0,6.0,1.0,,0.0,1.0,6.0,5.0,8.0,4.0,3.0,,,90.0,34.0,6.7,14.0,0.00346543,19.412345218058,2.0,13.335,12.285,,0,,-0.06,0.03,-0.03,,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
14773672,home,Al-Ahli,Merih Demiral,,,merih-demiral,M. Demiral,D,28,190.0,4099,M,806968,EUR,889056000.0,D,28,28,False,37.0,33.0,6.0,3.0,0.0,21.0,23.0,12.0,14.0,3.0,5.0,,,90.0,45.0,7.4,4.0,0.0163661,171.12742719305,16.0,99.225,20.79,,0,,0.29,0.1,0.25,,,2.0,3.0,1.0,,1.0,1.0,,,,,merihdemiral,1.0,2.0,1.0,2.0,1.0,21.283355844415,1.0,,,,,,,,,,,,,,,,,
14773672,home,Al-Ahli,Roger Ibañez,,,roger-ibanez,R. Ibañez,D,3,185.0,2314,M,888949,EUR,911779200.0,D,3,3,False,50.0,46.0,5.0,3.0,0.0,31.0,32.0,15.0,18.0,2.0,3.0,,,85.0,58.0,7.9,6.0,0.0053145,175.17882486568,20.0,152.565,19.32,,1,,0.2,0.15,-0.01,,,1.0,3.0,,,,,1.0,,,,,1.0,,,,,39.889817057708,2.0,True,3.0,3.0,1.0,1.0,0.0424,0.5241,0.52,,,,,,,,,
14773672,home,Al-Ahli,Zakaria Hawsawi,Zakaria Al Hawsawi,,zakaria-al-hawsawi,Z. Hawsawi,D,2,175.0,153,M,1398854,EUR,979171200.0,D,2,2,False,36.0,27.0,4.0,4.0,0.0,13.0,13.0,14.0,23.0,,8.0,,,90.0,62.0,7.4,20.0,0.0426867,195.37877648064,15.0,163.275,36.54,,0,,-0.01,0.61,-0.02,,4.0,3.0,9.0,,1.0,3.0,2.0,3.0,1.0,1.0,,,,2.0,,4.0,,95.785250091489,3.0,,4.0,3.0,,,,,,1.0,,,,,,,,
14773672,home,Al-Ahli,Matheus Gonçalves,Matheus Gonçalves,,matheus-goncalves,M. Gonçalves,M,20,175.0,7172,M,1175553,EUR,1124323200.0,M,20,20,False,21.0,16.0,,,0.0,8.0,8.0,8.0,13.0,,6.0,,,59.0,31.0,6.8,9.0,0.101036,89.896330446322,7.0,26.88,21.0,,1,,0.29,0.19,-0.11,,,6.0,4.0,3.0,1.0,2.0,1.0,3.0,,2.0,1.0,,,,,1.0,1.0,36.777366650799,2.0,,2.0,2.0,,,0.0896,,-0.11,,1.0,1.0,,,,,,
14773672,home,Al-Ahli,Ziyad Aljohani,Ziyad Aljohani,,ziyad-aljohani,Z. Aljohani,M,30,180.0,354,M,1048372,EUR,1005436800.0,M,30,30,False,31.0,26.0,2.0,1.0,0.0,18.0,19.0,8.0,12.0,,5.0,,,90.0,40.0,6.8,5.0,0.0228974,88.456093062743,11.0,22.26,14.805,,1,,0.15,0.02,0.16,,,2.0,2.0,,,1.0,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,0.0802,,-0.12,,,,1.0,1.0,,,,
14773672,home,Al-Ahli,Valentin Atangana Edoa,Valentin Atangana Edoa,,atangana-edoa-valentin,V. A. Edoa,M,6,173.0,1056,M,1154611,EUR,1124928000.0,M,6,6,False,15.0,14.0,1.0,1.0,0.0,12.0,13.0,2.0,2.0,,,,,60.0,20.0,6.3,2.0,0.00174182,15.005976442738,1.0,11.655,11.655,,0,,-0.02,0.0,-0.08,,,5.0,1.0,1.0,,1.0,,,,2.0,1.0,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,
14773672,home,Al-Ahli,Wenderson Galeno,,,wenderson-galeno,W. Galeno,M,13,178.0,4322,M,845754,EUR,877478400.0,M,13,13,False,17.0,11.0,1.0,,2.0,3.0,4.0,8.0,13.0,4.0,5.0,,,89.0,42.0,8.4,15.0,0.677039,167.13338595609,10.0,120.96,26.25,,1,,0.64,0.5,0.19,,5.0,4.0,6.0,1.0,1.0,2.0,2.0,2.0,2.0,,2.0,w_galeno90,,1.0,,,1.0,139.46738124843,6.0,,3.0,1.0,,,0.1569,,-0.3,2.0,1.0,,1.0,1.0,1.0,,,
14773672,home,Al-Ahli,Firas Al-Buraikan,,,firas-al-buraikan,F. Al-Buraikan,F,9,181.0,1082,M,893307,EUR,958262400.0,F,9,9,False,7.0,4.0,,,0.0,2.0,3.0,2.0,4.0,1.0,,,,87.0,15.0,6.5,3.0,0.00040106,5.7711601086783,1.0,-4.935,-4.935,,0,,-0.03,-0.14,-0.17,,,3.0,4.0,2.0,,2.0,1.0,,1.0,,,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,1.0,,
