match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_aerialWon,stat_onTargetScoringAttempt,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_accurateCross,stat_totalContest,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_keyPass,stat_fouls,captain,stat_shotOffTarget,stat_dispossessed,player_lastName,stat_wonContest,stat_outfielderBlock,stat_goodHighClaim,stat_punches,stat_goals,player_sofascoreId,stat_totalOffside,stat_bigChanceMissed
14773674,home,Al-Okhdood,Samuel Portugal,samuel,Samuel,G,94,188.0,451,M,552170,EUR,764899200.0,G,94,94,False,26.0,18.0,14.0,6.0,0.0,14.0,15.0,4.0,11.0,2.0,6.0,1.0,2.0,2.0,2.0,90.0,34.0,6.6,8.0,0.00176687,38.691299363388,7.0,30.87,10.815,0.2689,0,-0.6342,0.05,0.01,-0.06,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14773674,home,Al-Okhdood,Ghassan Hawsawi,ghassan,G. Hawsawi,D,87,,9,M,1917845,EUR,1044403200.0,D,87,87,False,64.0,50.0,9.0,2.0,0.0,33.0,37.0,17.0,27.0,5.0,6.0,,,,,90.0,83.0,6.5,18.0,0.0134325,155.75641364028,20.0,67.83,14.7,,0,,0.12,0.02,-0.18,,Ghassan,1.0,2.0,3.0,6.0,1.0,6.0,4.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14773674,home,Al-Okhdood,Gökhan Gül,gokhan-gul,G. Gül,M,17,180.0,107,M,797820,EUR,900633600.0,D,17,17,False,52.0,47.0,6.0,3.0,0.0,30.0,31.0,17.0,21.0,1.0,3.0,,,,,90.0,62.0,6.9,8.0,0.0250508,242.59865569815,34.0,127.785,12.39,,1,,0.19,0.16,-0.15,,,3.0,,,4.0,,1.0,1.0,,,1.0,1.0,2.0,0.0338,0.2357,0.01,,,,,,,,,,,,,,,,,,,,
14773674,home,Al-Okhdood,Ali Al-Salem,ali-al-salem,A. Al-Salem,D,2,181.0,21,M,990189,EUR,903052800.0,D,3,3,False,44.0,39.0,7.0,3.0,0.0,24.0,25.0,15.0,19.0,2.0,2.0,,,,,86.0,63.0,6.1,8.0,0.0421256,132.27089280703,15.0,96.39,22.785,,1,,0.08,0.05,-0.33,,,3.0,4.0,6.0,1.0,1.0,1.0,1.0,1.0,,,,,0.0263,,0.01,1.0,1.0,1.0,1.0,40.377896995546,2.0,1.0,,,,,,,,,,,,,
14773674,home,Al-Okhdood,Ibrahim Ashi,ibrahim-ashi,I. Ashi,M,88,,6,M,2369921,EUR,,M,88,88,False,21.0,14.0,1.0,,0.0,6.0,7.0,8.0,14.0,4.0,5.0,,,,,59.0,37.0,6.4,10.0,0.00317261,32.901020299834,7.0,-2.205,6.615,,0,,0.0,-0.02,0.0,,Ibrahim Ashi,2.0,,2.0,1.0,,,,,1.0,1.0,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,
14773674,home,Al-Okhdood,Juan Pedroza,juan-pedroza,J. Pedroza,M,18,176.0,186,M,972585,EUR,923529600.0,M,18,18,False,75.0,65.0,7.0,3.0,0.0,25.0,26.0,40.0,49.0,3.0,4.0,,,,,90.0,95.0,7.3,15.0,0.214618,137.86209974568,22.0,48.195,12.075,,0,,0.41,0.07,-0.16,,,4.0,,4.0,7.0,2.0,3.0,2.0,,,3.0,,1.0,,,,1.0,1.0,,4.0,,,2.0,1.0,,,,,,,,,,,,
14773674,home,Al-Okhdood,Mohammed Petros,petros,Petros,M,,182.0,273,M,552678,EUR,612403200.0,M,6,6,False,56.0,46.0,4.0,1.0,0.0,24.0,26.0,22.0,30.0,2.0,7.0,,,,,90.0,66.0,6.9,13.0,0.0544292,70.252536056574,12.0,29.19,6.405,,0,,0.11,0.2,0.22,,,,,,3.0,,2.0,1.0,,3.0,,,1.0,,,,,,,,,,,,True,,,,,,,,,,,
14773674,home,Al-Okhdood,Mateo Borrell,mateo-borrell,M. Borrell,M,55,174.0,114,M,1980451,EUR,1136073600.0,M,55,55,False,4.0,4.0,,,0.0,2.0,2.0,2.0,2.0,,1.0,,,,,26.0,7.0,6.1,2.0,0.00069571,15.835521027066,2.0,15.015,9.87,,0,,0.0,0.04,-0.1,,Mateo Borrell,,1.0,3.0,,1.0,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
14773674,home,Al-Okhdood,Mohammed Abo Abd,mohammed-abo-abd,M. A. Abd,D,21,163.0,15,M,1398850,EUR,1009324800.0,M,21,21,False,32.0,30.0,1.0,1.0,0.0,10.0,10.0,20.0,22.0,2.0,5.0,,,,,90.0,53.0,6.4,10.0,0.0307981,138.59060545789,15.0,71.085,47.04,,1,,-0.13,0.33,0.0,,Mohammed Abo Abd,4.0,3.0,5.0,1.0,,,,,1.0,,,1.0,0.0155,,-0.21,,2.0,,,72.642645066905,3.0,1.0,,,1.0,,,,,,,,,,
14773674,home,Al-Okhdood,Burak Ince,ince-burak,B. Ince,M,11,181.0,342,M,992552,EUR,1074556800.0,F,11,11,False,44.0,35.0,3.0,2.0,0.0,9.0,9.0,26.0,35.0,,1.0,,,,,86.0,61.0,6.6,16.0,0.0450319,123.22868448212,18.0,11.13,18.48,,4,,-0.01,0.08,-0.02,,,3.0,,1.0,3.0,,1.0,1.0,,3.0,1.0,1.0,1.0,0.1584,0.0529,-0.53,,,2.0,,19.488502867075,1.0,1.0,,,1.0,1.0,,,,,,,,,
