match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_clearanceOffLine,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_shotValueNormalized,stat_aerialWon,stat_totalClearance,stat_wonTackle,stat_wasFouled,stat_fouls,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_keyPass,stat_challengeLost,stat_dispossessed,captain,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,player_firstName,stat_goals,stat_accurateCross,stat_bigChanceMissed,stat_totalOffside,player_lastName,stat_errorLeadToAGoal
14083197,home,Real Madrid,Thibaut Courtois,thibaut-courtois,T. Courtois,G,1,200,202673,M,TheOctopus,70988,EUR,705542400,G,1,1,False,22.0,20.0,5.0,3.0,0.0,18.0,18.0,2.0,4.0,10.0,1.0,2.0,90.0,28.0,6.7,2.0,0.00055564,0.0068,0,-0.2875,0.09,-0.07,-0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083197,home,Real Madrid,Trent Alexander-Arnold,trent-alexander-arnold,T. Alexander-Arnold,D,12,180,210733,M,TrentAA,795064,EUR,907718400,D,12,12,False,47.0,40.0,6.0,2.0,0.0,5.0,5.0,35.0,42.0,3.0,,,72.0,72.0,7.6,14.0,0.0360236,,1,,0.05,0.09,0.66,,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0244,-0.12,,,,,,,,,,,,,,,,,,,,
14083197,home,Real Madrid,Éder Militão,eder-militao,É. Militão,D,3,186,138748,M,EMilitão,822519,EUR,885081600,D,3,3,False,47.0,44.0,4.0,3.0,0.0,25.0,26.0,19.0,21.0,5.0,,,90.0,62.0,7.3,3.0,0.00892626,,0,,0.22,0.07,0.28,,,1.0,3.0,6.0,,,,,1.0,,2.0,,,,3.0,8.0,2.0,1.0,2.0,,,,,,,,,,,,,,,
14083197,home,Real Madrid,Dean Huijsen,dean-huijsen,D. Huijsen,D,24,195,160912,M,deanhuijsen,1176744,EUR,1113436800,D,24,24,False,67.0,58.0,6.0,4.0,1.0,19.0,21.0,39.0,46.0,4.0,,,90.0,75.0,8.0,9.0,0.388834,,1,,0.64,0.67,-0.2,,,1.0,2.0,5.0,,,,,,3.0,,,0.0761,-0.51,5.0,3.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,
14083197,home,Real Madrid,Álvaro Carreras,alvaro-carreras,Á. Carreras,D,18,186,79899,M,,1085081,EUR,1048377600,D,18,18,False,62.0,57.0,4.0,2.0,0.0,12.0,14.0,45.0,48.0,4.0,,,90.0,80.0,7.5,8.0,0.101782,,0,,0.34,0.41,-0.06,,1.0,2.0,6.0,2.0,,,,1.0,1.0,,,1.0,,,1.0,3.0,,1.0,2.0,,,2.0,1.0,1.0,,,,,,,,,,
14083197,home,Real Madrid,Federico Valverde,federico-valverde,F. Valverde,M,8,181,375509,M,Fede,831808,EUR,901065600,M,8,8,False,41.0,37.0,2.0,1.0,1.0,5.0,5.0,32.0,36.0,4.0,,,90.0,51.0,7.4,6.0,0.0801683,,0,,0.48,0.15,-0.01,,2.0,1.0,2.0,3.0,,,,,,,1.0,,,,2.0,3.0,,,1.0,,,3.0,,,True,,,,,,,,,
14083197,home,Real Madrid,Aurélien Tchouaméni,aurelien-tchouameni,A. Tchouaméni,M,14,188,145918,M,ATchouaméni,859025,EUR,948931200,M,14,14,False,39.0,35.0,1.0,1.0,0.0,12.0,13.0,23.0,26.0,2.0,,,90.0,49.0,7.1,4.0,0.0291463,,2,,0.15,0.04,0.21,,,2.0,2.0,5.0,,,1.0,,1.0,,3.0,,0.0504,-0.15,2.0,2.0,2.0,,,,,,,,,1.0,0.0131,,,,,,,
14083197,home,Real Madrid,Franco Mastantuono,franco-mastantuono,F. Mastantuono,M,30,177,178430,M,franco.mastantuono,1403559,EUR,1187049600,M,30,30,False,35.0,31.0,3.0,2.0,0.0,7.0,7.0,24.0,28.0,1.0,,,66.0,50.0,6.4,10.0,0.0621218,,3,,0.12,-0.26,-0.13,,1.0,,4.0,2.0,1.0,1.0,2.0,,,,1.0,3.0,0.1884,0.08,,,1.0,,1.0,,,,1.0,2.0,,1.0,0.411,,,,,,,
14083197,home,Real Madrid,Arda Güler,arda-guler,A. Güler,M,15,176,399381,M,AGüler,1091116,EUR,1109289600,M,15,15,False,41.0,38.0,3.0,3.0,0.0,3.0,4.0,35.0,37.0,3.0,,,72.0,51.0,7.4,9.0,0.143766,,2,,0.44,0.17,-0.12,,1.0,1.0,5.0,,2.0,,,,,,,2.0,0.7943,0.41,,,,,3.0,,,,,,,2.0,1.0279,Arda Guler,1.0,,,,,
14083197,home,Real Madrid,Vinícius Júnior,vinicius-junior,Vinícius Jr.,F,7,176,1170289,M,ViniJr,868812,EUR,963360000,M,7,7,False,44.0,38.0,1.0,1.0,0.0,1.0,1.0,37.0,43.0,3.0,,,72.0,60.0,8.2,14.0,0.201538,,2,,-0.14,0.71,-0.06,,3.0,,2.0,3.0,3.0,2.0,,,,,1.0,2.0,0.1229,0.55,,,1.0,,,,,2.0,,1.0,,2.0,0.7204,,1.0,,,,,
