match_id,period,group,name,home,away
14566764,ALL,Match overview,Ball possession,52%,48%
14566764,ALL,Match overview,Distance covered,120.5 km,120.0 km
14566764,ALL,Match overview,Expected goals,1.92,1.71
14566764,ALL,Match overview,Big chances,5,3
14566764,ALL,Match overview,Total shots,19,10
14566764,ALL,Match overview,Goalkeeper saves,1,3
14566764,ALL,Match overview,Number of sprints,111,119
14566764,ALL,Match overview,Corner kicks,4,2
14566764,ALL,Match overview,Fouls,13,8
14566764,ALL,Match overview,Passes,491,470
14566764,ALL,Match overview,Tackles,12,24
14566764,ALL,Match overview,Free kicks,8,12
14566764,ALL,Match overview,Yellow cards,0,1
14566764,ALL,Shots,Total shots,19,10
14566764,ALL,Shots,Shots on target,7,5
14566764,ALL,Shots,Hit woodwork,1,1
14566764,ALL,Shots,Shots off target,6,3
14566764,ALL,Shots,Blocked shots,6,2
14566764,ALL,Shots,Shots inside box,11,5
14566764,ALL,Shots,Shots outside box,8,5
14566764,ALL,Attack,Big chances scored,3,1
14566764,ALL,Attack,Big chances missed,2,2
14566764,ALL,Attack,Through balls,1,0
14566764,ALL,Attack,Touches in penalty area,30,12
14566764,ALL,Attack,Fouled in final third,1,1
14566764,ALL,Attack,Offsides,4,0
14566764,ALL,Passes,Accurate passes,437,387
14566764,ALL,Passes,Throw-ins,17,21
14566764,ALL,Passes,Final third entries,40,50
14566764,ALL,Passes,Final third phase,99/123 (80%),67/103 (65%)
14566764,ALL,Passes,Long balls,20/32 (63%),25/56 (45%)
14566764,ALL,Passes,Crosses,6/20 (30%),0/6 (0%)
14566764,ALL,Duels,Duels,42%,58%
14566764,ALL,Duels,Dispossessed,13,5
14566764,ALL,Duels,Ground duels,26/64 (41%),38/64 (59%)
14566764,ALL,Duels,Aerial duels,10/21 (48%),11/21 (52%)
14566764,ALL,Duels,Dribbles,6/17 (35%),3/10 (30%)
14566764,ALL,Defending,Tackles won,75%,58%
14566764,ALL,Defending,Total tackles,12,24
14566764,ALL,Defending,Interceptions,8,5
14566764,ALL,Defending,Recoveries,52,41
14566764,ALL,Defending,Clearances,17,26
14566764,ALL,Defending,Errors lead to a shot,1,0
14566764,ALL,Defending,Errors lead to a goal,0,1
14566764,ALL,Goalkeeping,Total saves,1,3
14566764,ALL,Goalkeeping,Goals prevented,-1.80,-1.22
14566764,ALL,Goalkeeping,Big saves,0,1
14566764,ALL,Goalkeeping,High claims,0,1
14566764,ALL,Goalkeeping,Punches,1,0
14566764,ALL,Goalkeeping,Goal kicks,2,8
14566764,1ST,Match overview,Ball possession,43%,57%
14566764,1ST,Match overview,Expected goals,0.63,0.04
14566764,1ST,Match overview,Big chances,1,0
14566764,1ST,Match overview,Total shots,8,2
14566764,1ST,Match overview,Goalkeeper saves,0,2
14566764,1ST,Match overview,Number of sprints,0,0
14566764,1ST,Match overview,Corner kicks,3,2
14566764,1ST,Match overview,Passes,224,296
14566764,1ST,Match overview,Tackles,4,14
14566764,1ST,Match overview,Free kicks,3,7
14566764,1ST,Match overview,Yellow cards,0,1
14566764,1ST,Shots,Total shots,8,2
14566764,1ST,Shots,Shots on target,2,0
14566764,1ST,Shots,Hit woodwork,0,0
14566764,1ST,Shots,Shots off target,4,1
14566764,1ST,Shots,Blocked shots,2,1
14566764,1ST,Shots,Shots inside box,6,0
14566764,1ST,Shots,Shots outside box,2,2
14566764,1ST,Attack,Big chances scored,0,0
14566764,1ST,Attack,Big chances missed,1,0
14566764,1ST,Attack,Through balls,0,0
14566764,1ST,Attack,Fouled in final third,0,0
14566764,1ST,Attack,Offsides,1,0
14566764,1ST,Passes,Accurate passes,200,255
14566764,1ST,Passes,Throw-ins,6,15
14566764,1ST,Passes,Final third entries,12,25
14566764,1ST,Passes,Long balls,6/13 (46%),13/24 (54%)
14566764,1ST,Passes,Crosses,3/6 (50%),0/5 (0%)
14566764,1ST,Duels,Duels,31%,69%
14566764,1ST,Duels,Dispossessed,8,2
14566764,1ST,Duels,Ground duels,9/32 (28%),23/32 (72%)
14566764,1ST,Duels,Aerial duels,3/7 (43%),4/7 (57%)
14566764,1ST,Duels,Dribbles,2/8 (25%),2/4 (50%)
14566764,1ST,Defending,Tackles won,50%,57%
14566764,1ST,Defending,Total tackles,4,14
14566764,1ST,Defending,Interceptions,3,1
14566764,1ST,Defending,Recoveries,26,18
14566764,1ST,Defending,Clearances,13,8
14566764,1ST,Goalkeeping,Total saves,0,2
14566764,1ST,Goalkeeping,Goal kicks,1,4
14566764,2ND,Match overview,Ball possession,62%,38%
14566764,2ND,Match overview,Expected goals,1.29,1.66
