match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,playerName,rescinded,id,isHome,incidentClass,player_id,player_name,length,injury,reason,from
14566893,FT,6.0,2.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,
14566893,,,,,90,,,1,,,card,Couhaib Driouech,False,124173160.0,True,yellow,1047395.0,Couhaib Driouech,,,,
14566893,,,,,90,0.0,,1,,,injuryTime,,,,,,,,4.0,,,
14566893,,6.0,2.0,,89,,,2,,,goal,,,325306082.0,True,regular,1047395.0,Couhaib Driouech,,,,
14566893,,,,,88,,,3,,,substitution,,,124923835.0,True,regular,,,,False,,
14566893,,5.0,2.0,,86,,,5,,,goal,,,325306024.0,True,regular,986395.0,Ricardo Pepi,,,,
14566893,,4.0,2.0,,85,,,6,,,goal,,,325306001.0,False,regular,879346.0,Scott McTominay,,,,
14566893,,,,,84,,,7,,,substitution,,,124923816.0,False,regular,,,,False,,
14566893,,,,,84,,,7,,,substitution,,,124923815.0,True,regular,,,,False,,
14566893,,,,,84,,,7,,,substitution,,,124923814.0,True,regular,,,,False,,
14566893,,,,,84,,,7,,,substitution,,,124923800.0,True,regular,,,,False,,
14566893,,4.0,1.0,,80,,,11,,,goal,,,325305552.0,True,regular,812145.0,Dennis Man,,,,
14566893,,,,,76,,,15,,,card,Lorenzo Lucca,False,124173122.0,False,red,962364.0,Lorenzo Lucca,,,Argument,
14566893,,,,,73,,,18,,,substitution,,,124923740.0,False,regular,,,,False,,
14566893,,,,,70,,,21,,,card,Ismael Saibari,False,124173102.0,True,yellow,1063767.0,Ismael Saibari,,,Foul,
14566893,,,,,58,,,33,,,substitution,,,124923583.0,False,regular,,,,False,,
14566893,,,,,57,,,34,,,substitution,,,124923582.0,False,regular,,,,False,,
14566893,,,,,57,,,34,,,substitution,,,124923570.0,False,regular,,,,False,,
14566893,,3.0,1.0,,54,,,37,,,goal,,,325304436.0,True,regular,812145.0,Dennis Man,,,,
14566893,,,,,46,,,45,,,substitution,,,124923480.0,True,regular,,,,False,,
14566893,HT,2.0,1.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,
14566893,,,,,45,0.0,,1,,,injuryTime,,,,,,,,3.0,,,
14566893,,,,,42,,,4,,,card,Leonardo Spinazzola,False,124172899.0,False,yellow,148899.0,Leonardo Spinazzola,,,Foul,
14566893,,2.0,1.0,,38,,,8,,,goal,,,325301654.0,True,regular,1063767.0,Ismael Saibari,,,,
14566893,,1.0,1.0,,35,,,11,,,goal,,,325301372.0,True,ownGoal,870263.0,Alessandro Buongiorno,,,,owngoal
14566893,,0.0,1.0,,31,,,15,,,goal,,,325301068.0,False,regular,879346.0,Scott McTominay,,,,
14566893,,,,,30,,,16,,,card,Joey Veerman,False,124172826.0,True,yellow,850816.0,Joey Veerman,,,Foul,
14566893,,,,,27,,,19,,,card,Yarek Gasiorowski,False,124172814.0,True,yellow,1184317.0,Yarek Gasiorowski,,,Foul,
