match_id,period,group,name,home,away
14572639,ALL,Match overview,Ball possession,48%,52%
14572639,ALL,Match overview,Expected goals,1.69,1.67
14572639,ALL,Match overview,Big chances,2,3
14572639,ALL,Match overview,Total shots,12,9
14572639,ALL,Match overview,Goalkeeper saves,4,5
14572639,ALL,Match overview,Corner kicks,8,3
14572639,ALL,Match overview,Fouls,20,18
14572639,ALL,Match overview,Passes,363,401
14572639,ALL,Match overview,Tackles,19,20
14572639,ALL,Match overview,Free kicks,17,20
14572639,ALL,Match overview,Yellow cards,3,4
14572639,ALL,Match overview,Red cards,1,1
14572639,ALL,Shots,Total shots,12,9
14572639,ALL,Shots,Shots on target,6,5
14572639,ALL,Shots,Hit woodwork,0,0
14572639,ALL,Shots,Shots off target,3,1
14572639,ALL,Shots,Blocked shots,3,3
14572639,ALL,Shots,Shots inside box,8,7
14572639,ALL,Shots,Shots outside box,4,2
14572639,ALL,Attack,Big chances scored,1,1
14572639,ALL,Attack,Big chances missed,1,2
14572639,ALL,Attack,Through balls,0,1
14572639,ALL,Attack,Touches in penalty area,26,14
14572639,ALL,Attack,Fouled in final third,4,3
14572639,ALL,Attack,Offsides,0,1
14572639,ALL,Passes,Accurate passes,287,315
14572639,ALL,Passes,Throw-ins,13,20
14572639,ALL,Passes,Final third entries,51,33
14572639,ALL,Passes,Final third phase,64/103 (62%),53/83 (64%)
14572639,ALL,Passes,Long balls,12/34 (35%),8/40 (20%)
14572639,ALL,Passes,Crosses,9/27 (33%),2/11 (18%)
14572639,ALL,Duels,Duels,57%,43%
14572639,ALL,Duels,Dispossessed,6,10
14572639,ALL,Duels,Ground duels,51/97 (53%),46/97 (47%)
14572639,ALL,Duels,Aerial duels,18/25 (72%),7/25 (28%)
14572639,ALL,Duels,Dribbles,16/30 (53%),7/16 (44%)
14572639,ALL,Defending,Tackles won,63%,55%
14572639,ALL,Defending,Total tackles,19,20
14572639,ALL,Defending,Interceptions,6,9
14572639,ALL,Defending,Recoveries,43,44
14572639,ALL,Defending,Clearances,16,27
14572639,ALL,Defending,Errors lead to a goal,1,0
14572639,ALL,Goalkeeping,Total saves,4,5
14572639,ALL,Goalkeeping,Goals prevented,0.66,0.65
14572639,ALL,Goalkeeping,Big saves,2,0
14572639,ALL,Goalkeeping,Punches,0,2
14572639,ALL,Goalkeeping,Goal kicks,3,6
14572639,1ST,Match overview,Ball possession,47%,53%
14572639,1ST,Match overview,Expected goals,1.02,0.98
14572639,1ST,Match overview,Big chances,1,2
14572639,1ST,Match overview,Total shots,4,5
14572639,1ST,Match overview,Goalkeeper saves,2,1
14572639,1ST,Match overview,Corner kicks,2,2
14572639,1ST,Match overview,Fouls,8,11
14572639,1ST,Match overview,Passes,208,237
14572639,1ST,Match overview,Tackles,11,12
14572639,1ST,Match overview,Free kicks,10,8
14572639,1ST,Match overview,Yellow cards,1,1
14572639,1ST,Match overview,Red cards,0,0
14572639,1ST,Shots,Total shots,4,5
14572639,1ST,Shots,Shots on target,2,2
14572639,1ST,Shots,Hit woodwork,0,0
14572639,1ST,Shots,Shots off target,1,1
14572639,1ST,Shots,Blocked shots,1,2
14572639,1ST,Shots,Shots inside box,3,3
14572639,1ST,Shots,Shots outside box,1,2
14572639,1ST,Attack,Big chances scored,1,0
14572639,1ST,Attack,Big chances missed,0,2
14572639,1ST,Attack,Through balls,0,1
